# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

0 0.0417093
0.00125 0.0780689
0.0025 0.0793767
0.00375 0.0795387
0.005 0.0796016
0.00625 0.079621
0.0075 0.0796314
0.00875 0.0796372
0.01 0.0796405
0.01125 0.0796426
0.0125 0.079644
0.01375 0.0796449
0.015 0.0796456
0.01625 0.0796461
0.0175 0.0796465
0.01875 0.0796469
0.02 0.0796472
0.02125 0.0796476
0.0225 0.0796479
0.02375 0.0796486
0.025 0.0796491
0.02625 0.0796506
0.0275 0.0796511
0.02875 0.0796524
0.03 0.0796533
0.03125 0.0796545
0.0325 0.079661
0.03375 0.0796642
0.035 0.0796689
0.03625 0.0796834
0.0375 0.0796923
0.03875 0.0797033
0.04 0.079729
0.04125 0.0797829
0.0425 0.079807
0.04375 0.0798297
0.045 0.0798553
0.04625 0.0798737
0.0475 0.0799033
0.04875 0.0799499
0.05 0.0800012
0.05125 0.0800686
0.0525 0.0801185
0.05375 0.0801923
0.055 0.0802641
0.05625 0.0803556
0.0575 0.080404
0.05875 0.0804559
0.06 0.0805092
0.06125 0.0805682
0.0625 0.0807213
0.06375 0.0807716
0.065 0.0808175
0.06625 0.0808631
0.0675 0.0808985
0.06875 0.0809539
0.07 0.080993
0.07125 0.0810345
0.0725 0.081071
0.07375 0.0811041
0.075 0.0811428
0.07625 0.0811986
0.0775 0.0812296
0.07875 0.0812668
0.08 0.0813032
0.08125 0.081344
0.0825 0.0813817
0.08375 0.0814155
0.085 0.0814492
0.08625 0.0814874
0.0875 0.0815206
0.08875 0.0815547
0.09 0.0815909
0.09125 0.0816232
0.0925 0.0816556
0.09375 0.0816905
0.095 0.0817211
0.09625 0.0817534
0.0975 0.0817835
0.09875 0.0818174
0.1 0.0818467
0.10125 0.0818817
0.1025 0.0819161
0.10375 0.0819485
0.105 0.0819829
0.10625 0.0820171
0.1075 0.0820515
0.10875 0.0820847
0.11 0.0821189
0.11125 0.0821571
0.1125 0.0821904
0.11375 0.0822243
0.115 0.0822629
0.11625 0.0822979
0.1175 0.082334
0.11875 0.0823726
0.12 0.0824041
0.12125 0.0824372
0.1225 0.082477
0.12375 0.0825094
0.125 0.0825427
0.12625 0.0825794
0.1275 0.0826117
0.12875 0.0826464
0.13 0.0826765
0.13125 0.0827125
0.1325 0.0827405
0.13375 0.0827753
0.135 0.0828044
0.13625 0.0828375
0.1375 0.0828674
0.13875 0.0828953
0.14 0.0829237
0.14125 0.0829535
0.1425 0.082982
0.14375 0.0830133
0.145 0.0830397
0.14625 0.0830647
0.1475 0.0831036
0.14875 0.0831314
0.15 0.0831577
0.15125 0.0831852
0.1525 0.0832143
0.15375 0.0832392
0.155 0.0832698
0.15625 0.0832963
0.1575 0.0833169
0.15875 0.083345
0.16 0.0833812
0.16125 0.0834096
0.1625 0.0834352
0.16375 0.0834622
0.165 0.0834916
0.16625 0.0835205
0.1675 0.0835458
0.16875 0.0835777
0.17 0.0836039
0.17125 0.0836317
0.1725 0.0836646
0.17375 0.0836871
0.175 0.0837092
0.17625 0.0837337
0.1775 0.0837606
0.17875 0.0837823
0.18 0.0838054
0.18125 0.0838314
0.1825 0.0838548
0.18375 0.0838779
0.185 0.0839012
0.18625 0.0839412
0.1875 0.0839624
0.18875 0.0839849
0.19 0.0840083
0.19125 0.0840307
0.1925 0.0840611
0.19375 0.0840822
0.195 0.0841092
0.19625 0.0841316
0.1975 0.084154
0.19875 0.0841784
0.2 0.0842002
0.20125 0.0842243
0.2025 0.0842494
0.20375 0.0842756
0.205 0.0843011
0.20625 0.0843225
0.2075 0.0843445
0.20875 0.0843666
0.21 0.0843897
0.21125 0.0844152
0.2125 0.0844422
0.21375 0.0844674
0.215 0.084489
0.21625 0.0845148
0.2175 0.0845338
0.21875 0.084556
0.22 0.0845784
0.22125 0.0846039
0.2225 0.084627
0.22375 0.0846533
0.225 0.0846762
0.22625 0.0847
0.2275 0.0847246
0.22875 0.0847502
0.23 0.0847785
0.23125 0.0848015
0.2325 0.0848291
0.23375 0.0848513
0.235 0.0848796
0.23625 0.0849053
0.2375 0.0849289
0.23875 0.0849581
0.24 0.0849812
0.24125 0.0850048
0.2425 0.0850302
0.24375 0.0850575
0.245 0.0850841
0.24625 0.0851114
0.2475 0.0851353
0.24875 0.085162
0.25 0.0851845
0.25125 0.0852104
0.2525 0.0852359
0.25375 0.0852625
0.255 0.0852878
0.25625 0.0853104
0.2575 0.0853369
0.25875 0.0853626
0.26 0.0853873
0.26125 0.0854118
0.2625 0.0854394
0.26375 0.0854654
0.265 0.0854916
0.26625 0.0855183
0.2675 0.0855501
0.26875 0.0855758
0.27 0.0856041
0.27125 0.0856308
0.2725 0.0856564
0.27375 0.0856893
0.275 0.0857207
0.27625 0.0857549
0.2775 0.0857808
0.27875 0.0858073
0.28 0.0858333
0.28125 0.0858599
0.2825 0.0858858
0.28375 0.085913
0.285 0.0859459
0.28625 0.0859737
0.2875 0.0859967
0.28875 0.0860272
0.29 0.0860518
0.29125 0.0860767
0.2925 0.0861046
0.29375 0.0861334
0.295 0.0861621
0.29625 0.0861868
0.2975 0.0862178
0.29875 0.0862483
0.3 0.0863038
0.30125 0.0863358
0.3025 0.086365
0.30375 0.0864023
0.305 0.086429
0.30625 0.0864558
