# XXZ model at half-filling
# L=28, J=1, Delta=0.20
# Dynamical spin conductivity, sigma_s(omega) via MCLM
# omega sigma_s(omega)

0 166.442
0.0005 149.079
0.001 107.131
0.0015 61.7968
0.002 28.6543
0.0025 10.7234
0.003 3.27302
0.0035 0.837266
0.004 0.192708
0.0045 0.0472652
0.005 0.0160248
0.0055 0.00836593
0.006 0.00610954
0.0065 0.00585191
0.007 0.00700964
0.0075 0.00952066
0.008 0.0132872
0.0085 0.0179681
0.009 0.022952
0.0095 0.0275296
0.01 0.0312199
0.0105 0.0340701
0.011 0.0366885
0.0115 0.0399167
0.012 0.0443699
0.0125 0.050239
0.013 0.0574557
0.0135 0.0659401
0.014 0.0756816
0.0145 0.0866426
0.015 0.0985432
0.0155 0.110692
0.016 0.122168
0.0165 0.132292
0.017 0.140836
0.0175 0.147859
0.018 0.153727
0.0185 0.159466
0.019 0.166679
0.0195 0.176585
0.02 0.189162
0.0205 0.203689
0.021 0.220084
0.0215 0.238802
0.022 0.259093
0.0225 0.278497
0.023 0.294942
0.0235 0.308647
0.024 0.321221
0.0245 0.333523
0.025 0.345175
0.0255 0.355616
0.026 0.36497
0.0265 0.374183
0.027 0.384646
0.0275 0.397462
0.028 0.412929
0.0285 0.431012
0.029 0.452297
0.0295 0.477662
0.03 0.506298
0.0305 0.534595
0.031 0.557868
0.0315 0.573196
0.032 0.580736
0.0325 0.583365
0.033 0.585686
0.0335 0.592339
0.034 0.605718
0.0345 0.62477
0.035 0.646378
0.0355 0.668085
0.036 0.689356
0.0365 0.710925
0.037 0.734066
0.0375 0.759972
0.038 0.788327
0.0385 0.816455
0.039 0.840348
0.0395 0.856832
0.04 0.865811
0.0405 0.870781
0.041 0.876097
0.0415 0.883714
0.042 0.893715
0.0425 0.906986
0.043 0.924426
0.0435 0.943226
0.044 0.956887
0.0445 0.96085
0.045 0.957346
0.0455 0.952912
0.046 0.950793
0.0465 0.947965
0.047 0.940703
0.0475 0.930192
0.048 0.920413
0.0485 0.912441
0.049 0.902645
0.0495 0.885723
0.05 0.858844
0.0505 0.823663
0.051 0.785754
0.0515 0.752684
0.052 0.730601
0.0525 0.719804
0.053 0.713753
0.0535 0.70473
0.054 0.691757
0.0545 0.682403
0.055 0.685018
0.0555 0.697995
0.056 0.708089
0.0565 0.701167
0.057 0.674172
0.0575 0.636328
0.058 0.600245
0.0585 0.572418
0.059 0.550906
0.0595 0.53015
0.06 0.50654
0.0605 0.480095
0.061 0.453138
0.0615 0.428001
0.062 0.404945
0.0625 0.38216
0.063 0.358619
0.0635 0.336739
0.064 0.321073
0.0645 0.314395
0.065 0.315882
0.0655 0.322426
0.066 0.330699
0.0665 0.338596
0.067 0.345223
0.0675 0.349114
0.068 0.34745
0.0685 0.338898
0.069 0.326682
0.0695 0.316713
0.07 0.312703
0.0705 0.314151
0.071 0.317879
0.0715 0.319811
0.072 0.316504
0.0725 0.307416
0.073 0.29588
0.0735 0.286711
0.074 0.282592
0.0745 0.282728
0.075 0.284238
0.0755 0.284551
0.076 0.283166
0.0765 0.281556
0.077 0.280869
0.0775 0.279917
0.078 0.276564
0.0785 0.270769
0.079 0.264643
0.0795 0.259868
0.08 0.256764
0.0805 0.255611
0.081 0.257017
0.0815 0.260461
0.082 0.263413
0.0825 0.262839
0.083 0.258092
0.0835 0.252194
0.084 0.249705
0.0845 0.252815
0.085 0.259201
0.0855 0.263913
0.086 0.263933
0.0865 0.260621
0.087 0.25735
0.0875 0.255734
0.088 0.254981
