# Hubbard model
# L=10, t_h=1, n_{av}=0.5
# Charge stiffness D_c from ED
# U D_c

0.00 0.82222222
0.01 0.69010943
0.02 0.69008694
0.03 0.69004947
0.04 0.68999701
0.05 0.68992958
0.10 0.68936819
0.20 0.68713340
0.30 0.68345434
0.40 0.67841918
0.50 0.67216947
0.60 0.66488658
0.70 0.65676750
0.80 0.64800717
0.90 0.63879045
1.00 0.62928719
1.50 0.58194855
2.00 0.54108187
2.50 0.50873050
3.00 0.48373528
3.50 0.46443644
4.00 0.44941870
4.50 0.43760777
5.00 0.42821336
6.00 0.41451261
7.00 0.40527924
8.00 0.39881943
9.00 0.39415091
10.00 0.39068118
