# XXZ spin chain 
# ED for L=20, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 410.97459040413833 411.775
5.0000000000000001E-004 9.4785260078621076E-007 0.800001
1.0000000000000000E-003 2.4485431607156440E-006 0.800002
1.5000000000000000E-003 5.4718204417402846E-006 0.800005
2.0000000000000000E-003 7.8021116828084879E-006 0.800008
2.5000000000000001E-003 1.2052412033442214E-005 0.800012
3.0000000000000001E-003 1.9657991296244524E-005 0.80002
3.5000000000000001E-003 1.8330048460595450E-005 0.800018
4.0000000000000001E-003 2.4229366136057763E-005 0.800024
4.5000000000000005E-003 2.6540331188758018E-005 0.800027
5.0000000000000001E-003 4.5051371925733083E-005 0.800045
5.4999999999999997E-003 4.2485563862423452E-005 0.800042
6.0000000000000001E-003 4.5146208359343306E-005 0.800045
6.5000000000000006E-003 6.4076207675323134E-005 0.800064
7.0000000000000001E-003 6.0144277617589730E-005 0.80006
7.4999999999999997E-003 7.6012637886566393E-005 0.800076
8.0000000000000002E-003 7.2242728640248388E-005 0.800072
8.5000000000000006E-003 9.5574317243274582E-005 0.800096
9.0000000000000011E-003 1.2711409903414994E-004 0.800127
9.4999999999999998E-003 1.2478963204607586E-004 0.800125
1.0000000000000000E-002 1.1052055526963898E-004 0.800111
1.0500000000000001E-002 1.5075601554943575E-004 0.800151
1.0999999999999999E-002 1.6958619874960418E-004 0.80017
1.1500000000000000E-002 1.6087222587641122E-004 0.800161
1.2000000000000000E-002 1.7859085383130171E-004 0.800179
1.2500000000000001E-002 2.4009213587042132E-004 0.80024
1.3000000000000001E-002 2.2216589308722971E-004 0.800222
1.3500000000000000E-002 2.3331566707749418E-004 0.800233
1.4000000000000000E-002 2.6508107936713056E-004 0.800265
1.4500000000000001E-002 2.0602130815372722E-004 0.800206
1.4999999999999999E-002 2.0460384339691142E-004 0.800205
1.5500000000000000E-002 2.1522322109254673E-004 0.800215
1.6000000000000000E-002 3.0249055205599015E-004 0.800302
1.6500000000000001E-002 3.8231989561022888E-004 0.800382
1.7000000000000001E-002 3.1832666115956006E-004 0.800318
1.7500000000000002E-002 3.2153105388696207E-004 0.800322
1.8000000000000002E-002 3.0486861654666921E-004 0.800305
1.8499999999999999E-002 3.1223687221431691E-004 0.800312
1.9000000000000000E-002 3.5569224518804793E-004 0.800356
1.9500000000000000E-002 1.4008832499916401E-003 0.801401
2.0000000000000000E-002 3.2006224429331222E-003 0.803201
2.0500000000000001E-002 6.0813981129020818E-003 0.806081
2.1000000000000001E-002 3.3554554161710055E-003 0.803355
2.1500000000000002E-002 3.7160324831572210E-003 0.803716
2.1999999999999999E-002 5.5333291363135462E-004 0.800553
2.2499999999999999E-002 7.3273154641298457E-003 0.807327
2.3000000000000000E-002 3.6637547838611890E-003 0.803664
2.3500000000000000E-002 4.7286907890145453E-003 0.804729
2.4000000000000000E-002 2.9428317150184805E-003 0.802943
2.4500000000000001E-002 9.8530035850948982E-004 0.800985
2.5000000000000001E-002 2.0452832845890920E-003 0.802045
2.5500000000000002E-002 3.4275240472217187E-003 0.803428
2.6000000000000002E-002 3.7488791469902538E-003 0.803749
2.6499999999999999E-002 5.3112697879188955E-003 0.805311
2.7000000000000000E-002 1.0124473461250665E-002 0.810124
2.7500000000000000E-002 5.7191487100844924E-003 0.805719
