# XXZ spin chain 
# MCLM for L=32, Delta=0.375
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00008 38.68748 39.9375
0.00010 39.06112 40.3111
0.00012 39.42456 40.6746
0.00014 39.77748 41.0275
0.00016 40.11955 41.3695
0.00018 40.45044 41.7004
0.00020 40.76986 42.0199
0.00022 41.07750 42.3275
0.00024 41.37309 42.6231
0.00026 41.65637 42.9064
0.00028 41.92706 43.1771
0.00030 42.18490 43.4349
0.00032 42.42966 43.6797
0.00034 42.66109 43.9111
0.00036 42.87901 44.129
0.00038 43.08319 44.3332
0.00040 43.27348 44.5235
0.00042 43.44969 44.6997
0.00044 43.61167 44.8617
0.00046 43.75928 45.0093
0.00048 43.89239 45.1424
0.00050 44.01089 45.2609
0.00052 44.11468 45.3647
0.00054 44.20369 45.4537
0.00056 44.27784 45.5278
0.00058 44.33709 45.5871
0.00060 44.38140 45.6314
0.00062 44.41075 45.6608
0.00064 44.42513 45.6751
0.00066 44.42457 45.6746
0.00068 44.40908 45.6591
0.00070 44.37871 45.6287
0.00072 44.33352 45.5835
0.00074 44.27356 45.5236
0.00076 44.19894 45.4489
0.00078 44.10975 45.3597
0.00080 44.00611 45.2561
0.00082 43.88815 45.1382
0.00084 43.75602 45.006
0.00086 43.60987 44.8599
0.00088 43.44989 44.6999
0.00090 43.27624 44.5262
0.00092 43.08914 44.3391
0.00094 42.88879 44.1388
0.00096 42.67542 43.9254
0.00098 42.44926 43.6993
0.00100 42.21055 43.4605
0.00102 41.95956 43.2096
0.00104 41.69654 42.9465
0.00106 41.42178 42.6718
0.00108 41.13555 42.3856
0.00110 40.83816 42.0882
0.00112 40.52990 41.7799
0.00114 40.21108 41.4611
0.00116 39.88203 41.132
0.00118 39.54307 40.7931
0.00120 39.19453 40.4445
0.00122 38.83676 40.0868
0.00124 38.47009 39.7201
0.00126 38.09486 39.3449
0.00128 37.71144 38.9614
0.00130 37.32018 38.5702
0.00132 36.92143 38.1714
0.00134 36.51555 37.7655
0.00136 36.10290 37.3529
0.00138 35.68385 36.9338
0.00140 35.25876 36.5088
0.00142 34.82800 36.078
0.00144 34.39194 35.6419
0.00146 33.95095 35.2009
0.00148 33.50539 34.7554
0.00150 33.05561 34.3056
0.00152 32.60200 33.852
