# XXZ spin chain 
# ED for L=16, Delta=1.0
# Integrated and normalized dynamical spin conductivity
# omega/J I~(omega)

0.0000000000000000 0.2034
5.00000000000000010E-004 0.2034
1.00000000000000002E-003 0.2034
1.50000000000000003E-003 0.2034
2.00000000000000004E-003 0.2034
2.50000000000000005E-003 0.2034
3.00000000000000006E-003 0.203401
3.50000000000000007E-003 0.203401
4.00000000000000008E-003 0.203401
4.49999999999999966E-003 0.203401
5.00000000000000010E-003 0.203401
5.49999999999999968E-003 0.203401
6.00000000000000012E-003 0.203401
6.49999999999999970E-003 0.203401
7.00000000000000015E-003 0.203401
7.49999999999999972E-003 0.203401
8.00000000000000017E-003 0.203401
8.50000000000000061E-003 0.203401
8.99999999999999932E-003 0.203401
9.49999999999999976E-003 0.203401
1.00000000000000002E-002 0.203401
1.05000000000000007E-002 0.203402
1.09999999999999994E-002 0.203402
1.14999999999999998E-002 0.203402
1.20000000000000002E-002 0.203402
1.25000000000000007E-002 0.203402
1.29999999999999994E-002 0.203403
1.34999999999999998E-002 0.203403
1.40000000000000003E-002 0.203403
1.45000000000000007E-002 0.203404
1.49999999999999994E-002 0.203404
1.54999999999999999E-002 0.203404
1.60000000000000003E-002 0.203405
1.65000000000000008E-002 0.203406
1.70000000000000012E-002 0.203406
1.75000000000000017E-002 0.203407
1.79999999999999986E-002 0.203407
1.84999999999999991E-002 0.203407
1.89999999999999995E-002 0.203408
1.95000000000000000E-002 0.203409
2.00000000000000004E-002 0.203409
2.05000000000000009E-002 0.20341
2.10000000000000013E-002 0.203411
2.14999999999999983E-002 0.203411
2.19999999999999987E-002 0.203412
2.24999999999999992E-002 0.203413
2.29999999999999996E-002 0.203413
2.35000000000000001E-002 0.203414
2.40000000000000005E-002 0.203415
2.45000000000000009E-002 0.203416
2.50000000000000014E-002 0.203417
2.54999999999999984E-002 0.203417
2.59999999999999988E-002 0.203418
2.64999999999999993E-002 0.20342
2.69999999999999997E-002 0.203421
2.75000000000000001E-002 0.203422
2.80000000000000006E-002 0.203424
2.85000000000000010E-002 0.203425
2.90000000000000015E-002 0.203426
2.94999999999999984E-002 0.203427
2.99999999999999989E-002 0.203428
3.04999999999999993E-002 0.20343
3.09999999999999998E-002 0.203432
3.15000000000000002E-002 0.203433
3.20000000000000007E-002 0.203435
3.25000000000000011E-002 0.203436
3.30000000000000016E-002 0.203437
3.35000000000000020E-002 0.203439
3.40000000000000024E-002 0.20344
3.45000000000000029E-002 0.203441
3.50000000000000033E-002 0.203443
3.54999999999999968E-002 0.203445
3.59999999999999973E-002 0.203448
3.64999999999999977E-002 0.20345
3.69999999999999982E-002 0.203452
3.74999999999999986E-002 0.203453
3.79999999999999991E-002 0.203455
3.84999999999999995E-002 0.203457
3.89999999999999999E-002 0.203459
3.95000000000000004E-002 0.203463
4.00000000000000008E-002 0.203466
4.05000000000000013E-002 0.203467
4.10000000000000017E-002 0.203469
4.15000000000000022E-002 0.203472
4.20000000000000026E-002 0.203474
4.25000000000000031E-002 0.203476
4.29999999999999966E-002 0.203478
4.34999999999999970E-002 0.203482
4.39999999999999974E-002 0.203484
4.44999999999999979E-002 0.203486
4.49999999999999983E-002 0.203489
4.54999999999999988E-002 0.203492
4.59999999999999992E-002 0.203496
4.64999999999999997E-002 0.203501
4.70000000000000001E-002 0.203504
4.75000000000000006E-002 0.203509
4.80000000000000010E-002 0.203511
4.85000000000000014E-002 0.203513
4.90000000000000019E-002 0.203516
4.95000000000000023E-002 0.203519
5.00000000000000028E-002 0.203523
5.05000000000000032E-002 0.203528
5.09999999999999967E-002 0.203531
5.14999999999999972E-002 0.203535
5.19999999999999976E-002 0.203539
5.24999999999999981E-002 0.203543
5.29999999999999985E-002 0.203544
5.34999999999999989E-002 0.203552
5.39999999999999994E-002 0.203554
5.44999999999999998E-002 0.203555
5.50000000000000003E-002 0.203558
5.55000000000000007E-002 0.20356
5.60000000000000012E-002 0.203563
5.65000000000000016E-002 0.203569
5.70000000000000021E-002 0.203572
5.75000000000000025E-002 0.203577
5.80000000000000029E-002 0.20358
5.85000000000000034E-002 0.203584
5.89999999999999969E-002 0.203589
5.94999999999999973E-002 0.203593
5.99999999999999978E-002 0.203595
