# XXZ spin chain 
# ED for L=20, Delta=0.5
# Spin conductivity sigma(omega)
# omega/J sigma~(omega)

0.0000000000000000 489.916
5.00000000000000010E-004 5.70523e-07
1.00000000000000002E-003 1.74114e-06
1.50000000000000003E-003 3.20602e-06
2.00000000000000004E-003 5.48138e-06
2.50000000000000005E-003 7.78368e-06
3.00000000000000006E-003 1.14597e-05
3.50000000000000007E-003 1.5421e-05
4.00000000000000008E-003 2.1233e-05
4.49999999999999966E-003 2.5473e-05
5.00000000000000010E-003 2.67137e-05
5.49999999999999968E-003 3.29785e-05
6.00000000000000012E-003 4.20452e-05
6.49999999999999970E-003 4.86044e-05
7.00000000000000015E-003 5.4976e-05
7.49999999999999972E-003 6.64327e-05
8.00000000000000017E-003 7.49262e-05
8.50000000000000061E-003 8.11958e-05
8.99999999999999932E-003 9.80617e-05
9.49999999999999976E-003 0.000105235
1.00000000000000002E-002 0.000104945
1.05000000000000007E-002 0.000130839
1.09999999999999994E-002 0.000132037
1.14999999999999998E-002 0.000135868
1.20000000000000002E-002 0.000165604
1.25000000000000007E-002 0.000189007
1.29999999999999994E-002 0.000193872
1.34999999999999998E-002 0.000188275
1.40000000000000003E-002 0.000227068
1.45000000000000007E-002 0.000230382
1.49999999999999994E-002 0.000253183
1.54999999999999999E-002 0.00027936
1.60000000000000003E-002 0.00029235
1.65000000000000008E-002 0.000298247
1.70000000000000012E-002 0.000311862
1.75000000000000017E-002 0.00036801
1.79999999999999986E-002 0.000333386
1.84999999999999991E-002 0.000365268
1.89999999999999995E-002 0.000396241
1.95000000000000000E-002 0.000467198
2.00000000000000004E-002 0.000413732
2.05000000000000009E-002 0.000495556
2.10000000000000013E-002 0.000483378
2.14999999999999983E-002 0.000549141
2.19999999999999987E-002 0.000500385
2.24999999999999992E-002 0.000569919
2.29999999999999996E-002 0.000568727
2.35000000000000001E-002 0.000638659
2.40000000000000005E-002 0.000611809
2.45000000000000009E-002 0.000689915
2.50000000000000014E-002 0.00080706
2.54999999999999984E-002 0.000614623
2.59999999999999988E-002 0.000753784
2.64999999999999993E-002 0.00077732
2.69999999999999997E-002 0.000807037
2.75000000000000001E-002 0.000896239
2.80000000000000006E-002 0.000847694
2.85000000000000010E-002 0.000897067
2.90000000000000015E-002 0.000888143
2.94999999999999984E-002 0.000991453
2.99999999999999989E-002 0.00104195
3.04999999999999993E-002 0.00119638
3.09999999999999998E-002 0.00117952
3.15000000000000002E-002 0.00104202
3.20000000000000007E-002 0.00115862
3.25000000000000011E-002 0.00135315
3.30000000000000016E-002 0.00131355
3.35000000000000020E-002 0.0013926
3.40000000000000024E-002 0.00151903
3.45000000000000029E-002 0.00141385
3.50000000000000033E-002 0.00144288
3.54999999999999968E-002 0.00153425
3.59999999999999973E-002 0.00170422
3.64999999999999977E-002 0.00170012
3.69999999999999982E-002 0.00190372
3.74999999999999986E-002 0.00181948
3.79999999999999991E-002 0.00190994
3.84999999999999995E-002 0.00210093
3.89999999999999999E-002 0.00219618
3.95000000000000004E-002 0.00227489
4.00000000000000008E-002 0.00253411
4.05000000000000013E-002 0.00234414
4.10000000000000017E-002 0.00262748
4.15000000000000022E-002 0.00281258
4.20000000000000026E-002 0.00307406
4.25000000000000031E-002 0.00309024
4.29999999999999966E-002 0.00317548
4.34999999999999970E-002 0.00359371
4.39999999999999974E-002 0.0033151
4.44999999999999979E-002 0.00331562
4.49999999999999983E-002 0.00372597
4.54999999999999988E-002 0.00441252
4.59999999999999992E-002 0.00442561
4.64999999999999997E-002 0.00421715
4.70000000000000001E-002 0.00432409
4.75000000000000006E-002 0.00487568
4.80000000000000010E-002 0.00478068
4.85000000000000014E-002 0.00466638
4.90000000000000019E-002 0.00481995
4.95000000000000023E-002 0.00509963
5.00000000000000028E-002 0.00545259
5.05000000000000032E-002 0.00604401
5.09999999999999967E-002 0.00584952
5.14999999999999972E-002 0.00590826
5.19999999999999976E-002 0.00631343
5.24999999999999981E-002 0.00672369
5.29999999999999985E-002 0.00692669
5.34999999999999989E-002 0.00615085
5.39999999999999994E-002 0.00631639
5.44999999999999998E-002 0.0073607
5.50000000000000003E-002 0.00744279
5.55000000000000007E-002 0.00770481
5.60000000000000012E-002 0.00703441
5.65000000000000016E-002 0.00815823
5.70000000000000021E-002 0.00760136
5.75000000000000025E-002 0.00867581
5.80000000000000029E-002 0.00980295
5.85000000000000034E-002 0.00819632
5.89999999999999969E-002 0.00948614
5.94999999999999973E-002 0.00996725
5.99999999999999978E-002 0.0101235
6.04999999999999982E-002 0.010272
6.09999999999999987E-002 0.0117277
6.14999999999999991E-002 0.0107644
6.19999999999999996E-002 0.0121427
6.25000000000000000E-002 0.0133425
6.30000000000000004E-002 0.0132794
6.35000000000000009E-002 0.0181456
6.40000000000000013E-002 0.0169258
6.45000000000000018E-002 0.0149848
6.50000000000000022E-002 0.0162761
6.55000000000000027E-002 0.0194718
6.60000000000000031E-002 0.0160088
6.65000000000000036E-002 0.0170129
6.70000000000000040E-002 0.0172427
6.75000000000000044E-002 0.0187536
6.80000000000000049E-002 0.0231298
6.85000000000000053E-002 0.0195868
6.90000000000000058E-002 0.020553
6.95000000000000062E-002 0.0212473
7.00000000000000067E-002 0.0207778
7.04999999999999932E-002 0.0184918
7.09999999999999937E-002 0.0218453
7.14999999999999941E-002 0.0218475
