# XXZ spin chain 
# ED for L=20, Delta=0.25
# Spin conductivity sigma(omega)
# omega/J sigma~(omega)

0.0000000000000000 587.082
5.00000000000000010E-004 2.47224e-06
1.00000000000000002E-003 6.02044e-06
1.50000000000000003E-003 1.23559e-05
2.00000000000000004E-003 2.09529e-05
2.50000000000000005E-003 3.21102e-05
3.00000000000000006E-003 4.1889e-05
3.50000000000000007E-003 5.5306e-05
4.00000000000000008E-003 8.10507e-05
4.49999999999999966E-003 8.59235e-05
5.00000000000000010E-003 0.00011932
5.49999999999999968E-003 0.000139512
6.00000000000000012E-003 0.00013751
6.49999999999999970E-003 0.00018527
7.00000000000000015E-003 0.000185809
7.49999999999999972E-003 0.000227226
8.00000000000000017E-003 0.000260521
8.50000000000000061E-003 0.000327301
8.99999999999999932E-003 0.000328085
9.49999999999999976E-003 0.000360059
1.00000000000000002E-002 0.000360992
1.05000000000000007E-002 0.000468967
1.09999999999999994E-002 0.000489895
1.14999999999999998E-002 0.000531434
1.20000000000000002E-002 0.00055215
1.25000000000000007E-002 0.000561481
1.29999999999999994E-002 0.000620253
1.34999999999999998E-002 0.000660569
1.40000000000000003E-002 0.000743951
1.45000000000000007E-002 0.000754953
1.49999999999999994E-002 0.000799783
1.54999999999999999E-002 0.000939568
1.60000000000000003E-002 0.000822458
1.65000000000000008E-002 0.00101993
1.70000000000000012E-002 0.00112118
1.75000000000000017E-002 0.00113474
1.79999999999999986E-002 0.00136275
1.84999999999999991E-002 0.00130966
1.89999999999999995E-002 0.00103337
1.95000000000000000E-002 0.00135938
2.00000000000000004E-002 0.00134902
2.05000000000000009E-002 0.00191342
2.10000000000000013E-002 0.00430495
2.14999999999999983E-002 0.00663369
2.19999999999999987E-002 0.0118325
2.24999999999999992E-002 0.0174352
2.29999999999999996E-002 0.0186112
2.35000000000000001E-002 0.0212599
2.40000000000000005E-002 0.0187337
2.45000000000000009E-002 0.0246322
2.50000000000000014E-002 0.0358034
2.54999999999999984E-002 0.0377848
2.59999999999999988E-002 0.0306478
2.64999999999999993E-002 0.0380887
2.69999999999999997E-002 0.0534835
2.75000000000000001E-002 0.0396141
2.80000000000000006E-002 0.0278843
2.85000000000000010E-002 0.0380807
2.90000000000000015E-002 0.0468491
2.94999999999999984E-002 0.0731307
2.99999999999999989E-002 0.0852945
3.04999999999999993E-002 0.078581
3.09999999999999998E-002 0.06922
3.15000000000000002E-002 0.0810858
3.20000000000000007E-002 0.0712292
3.25000000000000011E-002 0.0556702
3.30000000000000016E-002 0.0739368
3.35000000000000020E-002 0.107615
3.40000000000000024E-002 0.0965037
3.45000000000000029E-002 0.116273
3.50000000000000033E-002 0.13501
3.54999999999999968E-002 0.125307
3.59999999999999973E-002 0.109658
3.64999999999999977E-002 0.1001
3.69999999999999982E-002 0.0873522
3.74999999999999986E-002 0.097377
3.79999999999999991E-002 0.11055
3.84999999999999995E-002 0.159369
3.89999999999999999E-002 0.162926
3.95000000000000004E-002 0.153009
4.00000000000000008E-002 0.160093
4.05000000000000013E-002 0.142172
4.10000000000000017E-002 0.128225
4.15000000000000022E-002 0.132886
4.20000000000000026E-002 0.188482
4.25000000000000031E-002 0.19246
4.29999999999999966E-002 0.212543
4.34999999999999970E-002 0.210218
4.39999999999999974E-002 0.225613
4.44999999999999979E-002 0.229802
4.49999999999999983E-002 0.216894
4.54999999999999988E-002 0.20985
4.59999999999999992E-002 0.208439
4.64999999999999997E-002 0.218142
4.70000000000000001E-002 0.210571
4.75000000000000006E-002 0.236984
4.80000000000000010E-002 0.261459
4.85000000000000014E-002 0.289282
4.90000000000000019E-002 0.276239
4.95000000000000023E-002 0.256274
5.00000000000000028E-002 0.23944
5.05000000000000032E-002 0.266479
5.09999999999999967E-002 0.241237
5.14999999999999972E-002 0.247001
5.19999999999999976E-002 0.276997
5.24999999999999981E-002 0.307259
5.29999999999999985E-002 0.330962
5.34999999999999989E-002 0.313737
5.39999999999999994E-002 0.319688
5.44999999999999998E-002 0.307814
5.50000000000000003E-002 0.336636
5.55000000000000007E-002 0.321331
5.60000000000000012E-002 0.355041
5.65000000000000016E-002 0.394729
5.70000000000000021E-002 0.367181
5.75000000000000025E-002 0.338879
5.80000000000000029E-002 0.33942
5.85000000000000034E-002 0.410117
5.89999999999999969E-002 0.395289
5.94999999999999973E-002 0.370619
5.99999999999999978E-002 0.358403
6.04999999999999982E-002 0.436062
6.09999999999999987E-002 0.365077
