# XXZ spin chain 
# ED for L=20, Delta=1/sqrt(2)-0.1
# Detailed analysis of sigma_reg(omega) spectra in vicinity of Delta=1/sqrt(2)
# omega/J sigma_reg(omega)

0.0000000000000000 0
5.00000000000000010E-004 0
1.00000000000000002E-003 0
1.50000000000000003E-003 0
2.00000000000000004E-003 0
2.50000000000000005E-003 0
3.00000000000000006E-003 0
3.50000000000000007E-003 0
4.00000000000000008E-003 0
4.49999999999999966E-003 0
5.00000000000000010E-003 3.80752e-06
5.49999999999999968E-003 5.40402e-06
6.00000000000000012E-003 5.14152e-06
6.49999999999999970E-003 7.50653e-06
7.00000000000000015E-003 6.64853e-06
7.49999999999999972E-003 1.08615e-05
8.00000000000000017E-003 8.95793e-06
8.50000000000000061E-003 1.06676e-05
8.99999999999999932E-003 9.65225e-06
9.49999999999999976E-003 1.41513e-05
1.00000000000000002E-002 1.29178e-05
1.05000000000000007E-002 1.35143e-05
1.09999999999999994E-002 1.67845e-05
1.14999999999999998E-002 1.67612e-05
1.20000000000000002E-002 1.46423e-05
1.25000000000000007E-002 1.57567e-05
1.29999999999999994E-002 1.65593e-05
1.34999999999999998E-002 1.67321e-05
1.40000000000000003E-002 1.97039e-05
1.45000000000000007E-002 2.28244e-05
1.49999999999999994E-002 2.53867e-05
1.54999999999999999E-002 2.42363e-05
1.60000000000000003E-002 2.53775e-05
1.65000000000000008E-002 3.03221e-05
1.70000000000000012E-002 3.09195e-05
1.75000000000000017E-002 3.0882e-05
1.79999999999999986E-002 3.59395e-05
1.84999999999999991E-002 3.24869e-05
1.89999999999999995E-002 3.49728e-05
1.95000000000000000E-002 3.49108e-05
2.00000000000000004E-002 4.18377e-05
2.05000000000000009E-002 6.71931e-05
2.10000000000000013E-002 4.79939e-05
2.14999999999999983E-002 4.3538e-05
2.19999999999999987E-002 5.44819e-05
2.24999999999999992E-002 6.06777e-05
2.29999999999999996E-002 5.64689e-05
2.35000000000000001E-002 6.34423e-05
2.40000000000000005E-002 9.55397e-05
2.45000000000000009E-002 0.000280249
2.50000000000000014E-002 0.000181019
2.54999999999999984E-002 0.000366332
2.59999999999999988E-002 0.000673247
2.64999999999999993E-002 0.000281001
2.69999999999999997E-002 0.000811623
2.75000000000000001E-002 0.0012471
2.80000000000000006E-002 0.00116012
2.85000000000000010E-002 0.0010482
2.90000000000000015E-002 0.00117696
2.94999999999999984E-002 0.00180918
2.99999999999999989E-002 0.002207
3.04999999999999993E-002 0.0020036
3.09999999999999998E-002 0.00225422
3.15000000000000002E-002 0.00280314
3.20000000000000007E-002 0.00351058
3.25000000000000011E-002 0.00339602
3.30000000000000016E-002 0.00478467
3.35000000000000020E-002 0.00424307
3.40000000000000024E-002 0.004432
3.45000000000000029E-002 0.00627092
3.50000000000000033E-002 0.00560132
3.54999999999999968E-002 0.00529962
3.59999999999999973E-002 0.00468145
3.64999999999999977E-002 0.00679605
3.69999999999999982E-002 0.00630252
3.74999999999999986E-002 0.00625529
3.79999999999999991E-002 0.00682691
3.84999999999999995E-002 0.00937815
3.89999999999999999E-002 0.00743338
3.95000000000000004E-002 0.00772159
4.00000000000000008E-002 0.00798164
4.05000000000000013E-002 0.00962877
4.10000000000000017E-002 0.0108693
4.15000000000000022E-002 0.0103848
4.20000000000000026E-002 0.0129988
4.25000000000000031E-002 0.014055
4.29999999999999966E-002 0.011575
4.34999999999999970E-002 0.0158294
4.39999999999999974E-002 0.0132948
4.44999999999999979E-002 0.011826
4.49999999999999983E-002 0.013362
4.54999999999999988E-002 0.0133687
4.59999999999999992E-002 0.0135747
4.64999999999999997E-002 0.0134706
4.70000000000000001E-002 0.0112059
4.75000000000000006E-002 0.0150647
4.80000000000000010E-002 0.0144218
4.85000000000000014E-002 0.0131905
4.90000000000000019E-002 0.013903
4.95000000000000023E-002 0.0120194
5.00000000000000028E-002 0.0149918
5.05000000000000032E-002 0.0137473
5.09999999999999967E-002 0.0175289
5.14999999999999972E-002 0.0159673
5.19999999999999976E-002 0.0164093
5.24999999999999981E-002 0.0169676
5.29999999999999985E-002 0.0139759
5.34999999999999989E-002 0.0168496
5.39999999999999994E-002 0.0174463
5.44999999999999998E-002 0.0143055
5.50000000000000003E-002 0.0141463
5.55000000000000007E-002 0.0114636
5.60000000000000012E-002 0.013504
5.65000000000000016E-002 0.0130147
5.70000000000000021E-002 0.0104449
5.75000000000000025E-002 0.0120189
5.80000000000000029E-002 0.0116486
5.85000000000000034E-002 0.0124628
5.89999999999999969E-002 0.00932692
5.94999999999999973E-002 0.0121157
5.99999999999999978E-002 0.01001
6.04999999999999982E-002 0.0113973
6.09999999999999987E-002 0.0123152
6.14999999999999991E-002 0.0102575
6.19999999999999996E-002 0.0100492
6.25000000000000000E-002 0.0112242
6.30000000000000004E-002 0.00852685
6.35000000000000009E-002 0.0103666
6.40000000000000013E-002 0.00923209
6.45000000000000018E-002 0.00731376
6.50000000000000022E-002 0.00747872
6.55000000000000027E-002 0.00659555
6.60000000000000031E-002 0.00756442
6.65000000000000036E-002 0.00992223
6.70000000000000040E-002 0.00871278
6.75000000000000044E-002 0.0065644
6.80000000000000049E-002 0.0083085
6.85000000000000053E-002 0.00795843
6.90000000000000058E-002 0.00716501
6.95000000000000062E-002 0.00776658
7.00000000000000067E-002 0.00737199
7.04999999999999932E-002 0.00732296
7.09999999999999937E-002 0.00591469
7.14999999999999941E-002 0.00638684
7.19999999999999946E-002 0.00558066
7.24999999999999950E-002 0.00610144
7.29999999999999954E-002 0.00652703
7.34999999999999959E-002 0.00490491
7.39999999999999963E-002 0.00581335
7.44999999999999968E-002 0.0062407
7.49999999999999972E-002 0.00616826
7.54999999999999977E-002 0.00565757
7.59999999999999981E-002 0.00535878
7.64999999999999986E-002 0.00638001
7.69999999999999990E-002 0.00511299
7.74999999999999994E-002 0.00557719
7.79999999999999999E-002 0.00523387
7.85000000000000003E-002 0.00555849
7.90000000000000008E-002 0.00464283
7.95000000000000012E-002 0.00616132
8.00000000000000017E-002 0.00457297
8.05000000000000021E-002 0.00495849
8.10000000000000026E-002 0.00599029
8.15000000000000030E-002 0.00536727
8.20000000000000034E-002 0.00611746
8.25000000000000039E-002 0.0063078
8.30000000000000043E-002 0.00621655
8.35000000000000048E-002 0.00580677
8.40000000000000052E-002 0.00594179
8.45000000000000057E-002 0.00592053
8.50000000000000061E-002 0.00550162
8.55000000000000066E-002 0.00533225
8.59999999999999931E-002 0.00554447
8.64999999999999936E-002 0.00593224
8.69999999999999940E-002 0.00554941
8.74999999999999944E-002 0.00548839
8.79999999999999949E-002 0.00533075
8.84999999999999953E-002 0.00447977
8.89999999999999958E-002 0.00580631
8.94999999999999962E-002 0.00512028
8.99999999999999967E-002 0.0061313
9.04999999999999971E-002 0.00557566
9.09999999999999976E-002 0.00568119
9.14999999999999980E-002 0.00574745
9.19999999999999984E-002 0.00634724
9.24999999999999989E-002 0.0055638
9.29999999999999993E-002 0.00593048
9.34999999999999998E-002 0.00591181
9.40000000000000002E-002 0.00613803
9.45000000000000007E-002 0.00594533
9.50000000000000011E-002 0.00556732
9.55000000000000016E-002 0.00648345
9.60000000000000020E-002 0.00557646
9.65000000000000024E-002 0.00610132
9.70000000000000029E-002 0.00704769
9.75000000000000033E-002 0.00630216
9.80000000000000038E-002 0.00607376
9.85000000000000042E-002 0.006415
9.90000000000000047E-002 0.00676359
9.95000000000000051E-002 0.00626532
0.10000000000000001 0.00721756
0.10050000000000001 0.00709448
0.10100000000000001 0.00644176
0.10150000000000001 0.0073302
0.10199999999999999 0.00700309
0.10249999999999999 0.00658558
0.10299999999999999 0.00689082
0.10349999999999999 0.00694681
0.10400000000000000 0.00695686
0.10450000000000000 0.00722755
0.10500000000000000 0.0068422
0.10550000000000000 0.00668908
0.10600000000000000 0.00680545
0.10650000000000000 0.00751577
0.10700000000000000 0.00694525
0.10750000000000000 0.00779782
0.10800000000000000 0.0076464
0.10850000000000000 0.00705294
0.10900000000000000 0.00775666
0.10950000000000000 0.00784964
0.11000000000000000 0.00714375
0.11050000000000000 0.00814884
0.11100000000000000 0.00828213
0.11150000000000000 0.00798953
0.11200000000000000 0.00765645
0.11250000000000000 0.00823097
0.11300000000000000 0.00856857
0.11350000000000000 0.00852196
0.11400000000000000 0.00852325
0.11450000000000000 0.00862367
0.11500000000000000 0.00817335
0.11550000000000001 0.00796167
0.11600000000000001 0.00758396
0.11650000000000001 0.00770709
0.11700000000000001 0.00830194
0.11749999999999999 0.00866955
0.11799999999999999 0.00970945
0.11849999999999999 0.00859579
0.11899999999999999 0.00801203
