# XXZ spin chain 
# ED for L=20, Delta=0.1
# Detailed analysis of sigma_reg(omega) spectra in vicinity of Delta=0
# omega/J sigma_reg(omega)

0.0000000000000000 0
5.00000000000000010E-004 0
1.00000000000000002E-003 0
1.50000000000000003E-003 0
2.00000000000000004E-003 0
2.50000000000000005E-003 0
3.00000000000000006E-003 0
3.50000000000000007E-003 0
4.00000000000000008E-003 0
4.49999999999999966E-003 0
5.00000000000000010E-003 5.56675e-05
5.49999999999999968E-003 8.6559e-05
6.00000000000000012E-003 8.45256e-05
6.49999999999999970E-003 0.000130273
7.00000000000000015E-003 0.000598702
7.49999999999999972E-003 0.000958613
8.00000000000000017E-003 0.00490249
8.50000000000000061E-003 0.0073968
8.99999999999999932E-003 0.00596562
9.49999999999999976E-003 0.00658231
1.00000000000000002E-002 0.00553886
1.05000000000000007E-002 0.00623104
1.09999999999999994E-002 0.010698
1.14999999999999998E-002 0.0120204
1.20000000000000002E-002 0.00999493
1.25000000000000007E-002 0.00996377
1.29999999999999994E-002 0.01315
1.34999999999999998E-002 0.0179043
1.40000000000000003E-002 0.0227913
1.45000000000000007E-002 0.0165449
1.49999999999999994E-002 0.0173568
1.54999999999999999E-002 0.022147
1.60000000000000003E-002 0.0236036
1.65000000000000008E-002 0.032337
1.70000000000000012E-002 0.0365974
1.75000000000000017E-002 0.0283514
1.79999999999999986E-002 0.0300165
1.84999999999999991E-002 0.0365617
1.89999999999999995E-002 0.0367357
1.95000000000000000E-002 0.0408873
2.00000000000000004E-002 0.0481656
2.05000000000000009E-002 0.0439411
2.10000000000000013E-002 0.048218
2.14999999999999983E-002 0.0556774
2.19999999999999987E-002 0.0556695
2.24999999999999992E-002 0.0673861
2.29999999999999996E-002 0.0597543
2.35000000000000001E-002 0.0687641
2.40000000000000005E-002 0.0591152
2.45000000000000009E-002 0.0709339
2.50000000000000014E-002 0.0663182
2.54999999999999984E-002 0.0741308
2.59999999999999988E-002 0.0762705
2.64999999999999993E-002 0.0774595
2.69999999999999997E-002 0.0961859
2.75000000000000001E-002 0.102774
2.80000000000000006E-002 0.101707
2.85000000000000010E-002 0.101752
2.90000000000000015E-002 0.0969528
2.94999999999999984E-002 0.116041
2.99999999999999989E-002 0.106964
3.04999999999999993E-002 0.119796
3.09999999999999998E-002 0.13329
3.15000000000000002E-002 0.142467
3.20000000000000007E-002 0.150202
3.25000000000000011E-002 0.144672
3.30000000000000016E-002 0.142981
3.35000000000000020E-002 0.166336
3.40000000000000024E-002 0.155352
3.45000000000000029E-002 0.152554
3.50000000000000033E-002 0.169284
3.54999999999999968E-002 0.166735
3.59999999999999973E-002 0.158524
3.64999999999999977E-002 0.176173
3.69999999999999982E-002 0.159496
3.74999999999999986E-002 0.151752
3.79999999999999991E-002 0.152606
3.84999999999999995E-002 0.140328
3.89999999999999999E-002 0.134953
3.95000000000000004E-002 0.139644
4.00000000000000008E-002 0.123244
4.05000000000000013E-002 0.128429
4.10000000000000017E-002 0.125326
4.15000000000000022E-002 0.123591
4.20000000000000026E-002 0.116538
4.25000000000000031E-002 0.120359
4.29999999999999966E-002 0.10047
4.34999999999999970E-002 0.109695
4.39999999999999974E-002 0.10139
4.44999999999999979E-002 0.0952521
4.49999999999999983E-002 0.0844071
4.54999999999999988E-002 0.0976464
4.59999999999999992E-002 0.0879611
4.64999999999999997E-002 0.0875149
4.70000000000000001E-002 0.0774171
4.75000000000000006E-002 0.0735067
4.80000000000000010E-002 0.0763759
4.85000000000000014E-002 0.0742024
4.90000000000000019E-002 0.0530462
4.95000000000000023E-002 0.0627477
5.00000000000000028E-002 0.0689004
5.05000000000000032E-002 0.0579417
5.09999999999999967E-002 0.0582454
5.14999999999999972E-002 0.0580377
5.19999999999999976E-002 0.054079
5.24999999999999981E-002 0.0602555
5.29999999999999985E-002 0.0558782
5.34999999999999989E-002 0.0476609
5.39999999999999994E-002 0.0457373
5.44999999999999998E-002 0.0486899
5.50000000000000003E-002 0.0530367
5.55000000000000007E-002 0.0451648
5.60000000000000012E-002 0.0476361
5.65000000000000016E-002 0.043119
5.70000000000000021E-002 0.0360461
5.75000000000000025E-002 0.0412689
5.80000000000000029E-002 0.0398433
5.85000000000000034E-002 0.0440844
5.89999999999999969E-002 0.0392525
5.94999999999999973E-002 0.0372739
5.99999999999999978E-002 0.0402422
6.04999999999999982E-002 0.0351719
6.09999999999999987E-002 0.0346259
6.14999999999999991E-002 0.035592
6.19999999999999996E-002 0.0327249
6.25000000000000000E-002 0.0302931
6.30000000000000004E-002 0.0334063
6.35000000000000009E-002 0.0317048
6.40000000000000013E-002 0.030127
6.45000000000000018E-002 0.0303932
6.50000000000000022E-002 0.0262571
6.55000000000000027E-002 0.029485
6.60000000000000031E-002 0.0320928
6.65000000000000036E-002 0.027371
6.70000000000000040E-002 0.0266045
6.75000000000000044E-002 0.028201
6.80000000000000049E-002 0.0250535
6.85000000000000053E-002 0.026551
6.90000000000000058E-002 0.022015
6.95000000000000062E-002 0.0252708
7.00000000000000067E-002 0.023196
7.04999999999999932E-002 0.0253252
7.09999999999999937E-002 0.022494
7.14999999999999941E-002 0.0211066
7.19999999999999946E-002 0.0199111
7.24999999999999950E-002 0.0225799
7.29999999999999954E-002 0.0190189
7.34999999999999959E-002 0.019917
7.39999999999999963E-002 0.0189444
7.44999999999999968E-002 0.0194823
7.49999999999999972E-002 0.0197034
7.54999999999999977E-002 0.017162
7.59999999999999981E-002 0.0204168
7.64999999999999986E-002 0.0137576
7.69999999999999990E-002 0.0163557
7.74999999999999994E-002 0.0149516
7.79999999999999999E-002 0.0173725
7.85000000000000003E-002 0.0163565
7.90000000000000008E-002 0.0133554
7.95000000000000012E-002 0.0142411
8.00000000000000017E-002 0.0138384
8.05000000000000021E-002 0.0124177
8.10000000000000026E-002 0.0106058
8.15000000000000030E-002 0.0148372
8.20000000000000034E-002 0.0143565
8.25000000000000039E-002 0.0116226
8.30000000000000043E-002 0.0127144
8.35000000000000048E-002 0.0106586
8.40000000000000052E-002 0.0109942
8.45000000000000057E-002 0.0104892
8.50000000000000061E-002 0.0104372
8.55000000000000066E-002 0.0105225
8.59999999999999931E-002 0.00921204
8.64999999999999936E-002 0.0102426
8.69999999999999940E-002 0.00919652
8.74999999999999944E-002 0.0105713
8.79999999999999949E-002 0.0105561
8.84999999999999953E-002 0.0100829
8.89999999999999958E-002 0.0105025
8.94999999999999962E-002 0.00998408
8.99999999999999967E-002 0.00802272
9.04999999999999971E-002 0.0086144
9.09999999999999976E-002 0.00690501
9.14999999999999980E-002 0.00841375
9.19999999999999984E-002 0.00801532
9.24999999999999989E-002 0.00788558
9.29999999999999993E-002 0.00716656
9.34999999999999998E-002 0.00820155
9.40000000000000002E-002 0.00623453
9.45000000000000007E-002 0.00938117
9.50000000000000011E-002 0.00819985
9.55000000000000016E-002 0.00520665
9.60000000000000020E-002 0.00561716
9.65000000000000024E-002 0.00705903
9.70000000000000029E-002 0.00717535
9.75000000000000033E-002 0.00560128
9.80000000000000038E-002 0.00608813
9.85000000000000042E-002 0.00532336
9.90000000000000047E-002 0.00600626
9.95000000000000051E-002 0.00516166
0.10000000000000001 0.00512462
0.10050000000000001 0.00660132
0.10100000000000001 0.00523982
0.10150000000000001 0.00535663
0.10199999999999999 0.00427377
0.10249999999999999 0.0050451
0.10299999999999999 0.00438378
0.10349999999999999 0.00402367
0.10400000000000000 0.00453705
0.10450000000000000 0.00422236
0.10500000000000000 0.00315467
0.10550000000000000 0.00304409
0.10600000000000000 0.00375535
0.10650000000000000 0.00444991
0.10700000000000000 0.00367892
0.10750000000000000 0.00289216
0.10800000000000000 0.0024062
0.10850000000000000 0.00264589
0.10900000000000000 0.00254116
0.10950000000000000 0.00245664
0.11000000000000000 0.00260049
0.11050000000000000 0.00330942
0.11100000000000000 0.00223596
0.11150000000000000 0.00256259
0.11200000000000000 0.00233387
0.11250000000000000 0.00273127
0.11300000000000000 0.00223203
0.11350000000000000 0.00264755
0.11400000000000000 0.00221918
0.11450000000000000 0.0024519
0.11500000000000000 0.00263542
0.11550000000000001 0.00208395
0.11600000000000001 0.00270297
0.11650000000000001 0.00210323
0.11700000000000001 0.00234779
0.11749999999999999 0.00246749
0.11799999999999999 0.00248267
0.11849999999999999 0.00251655
0.11899999999999999 0.00258253
0.11950000000000000 0.00262633
0.12000000000000000 0.00300487
0.12050000000000000 0.00237725
0.12100000000000000 0.00216866
0.12150000000000000 0.0024273
0.12200000000000000 0.00247993
0.12250000000000000 0.00230241
0.12300000000000000 0.00240043
