# XXZ spin chain 
# DTP, L=20, Delta->0.0
# Detailed analysis of sigma_reg(omega) spectra in vicinity of Delta=0
# omega/J sigma_reg(omega)

1.5e-05 0.000448963
3e-05 0.000435427
4.5e-05 0.000413769
6e-05 0.000385245
7.5e-05 0.000351441
9e-05 0.000314127
0.000105 0.000275103
0.00012 0.000236059
0.000135 0.000198465
0.00015 0.000163487
0.000165 0.000131954
0.00018 0.000104351
0.000195 8.08549e-05
0.00021 0.00613839
0.000225 0.00456605
0.00024 0.00332785
0.000255 0.00237643
0.00027 0.00166275
0.000285 0.00113991
0.0003 0.000765703
0.000315 0.00503968
0.00033 0.00325021
0.000345 0.00205405
0.00036 0.00127218
0.000375 0.000772336
0.00039 0.000459787
0.000405 0.000268613
0.00042 0.000154229
0.000435 8.72928e-05
0.00045 4.89947e-05
0.000465 2.75886e-05
0.00048 1.5922e-05
0.000495 9.74688e-06
0.00051 6.60121e-06
0.000525 5.09213e-06
0.00054 4.45018e-06
0.000555 4.26033e-06
0.00057 4.3041e-06
0.000585 4.46956e-06
0.0006 4.70131e-06
0.000615 4.97336e-06
0.00063 5.27467e-06
0.000645 5.60161e-06
0.00066 5.95397e-06
0.000675 6.33279e-06
0.00069 6.73922e-06
0.000705 7.17379e-06
0.00072 7.63607e-06
0.000735 8.12452e-06
0.00075 8.63651e-06
0.000765 9.16846e-06
0.00078 9.716e-06
0.000795 1.02743e-05
0.00081 1.08384e-05
0.000825 1.14032e-05
0.00084 1.19645e-05
0.000855 1.25186e-05
0.00087 1.30632e-05
0.000885 1.35977e-05
0.0009 1.41236e-05
0.000915 1.46448e-05
0.00093 1.51683e-05
0.000945 1.57034e-05
0.00096 1.6262e-05
0.000975 1.68573e-05
0.00099 1.75024e-05
0.001005 1.82091e-05
0.00102 1.89849e-05
0.001035 1.98314e-05
0.00105 2.07422e-05
0.001065 2.17014e-05
0.00108 2.26829e-05
0.001095 2.36513e-05
0.00111 2.45637e-05
0.001125 2.53729e-05
0.00114 2.60315e-05
0.001155 2.6497e-05
0.00117 2.67363e-05
0.001185 2.67302e-05
0.0012 2.64763e-05
0.001215 2.59909e-05
0.00123 2.53081e-05
0.001245 2.44778e-05
0.00126 2.35623e-05
0.001275 2.26309e-05
0.00129 2.17549e-05
0.001305 2.10023e-05
0.00132 2.04332e-05
0.001335 2.0096e-05
0.00135 2.00254e-05
0.001365 2.0241e-05
0.00138 2.07478e-05
0.001395 2.1537e-05
0.00141 2.25874e-05
0.001425 2.38678e-05
0.00144 2.53389e-05
0.001455 2.69553e-05
0.00147 2.86676e-05
0.001485 3.04244e-05
0.0015 3.21743e-05
0.001515 3.38675e-05
0.00153 3.54587e-05
0.001545 3.69087e-05
0.00156 3.8187e-05
0.001575 3.92741e-05
0.00159 4.01628e-05
0.001605 4.08597e-05
0.00162 4.1385e-05
0.001635 4.17717e-05
0.00165 4.20633e-05
0.001665 4.23109e-05
0.00168 4.25689e-05
0.001695 4.28912e-05
0.00171 4.33264e-05
0.001725 4.39149e-05
0.00174 4.46862e-05
0.001755 4.56578e-05
0.00177 4.68362e-05
0.001785 4.82185e-05
0.0018 4.97954e-05
0.001815 5.15555e-05
0.00183 5.34889e-05
0.001845 5.55908e-05
0.00186 5.78643e-05
0.001875 6.03213e-05
0.00189 6.29823e-05
0.001905 6.58749e-05
0.00192 6.90298e-05
0.001935 7.24771e-05
0.00195 7.62412e-05
0.001965 8.03356e-05
0.00198 8.47591e-05
0.001995 8.94919e-05
0.00201 9.44935e-05
0.002025 9.97015e-05
0.00204 0.000105032
0.002055 0.000110383
0.00207 0.000115633
0.002085 0.000120649
0.0021 0.00012529
0.002115 0.000129409
0.00213 0.000132866
0.002145 0.00013553
0.00216 0.000137288
0.002175 0.000138059
0.00219 0.000137795
0.002205 0.000136495
0.00222 0.000134211
0.002235 0.000131046
0.00225 0.000127157
0.002265 0.000122746
0.00228 0.000118054
0.002295 0.000113337
0.00231 0.000108858
0.002325 0.000104861
0.00234 0.000101555
0.002355 9.91014e-05
0.00237 9.75979e-05
0.002385 9.70786e-05
0.0024 9.75128e-05
0.002415 9.88124e-05
0.00243 0.000100843
0.002445 0.000103437
0.00246 0.000106411
0.002475 0.000109577
0.00249 0.000112759
0.002505 0.000115799
0.00252 0.000118567
0.002535 0.000120964
0.00255 0.000122924
0.002565 0.000124412
0.00258 0.000125425
0.002595 0.000125988
0.00261 0.00012615
0.002625 0.000125981
0.00264 0.000125564
0.002655 0.000124994
0.00267 0.000124366
0.002685 0.00012377
0.0027 0.000123289
0.002715 0.000122988
0.00273 0.000122915
0.002745 0.000123096
0.00276 0.000123542
0.002775 0.000124247
0.00279 0.000125191
0.002805 0.000126349
0.00282 0.000127692
0.002835 0.000129195
0.00285 0.000130834
0.002865 0.000132593
0.00288 0.000134464
0.002895 0.000136452
0.00291 0.000138571
0.002925 0.00014085
0.00294 0.000143335
0.002955 0.000146087
0.00297 0.000149185
0.002985 0.00015272
0.003 0.000156793
0.003015 0.000161505
0.00303 0.000166951
0.003045 0.000173206
0.00306 0.000180316
0.003075 0.000188289
0.00309 0.000197092
0.003105 0.000206642
0.00312 0.000216819
0.003135 0.000227464
0.00315 0.000238403
0.003165 0.000249459
0.00318 0.000260482
0.003195 0.000271381
0.00321 0.000282157
0.003225 0.000292947
0.00324 0.000304058
0.003255 0.000316013
0.00327 0.000329578
0.003285 0.000345784
0.0033 0.000365933
0.003315 0.000391586
0.00333 0.000424525
0.003345 0.000466699
0.00336 0.000520148
0.003375 0.000586913
0.00339 0.000668943
0.003405 0.000767996
0.00342 0.000885552
0.003435 0.00102274
0.00345 0.00118028
0.003465 0.00135841
0.00348 0.00155691
0.003495 0.00177501
0.00351 0.00201141
0.003525 0.00226428
0.00354 0.00253126
