# 1D Hubbard model 
# MCLM for L=20, U/t=1.50, n=1/2(quarter filling), m=0, M_L=5*10^3 steps
# Charge conductivity sigma(omega)
# omega/J sigma_c(omega) sigma_c(omega){rescaled} 

0.0000000000000000 220.18844332202261 220.688
5.00000000000000010E-003 76.282640632208057 76.7826
1.00000000000000002E-002 1.7741986661633473 2.2742
1.49999999999999994E-002 0.27610142851838287 0.776101
2.00000000000000004E-002 9.64676507067322442E-002 0.596468
2.50000000000000014E-002 3.83746111680260127E-002 0.538375
2.99999999999999989E-002 1.83789895500245486E-002 0.518379
3.50000000000000033E-002 1.17214360325661390E-002 0.511721
4.00000000000000008E-002 8.64461413868350056E-003 0.508645
4.49999999999999983E-002 6.97738314469449963E-003 0.506977
5.00000000000000028E-002 6.59628381175903899E-003 0.506596
5.50000000000000003E-002 6.85431495762863635E-003 0.506854
5.99999999999999978E-002 7.03849380054072903E-003 0.507038
6.50000000000000022E-002 7.58862748823891427E-003 0.507589
7.00000000000000067E-002 8.56751919793707732E-003 0.508568
7.49999999999999972E-002 9.19514832656478411E-003 0.509195
8.00000000000000017E-002 9.89459220017920027E-003 0.509895
8.50000000000000061E-002 1.10630689116123782E-002 0.511063
8.99999999999999967E-002 1.25395848373301803E-002 0.51254
9.50000000000000011E-002 1.42537161205403100E-002 0.514254
0.10000000000000001 1.53742086973175807E-002 0.515374
0.10500000000000000 1.66075783446603675E-002 0.516608
0.11000000000000000 1.88926109102242820E-002 0.518893
0.11500000000000000 2.02337533175726246E-002 0.520234
0.12000000000000000 2.09548018660545773E-002 0.520955
0.12500000000000000 2.33892883450290100E-002 0.523389
0.13000000000000000 2.70980300706143880E-002 0.527098
0.13500000000000001 3.10855270971201504E-002 0.531086
0.14000000000000001 3.43717670926227820E-002 0.534372
0.14499999999999999 3.66226674118288603E-002 0.536623
0.14999999999999999 3.83314388301692899E-002 0.538331
0.15500000000000000 3.93709879873574281E-002 0.539371
0.16000000000000000 4.30010004228283879E-002 0.543001
0.16500000000000001 4.78350889151191172E-002 0.547835
0.17000000000000001 5.04403886752242264E-002 0.55044
0.17500000000000002 5.53865591909151259E-002 0.555387
0.17999999999999999 6.03914451142136890E-002 0.560391
0.18500000000000000 6.24406375374086317E-002 0.562441
0.19000000000000000 6.53622538593871677E-002 0.565362
0.19500000000000001 7.04002362870082971E-002 0.5704
0.20000000000000001 7.52017372824750341E-002 0.575202
0.20500000000000002 7.73561210009000993E-002 0.577356
0.20999999999999999 7.80834193607701094E-002 0.578083
0.21500000000000000 8.35226561690434743E-002 0.583523
0.22000000000000000 8.94333382291619267E-002 0.589433
0.22500000000000001 8.86736226537293004E-002 0.588674
0.23000000000000001 8.63715844713811992E-002 0.586372
