# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.0, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)

0.00159657 0.042142258349393
0.00189865 0.044753085446876
0.00225789 0.047325104017491
0.0026851 0.050230091154843
0.00319314 0.053508479833336
0.0037973 0.056887098917374
0.00451578 0.060251977968386
0.0053702 0.063656600963242
0.00638628 0.067293139401968
0.00759461 0.071064402418602
0.00903156 0.075005557645189
0.0107404 0.078940729894680
0.0127726 0.082951909641699
0.0151892 0.087172383079815
0.0180631 0.091555134743880
0.0214808 0.095952551452114
0.0255451 0.100503180093410
0.0303784 0.105129511260850
0.0361263 0.109990452643155
0.0429616 0.115195579248031
0.0510902 0.120654166344326
0.0607569 0.126324603600727
0.0722525 0.132145040228378
0.0859232 0.138395929714235
0.10218 0.145086835506444
0.121514 0.152280079355571
0.144505 0.160131187649281
0.171846 0.168778439325343
0.204361 0.178466804272908
0.243027 0.189158941893627
0.28901 0.201882078762280
0.343693 0.216106661124005
0.408722 0.233228407815438
0.486055 0.254725271778252
0.57802 0.281878130902360
0.687386 0.317577485811219
0.817444 0.364754493375345
0.97211 0.437935539683470
1.15604 0.529857349035741
1.37477 0.635237845958068
1.63489 0.748694823216064
1.94422 0.843199690043930
2.31208 0.919802755883609
2.74954 0.962373159346112
3.26978 0.982625272974888
3.88844 0.993160737090917
4.62416 0.998133266337458
5.49908 0.999882703749839
6.53955 0.999998521115248
7.77688 0.999999993233456
