# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00178696 0.304071034187776
0.00212506 0.307988553952499
0.00252714 0.311523190411224
0.0030053 0.315358407584866
0.00357392 0.319211922842657
0.00425013 0.323271844707508
0.00505428 0.327345464269873
0.00601059 0.331217369203111
0.00714784 0.335127555350520
0.00850026 0.339159224322479
0.0101086 0.343020779697687
0.0120212 0.346761006244187
0.0142957 0.350514987495637
0.0170005 0.353997783204746
0.0202171 0.357730474720238
0.0240424 0.361443333771764
0.0285913 0.365031279014748
0.034001 0.369137829662108
0.0404343 0.372802752070554
0.0480847 0.377138738662554
0.0571827 0.381552694866919
0.0680021 0.385988002530766
0.0808685 0.390371107309101
0.0961694 0.394495173083084
0.114365 0.398408945718676
0.136004 0.402595020164199
0.161737 0.406879499602841
0.192339 0.410572097162069
0.228731 0.414624163877509
0.272008 0.419091174119135
0.323474 0.423750044108975
0.384678 0.430348582340827
0.457462 0.437493413588387
0.544017 0.445562209789949
0.646948 0.456224112160568
0.769356 0.470680439391705
0.914923 0.509000497915799
1.08803 0.624311374717792
1.2939 0.709113479353923
1.53871 0.769192841931229
1.82985 0.828166710312636
2.17607 0.877321302511958
2.58779 0.914076156961056
3.07742 0.948829583384288
3.65969 0.973802314984199
4.35213 0.990372104228565
5.17559 0.999039557034954
6.15484 0.999975724165327
7.31938 0.999998212417691
8.70426 0.999999985634205
