# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=3.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00236467 0.215139340004757
0.00281209 0.216768396974591
0.00334415 0.218409473487990
0.00397689 0.220119575907254
0.00472935 0.221881069573502
0.00562417 0.223486303811042
0.00668831 0.225352663973455
0.00795378 0.227416729958406
0.00945869 0.229315609347123
0.0112483 0.231517448542603
0.0133766 0.233905699782533
0.0159076 0.236286348057354
0.0189174 0.238652982529140
0.0224967 0.240953158491875
0.0267532 0.243538258919140
0.0318151 0.246156986087154
0.0378348 0.249781532984245
0.0449934 0.252691161704585
0.0535065 0.256344720088931
0.0636303 0.259523503519559
0.0756695 0.263050492860768
0.0899868 0.266287103866597
0.107013 0.270575912449910
0.127261 0.275627551509193
0.151339 0.281305763710867
0.179974 0.287533193120659
0.214026 0.294513715316927
0.254521 0.300973441011687
0.302678 0.308462269169640
0.359947 0.317385411516319
0.428052 0.327954111813261
0.509042 0.340974155128820
0.605356 0.358329700175131
0.719894 0.383375135672384
0.856103 0.434691644335911
1.01808 0.537587923204296
1.21071 0.635968654998727
1.43979 0.725333308124549
1.71221 0.817813317522542
2.03617 0.878857169656588
2.42143 0.924783745143970
2.87958 0.957147596742509
3.42441 0.977418468347160
4.07234 0.987400974977306
4.84285 0.994002871403748
5.75915 0.996768343011768
6.84883 0.998704410423154
8.14467 0.999960314893356
9.6857 0.999999681428757
11.5183 0.999999999079118
