# Random field Heisenberg chain (noninteracting)
# L=16, J=1, Delta=0, W=3.5, h_i in [-W,W]
# Integrated spectral function I_0(omega)
# omega I_0(omega)

0.00228036 0.250312634320969
0.00271182 0.250312634320969
0.00322492 0.250312634320969
0.00383509 0.250312634320969
0.00456072 0.250312634320969
0.00542364 0.250312634320969
0.00644983 0.250312634320969
0.00767019 0.250312634320969
0.00912144 0.250312634320969
0.0108473 0.250312634320969
0.0128997 0.250312634320969
0.0153404 0.250312634320969
0.0182429 0.250312634320969
0.0216946 0.250312634320969
0.0257993 0.250312634320969
0.0306808 0.250312634320969
0.0364858 0.250312634320969
0.0433891 0.250312634320969
0.0515987 0.250316668544108
0.0613615 0.250316668544108
0.0729715 0.250316776847594
0.0867783 0.288787106264713
0.103197 0.288787106264713
0.122723 0.288798099799383
0.145943 0.288798099799383
0.173557 0.288800404380105
0.206395 0.288800404380105
0.245446 0.303746285576213
0.291886 0.303751600639161
0.347113 0.303751600639161
0.412789 0.303751600639161
0.490892 0.303751919643466
0.583772 0.305467634158015
0.694226 0.306467145727673
0.825579 0.313560265445283
0.981784 0.451736062999898
1.16754 0.592332544238409
1.38845 0.796807210379872
1.65116 0.849252163892909
1.96357 0.849287988844463
2.33509 0.920243387702907
2.77691 0.966529941784255
3.30232 0.977277041413636
3.92714 0.985685737173401
4.67018 0.994499437770480
5.55381 0.996737630781431
6.60463 0.997406302545792
7.85427 1.000000000000000
9.34036 1.000000000000000
11.1076 1.000000000000000
