# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=1.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00130307 0.041008813844926
0.00154962 0.043315288848388
0.00184282 0.046196127637559
0.00219149 0.049499704835759
0.00260614 0.053118664840185
0.00309924 0.057125505839921
0.00368564 0.061485963197538
0.00438298 0.066649454651734
0.00521228 0.071946666238455
0.00619847 0.077781207049360
0.00737127 0.083747652049460
0.00876597 0.090290957712424
0.0104246 0.097225785643961
0.0123969 0.104391321055231
0.0147425 0.111776646604036
0.0175319 0.119580647483986
0.0208491 0.127509157953274
0.0247939 0.135442923987668
0.0294851 0.143680187139564
0.0350639 0.151818030075401
0.0416982 0.159956916863223
0.0495878 0.168226256769578
0.0589702 0.176561970296814
0.0701277 0.184990551560063
0.0833964 0.193649481474841
0.0991756 0.202752758774690
0.11794 0.212039884201569
0.140255 0.221639495527323
0.166793 0.231597926173603
0.198351 0.241809171709539
0.235881 0.252247344167900
0.280511 0.263092403106264
0.333586 0.274413184159363
0.396702 0.287321113080092
0.471761 0.303102807102218
0.561022 0.323956022062766
0.667171 0.352603128623697
0.793405 0.392817019139790
0.943523 0.457809915080076
1.12204 0.530378624988836
1.33434 0.604662797176780
1.58681 0.705913903670168
1.88705 0.817038948469959
2.24409 0.895293297967913
2.66868 0.945402251992055
3.17362 0.981650069670901
3.77409 0.996018654078617
4.48818 0.999766792748840
5.33737 0.999992353664576
6.34724 0.999999632015983
