# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=1.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00117939 0.009379898095732
0.00140253 0.010064156352439
0.0016679 0.010844151288293
0.00198348 0.011832710148902
0.00235877 0.012978272668136
0.00280507 0.014320491272096
0.00333581 0.015920716460868
0.00396697 0.017801700266692
0.00471755 0.020037081638083
0.00561014 0.022528156089979
0.00667162 0.025373241600931
0.00793393 0.028593807391087
0.00943509 0.032231234075546
0.0112203 0.036477793846759
0.0133432 0.041073382841816
0.0158679 0.046082132590217
0.0188702 0.051609212282324
0.0224406 0.057505519733473
0.0266865 0.063727568764192
0.0317357 0.070286742017218
0.0377404 0.077321609421544
0.0448811 0.084718093243282
0.0533729 0.092408332720787
0.0634715 0.100468443869633
0.0754807 0.108937676468830
0.0897622 0.117826778448346
0.106746 0.127164149898924
0.126943 0.136936543517523
0.150961 0.147346534300955
0.179524 0.158349292042720
0.213492 0.170106944435868
0.253886 0.182872689543328
0.301923 0.197023543490023
0.359049 0.213134460095824
0.426983 0.232363329743288
0.507772 0.255890744468406
0.603846 0.286081453152781
0.718098 0.325575845006026
0.853967 0.379348317081548
1.01554 0.456359992497572
1.20769 0.553195279901842
1.4362 0.647987095648689
1.70793 0.743845264292293
2.03109 0.840881646940053
2.41538 0.924838765286370
2.87239 0.976825250908183
3.41587 0.996519301880552
4.06217 0.999732802133866
4.83077 0.999986777172790
5.74478 0.999999672269676
