# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=3.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00199429 0.373064001235646
0.00237163 0.374422451054815
0.00282036 0.376007055339466
0.00335399 0.377650127829606
0.00398859 0.379438205993395
0.00474326 0.381248229803911
0.00564071 0.383153134403227
0.00670798 0.385129166156751
0.00797718 0.387280002457271
0.00948651 0.389194288298946
0.0112814 0.391304928235380
0.013416 0.393569927059976
0.0159544 0.395948094080228
0.018973 0.398319633781458
0.0225629 0.401493483751479
0.0268319 0.404153774514721
0.0319087 0.406430618576372
0.0379461 0.408936600952343
0.0451257 0.411288296394699
0.0536638 0.413513921062101
0.0638174 0.415755517626982
0.0758921 0.418026170971991
0.0902514 0.420856532271414
0.107328 0.423728111725742
0.127635 0.428204529305795
0.151784 0.432702159682388
0.180503 0.436702020842600
0.214655 0.440034337098846
0.25527 0.443689937380254
0.303568 0.449429348003844
0.361006 0.453626904967780
0.429311 0.458841515456322
0.510539 0.467671524481065
0.607137 0.477603118649109
0.722012 0.489501419726243
0.858621 0.513159483094927
1.02108 0.585982137811397
1.21427 0.685257409674033
1.44402 0.760919058859038
1.71724 0.817549291240575
2.04216 0.875303719534221
2.42855 0.916599899024230
2.88805 0.945231039788924
3.43448 0.969765546720410
4.08431 0.982293135466505
4.8571 0.989455319968521
5.77609 0.995606820605383
6.86897 0.999667332660689
8.16863 0.999996696496445
9.71419 0.999999886659300
