# Random field Heisenberg chain (noninteracting)
# L=16, J=1, Delta=0, W=1.5, h_i in [-W,W]
# Integrated spectral function I_0(omega)
# omega I_0(omega)

0.00114599 0.261931943641032
0.00136281 0.261931943641032
0.00162067 0.261931943641032
0.00192731 0.263267513110011
0.00229197 0.263267513110011
0.00272563 0.263267513110011
0.00324134 0.263267513110011
0.00385462 0.263267513110011
0.00458394 0.263267513110011
0.00545126 0.263267513110011
0.00648267 0.263267513110011
0.00770924 0.263267513110011
0.00916788 0.263267513110011
0.0109025 0.263267513110011
0.0129653 0.263267513110011
0.0154185 0.263267513110011
0.0183358 0.263267513110011
0.021805 0.263267513110011
0.0259307 0.263267513110011
0.030837 0.263267513110011
0.0366715 0.263887205476409
0.0436101 0.268313218230436
0.0518614 0.268313218230436
0.0616739 0.270252245126917
0.0733431 0.270252245126917
0.0872201 0.270252245126917
0.103723 0.270252245126917
0.123348 0.270252245126917
0.146686 0.270252245126917
0.17444 0.279969555517335
0.207446 0.281164543457040
0.246696 0.283139224054444
0.293372 0.285650539042447
0.34888 0.296565102338265
0.414891 0.296988457126134
0.493391 0.300784534653238
0.586745 0.300982699033950
0.697761 0.337716567699852
0.829782 0.397184462079443
0.986783 0.520936767063381
1.17349 0.551081180680897
1.39552 0.582177665622334
1.65956 0.701417550133642
1.97357 0.753391390496445
2.34698 0.897239967708309
2.79104 0.980727306473768
3.31913 0.998798565444315
3.94713 1.000000000000000
4.69396 1.000000000000000
5.58209 1.000000000000000
