# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2.5, h_i in [-W,W]
# Integrated spectral function I(omega)
# omega I(omega)'

0.00171689 0.368607169795164
0.00204174 0.370942030253747
0.00242805 0.373423250236492
0.00288745 0.375621340500134
0.00343378 0.378098290656737
0.00408348 0.380626215516117
0.0048561 0.382961511665108
0.00577491 0.385483302121645
0.00686756 0.387995138175486
0.00816695 0.390442911596275
0.0097122 0.392830926120557
0.0115498 0.395237171469563
0.0137351 0.397657990283231
0.0163339 0.400164746958420
0.0194244 0.402800549947918
0.0230996 0.405330828267871
0.0274702 0.408017734735417
0.0326678 0.410835445954156
0.0388488 0.414008921405747
0.0461993 0.417040087446244
0.0549405 0.419861346231613
0.0653356 0.422712449574427
0.0776976 0.425589310575131
0.0923985 0.428706838752639
0.109881 0.431814926171455
0.130671 0.436006704716486
0.155395 0.440738722654979
0.184797 0.444800337917440
0.219762 0.448359167507896
0.261342 0.452193004900352
0.31079 0.455833680827542
0.369594 0.459278566974634
0.439524 0.463441695069538
0.522685 0.468264428061627
0.621581 0.476340757868334
0.739188 0.489532443680515
0.879048 0.514811903918019
1.04537 0.596789311333011
1.24316 0.674077165338056
1.47838 0.724542717305609
1.7581 0.800943070537251
2.09074 0.847932858998624
2.48632 0.897197912922186
2.95675 0.939292849405691
3.51619 0.974243316937784
4.18148 0.993476476074479
4.97264 0.999650515142340
5.9135 0.999979115948467
7.03238 0.999998893353112
8.36296 0.999999990804389
