# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=2, h_i in [-W,W]
# Regular part of the integrated spectral function I^~(omega)
# omega I^~(omega)

0.001481884392812 0.020255818921384
0.001762267463543 0.023329025480906
0.002095701006184 0.026644214141432
0.002492222547472 0.030143037469024
0.002963768785624 0.033831979488905
0.003524534927087 0.037603183146945
0.004191402012367 0.041595961914652
0.004984445094944 0.045744008669330
0.005927537571248 0.049902165462686
0.007049069854174 0.054185162374556
0.008382804024735 0.058491193679342
0.009968890189888 0.062877874080980
0.011855075142496 0.067359616992488
0.014098139708348 0.071956033032339
0.016765608049470 0.076555364683175
0.019937780379776 0.081094144232859
0.023710150284991 0.085751438566047
0.028196279416696 0.090481451628577
0.033531216098939 0.095313662873734
0.039875560759552 0.100238038699495
0.047420300569983 0.105176141347731
0.056392558833391 0.110144567276044
0.067062432197879 0.115199357156670
0.079751121519105 0.120337912367555
0.094840601139966 0.125799502503899
0.112785117666783 0.131556195560476
0.134124864395757 0.137716400358650
0.159502243038209 0.144113276824096
0.189681202279932 0.151054531354124
0.225570235333565 0.159112389670345
0.268249728791514 0.167733173550961
0.319004486076419 0.177247448787477
0.379362404559864 0.188024620803909
0.451140470667131 0.199984579389134
0.536499457583028 0.212217672767438
0.638008972152838 0.225774738216192
0.758724809119728 0.251656088805609
0.902280941334262 0.299118284000905
1.072998915166057 0.382675551831571
1.276017944305676 0.461219963147371
1.517449618239455 0.545326651165420
1.804561882668523 0.621719664694401
2.145997830332114 0.688886403476334
2.552035888611351 0.751675968095143
3.034899236478911 0.795902279296733
3.609123765337046 0.817820286920453
4.291995660664227 0.827769984988586
5.104071777222702 0.829704911636145
6.069798472957822 0.829868696975594
7.218247530674093 0.829872935230246
