# Low frequency fit to I_alpha from data11.dat
# omega I_alpha

0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
0.000000000000000000e+00 8.330433435510639639e-02
