# Random field Heisenberg chain
# L=14, J=1, Delta=0.8, W=1.5, h_i in [-W,W]
# Integrated spectral function of the Anderson LIOMs I_alpha
# omega I_alpha

0.000000000000000000e+00 1.011161651724353308e-03
0.000000000000000000e+00 2.015947762843081376e-03
0.000000000000000000e+00 3.032079922077291715e-03
0.000000000000000000e+00 4.050832754564406488e-03
0.000000000000000000e+00 5.072775862322230836e-03
0.000000000000000000e+00 6.146498222061282796e-03
0.000000000000000000e+00 7.070056670752615686e-03
0.000000000000000000e+00 8.008126665877269082e-03
0.000000000000000000e+00 9.039100914798012948e-03
0.000000000000000000e+00 1.003360039084937733e-02
0.000000000000000000e+00 1.100828121169805489e-02
0.000000000000000000e+00 1.203986009802908777e-02
0.000000000000000000e+00 1.303927301084372055e-02
0.000000000000000000e+00 1.416522333440855923e-02
0.000000000000000000e+00 1.501018565562503050e-02
0.000000000000000000e+00 1.602181534233631036e-02
0.000000000000000000e+00 1.700223272077696496e-02
0.000000000000000000e+00 1.817772633133250479e-02
0.000000000000000000e+00 1.908381556291020853e-02
0.000000000000000000e+00 2.001921554738048808e-02
0.000000000000000000e+00 2.100798001788062655e-02
0.000000000000000000e+00 2.203103967462089613e-02
0.000000000000000000e+00 2.300797943462070186e-02
0.000000000000000000e+00 2.404285375752721748e-02
0.000000000000000000e+00 2.500890483727033486e-02
0.000000000000000000e+00 2.600120592947575276e-02
0.000000000000000000e+00 2.703410903168141852e-02
0.000000000000000000e+00 2.805241603021348812e-02
0.000000000000000000e+00 2.904315146346598056e-02
0.000000000000000000e+00 3.016241503279422018e-02
0.000000000000000000e+00 3.100456362718239170e-02
0.000000000000000000e+00 3.202050330481553964e-02
0.000000000000000000e+00 3.301083286356037982e-02
0.000000000000000000e+00 3.405204388744285937e-02
0.000000000000000000e+00 3.502169213928690850e-02
0.000000000000000000e+00 3.606528525968538679e-02
0.000000000000000000e+00 3.700083537384581123e-02
0.000000000000000000e+00 3.802737913232662886e-02
0.000000000000000000e+00 3.924253004132712691e-02
0.000000000000000000e+00 4.002377900636160113e-02
0.000000000000000000e+00 4.102149251008679887e-02
0.000000000000000000e+00 4.202051849233245928e-02
0.000000000000000000e+00 4.302825290456856883e-02
0.000000000000000000e+00 4.400463059189241993e-02
0.000000000000000000e+00 4.501291245497586468e-02
0.000000000000000000e+00 4.600210763541059261e-02
0.000000000000000000e+00 4.701886761322876529e-02
0.000000000000000000e+00 4.803454183269412897e-02
0.000000000000000000e+00 4.900297596814096740e-02
0.000000000000000000e+00 5.001788226538832899e-02
0.000000000000000000e+00 5.103334055218902710e-02
0.000000000000000000e+00 5.201131905639454905e-02
0.000000000000000000e+00 5.301321014898143641e-02
0.000000000000000000e+00 5.402681533872904368e-02
0.000000000000000000e+00 5.500713811662283348e-02
0.000000000000000000e+00 5.600057657340908740e-02
0.000000000000000000e+00 5.700082071026287001e-02
0.000000000000000000e+00 5.800235006715253466e-02
0.000000000000000000e+00 5.904602106737577571e-02
0.000000000000000000e+00 6.004626856643837524e-02
0.000000000000000000e+00 6.107469773524919904e-02
0.000000000000000000e+00 6.205341217149229482e-02
0.000000000000000000e+00 6.307089089128357917e-02
0.000000000000000000e+00 6.403456901031893966e-02
0.000000000000000000e+00 6.507752532833972758e-02
0.000000000000000000e+00 6.603964479494206508e-02
0.000000000000000000e+00 6.700704238910103194e-02
0.000000000000000000e+00 6.800490365782359270e-02
0.000000000000000000e+00 6.901224736621200395e-02
0.000000000000000000e+00 7.005505704594995608e-02
0.000000000000000000e+00 7.104230653963575226e-02
0.000000000000000000e+00 7.203199033180379685e-02
0.000000000000000000e+00 7.301120044989352353e-02
0.000000000000000000e+00 7.401100448196933079e-02
0.000000000000000000e+00 7.500285830259949271e-02
0.000000000000000000e+00 7.600181978196683674e-02
0.000000000000000000e+00 7.707621239269477065e-02
0.000000000000000000e+00 7.802780376081493163e-02
0.000000000000000000e+00 7.902549737596316348e-02
1.447460060484129230e-04 8.005184889487142186e-02
4.326194527242144261e-04 8.100605371821494038e-02
6.030696261709600492e-04 8.200302814673064711e-02
7.364636255100531770e-04 8.300243659180923939e-02
8.395852593725550150e-04 8.401529131061695466e-02
9.528285174460471296e-04 8.500914845037098322e-02
1.021235572454592955e-03 8.600044612557702917e-02
1.076334665252254297e-03 8.702911102843813307e-02
1.171276798591414092e-03 8.802106075035176502e-02
1.249060255434919497e-03 8.900812778669127401e-02
1.332348057021537358e-03 9.001573119169750670e-02
1.409994862893615419e-03 9.100031647635960230e-02
1.471242661000182750e-03 9.200216354535757646e-02
1.545681094213158246e-03 9.302181314170275550e-02
1.611803764163255437e-03 9.400720874864049170e-02
1.688898900367163947e-03 9.502201362968272502e-02
1.740780711652512025e-03 9.600844882963223414e-02
1.793873975374893348e-03 9.700630219140188304e-02
1.861557120893753137e-03 9.800152811887567761e-02
1.933501732316322830e-03 9.901606094328625762e-02
2.023967675860660620e-03 1.000189835069960759e-01
2.097167988972969965e-03 1.010072982415518572e-01
2.185598744756989120e-03 1.020460175325823976e-01
2.248868700460704417e-03 1.030122367671469641e-01
2.329205032918224560e-03 1.040038674874971536e-01
2.400476852263189187e-03 1.050024176109882745e-01
2.472984420888835189e-03 1.060161911548895969e-01
2.520153727348706241e-03 1.070013037361343261e-01
2.562508477203628843e-03 1.080032699064017859e-01
2.624377142524725315e-03 1.090158634661141934e-01
2.695869273481088513e-03 1.100022302052765660e-01
2.791676856368496829e-03 1.110013412273948841e-01
2.865093960174647236e-03 1.120010993013855760e-01
2.922002097372811136e-03 1.130087288961688363e-01
2.959728989772258956e-03 1.140192704838603466e-01
3.009576714154249544e-03 1.150333408746200825e-01
3.062925308524810930e-03 1.160002102164990057e-01
3.119174376770450507e-03 1.170040624716442573e-01
3.194759246820444432e-03 1.180055537112564279e-01
3.273646505801863782e-03 1.190018341592390949e-01
3.330596208689584614e-03 1.200048969869608739e-01
3.372990755520000050e-03 1.210067865652699748e-01
3.445239905101260547e-03 1.220009806898846028e-01
3.491053574285030159e-03 1.230488786346345675e-01
