# Low frequency fit to I_alpha from data11.dat
# omega I_alpha

0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
0.000000000000000000e+00 7.089240244578476347e-02
7.270591554009442348e-05 7.134198170780456372e-02
2.628621552989152121e-04 7.251781174478741376e-02
3.591523506756288953e-04 7.311321372859355683e-02
4.824654943336170732e-04 7.387569741924641942e-02
5.574139704598302103e-04 7.433911869462189737e-02
6.362874469520996001e-04 7.482680064503323403e-02
7.129325498014260631e-04 7.530069499202338146e-02
7.720537846620523226e-04 7.566623277895680177e-02
8.477435047109516120e-04 7.613420123421466013e-02
9.437305787858285555e-04 7.672764517120418681e-02
1.010574062827895858e-03 7.714089512908817170e-02
1.080875626783051047e-03 7.757551209964942684e-02
1.164799318555953533e-03 7.809432616470053656e-02
1.230066664055229353e-03 7.849779324525218982e-02
1.309776540889373564e-03 7.899052295909735066e-02
