# Low frequency fit to I_alpha from data11.dat
# omega I_alpha

0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
0.000000000000000000e+00 5.000464254722684215e-02
2.063582899010096838e-04 5.262153600486054600e-02
