# Low frequency fit to I_alpha from data11.dat
# omega I_alpha

0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
0.000000000000000000e+00 5.667278865800781662e-02
2.916812729322204589e-04 5.827084498730671080e-02
4.613750079677236826e-04 5.920054075294093471e-02
5.795152918401935693e-04 5.984777826345291651e-02
6.834951551870638298e-04 6.041742491513178714e-02
8.095079417427264445e-04 6.110775892746544979e-02
9.099815452886517164e-04 6.165816514692489675e-02
1.005308195714649244e-03 6.218036007283599120e-02
1.084694622848714207e-03 6.261522237538579005e-02
1.196286605232410594e-03 6.322647840902340111e-02
1.288425946968541069e-03 6.373116004251350164e-02
1.385873048747710001e-03 6.426489222421680192e-02
1.480981876576061007e-03 6.478579388229216418e-02
1.591865871803044286e-03 6.539306319233453846e-02
1.682546239826221424e-03 6.588965816869563064e-02
1.761073780501387631e-03 6.631967972508823195e-02
1.825894235317537806e-03 6.667462536799088901e-02
1.913905088990808245e-03 6.715653484871837720e-02
1.994146436773314157e-03 6.759587802323195616e-02
2.080655657455299234e-03 6.806951289997893728e-02
2.174238595348043646e-03 6.858184369470933517e-02
2.284735909001689436e-03 6.918672882501300525e-02
2.358600974042168730e-03 6.959105287621102087e-02
2.452271183742027461e-03 7.010375244622693569e-02
2.562110734409817070e-03 7.070490343817581458e-02
2.648621979896015333e-03 7.117833874856108189e-02
2.752162152739323631e-03 7.174491715474891340e-02
2.838391113796134846e-03 7.221672604008247398e-02
2.909734417088721825e-03 7.260705743134622525e-02
