# Low frequency fit to I_alpha from data11.dat
# omega I_alpha

0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
0.000000000000000000e+00 2.477340941036605682e-02
2.253918611460070665e-04 2.542997950697207382e-02
6.789287735022853099e-04 2.675112998523047902e-02
9.789585399838235391e-04 2.762510002222550928e-02
1.257241780973972212e-03 2.843570712610171691e-02
1.528407360869454834e-03 2.922556155980618464e-02
1.771377145544872356e-03 2.993326690000090370e-02
2.009561670675008571e-03 3.062701265864004041e-02
2.236570772167656429e-03 3.128818607014272751e-02
2.512833024426286421e-03 3.209277825699972941e-02
2.765169867114281033e-03 3.282765429500921622e-02
2.970584279201604616e-03 3.342585169789238225e-02
3.225935647623523472e-03 3.416943587384531356e-02
3.450902474410821874e-03 3.482450347949159891e-02
3.699367779519846522e-03 3.554795198835361547e-02
3.932182028422603892e-03 3.622578614838799227e-02
4.162225356473259197e-03 3.689550867252094218e-02
4.415557131731917551e-03 3.763297673305519842e-02
4.654863329865532862e-03 3.832956043686183700e-02
4.885181209251188150e-03 3.899992747048266345e-02
5.142697242806026914e-03 3.974939308735621346e-02
5.389484658569254627e-03 4.046756709989298567e-02
5.652611919865213608e-03 4.123321528364358446e-02
5.894897808636195835e-03 4.193814636677326013e-02
6.136578843472031974e-03 4.264124500080775093e-02
6.374037399879739496e-03 4.333198608585535350e-02
6.620222241105033767e-03 4.404803103948413956e-02
6.851788923195378800e-03 4.472148106635538689e-02
7.097958707172002946e-03 4.543731546254790865e-02
7.381481767039010933e-03 4.626165668502581901e-02
7.618035563281111422e-03 4.694933979865871521e-02
7.878198540597125543e-03 4.770555329129486100e-02
8.112231830280203226e-03 4.838572016090397776e-02
8.365423821281803285e-03 4.912146237242911301e-02
8.600369967734278198e-03 4.980408386117399222e-02
8.870422834808877610e-03 5.058858239258797601e-02
9.139649565808094511e-03 5.137054579011986200e-02
9.371435606582600997e-03 5.204365223300853882e-02
9.598284032073300942e-03 5.270231755480211944e-02
9.851366390227711545e-03 5.343703195940593259e-02
1.010854704957564465e-02 5.418350841444981303e-02
1.035363925463500534e-02 5.489476729116617854e-02
1.058870143755030746e-02 5.557679658112592291e-02
1.083321994510105801e-02 5.628613314851205890e-02
1.106373702827623262e-02 5.695472808971553669e-02
1.131842245968212035e-02 5.769327803772622554e-02
1.155997883323256481e-02 5.839361376964645467e-02
1.183634171644920574e-02 5.919468954881539763e-02
1.207472212305293890e-02 5.988551623620311237e-02
1.231657830505880624e-02 6.058626916423919678e-02
1.256653305041915969e-02 6.131032865313403024e-02
1.285586338026756259e-02 6.214824493492316498e-02
1.312309899130603696e-02 6.292197430687865300e-02
1.340107295183545766e-02 6.372658702574057754e-02
1.366032600876215808e-02 6.447681646817252088e-02
1.390023331567435960e-02 6.517089260467348599e-02
1.416161173518704075e-02 6.592689708798228632e-02
1.441944576397169442e-02 6.667245255921555591e-02
1.466648953983940018e-02 6.738661978152085674e-02
1.495088674168809639e-02 6.820853959968124769e-02
1.522298330167493052e-02 6.899467487374165431e-02
1.549168209611612168e-02 6.977076369743231976e-02
1.577996035437539968e-02 7.060314606597369036e-02
1.605948722239650128e-02 7.140999971271186353e-02
1.633155394024154994e-02 7.219506988187307517e-02
1.661172425910789618e-02 7.300326184803267171e-02
1.687617099416488520e-02 7.376584926449500368e-02
1.713955582915449583e-02 7.452513175651609423e-02
1.739247924215359120e-02 7.525402483876819648e-02
1.765156193395922557e-02 7.600042977324455995e-02
1.792778462653567273e-02 7.679594465636123413e-02
1.818569249227008910e-02 7.753845852523794102e-02
1.845522178302638761e-02 7.831416371782046193e-02
1.874627150622376615e-02 7.915149432935578155e-02
1.904188869906686676e-02 8.000163048195468862e-02
1.932758358418440459e-02 8.082290676321821077e-02
1.962936911393597939e-02 8.169008586989270904e-02
1.989767360304195432e-02 8.246074916549628320e-02
2.018082773500151639e-02 8.327374681846258508e-02
2.044946814298920224e-02 8.404476567729225744e-02
2.073153720124128532e-02 8.485400023568245853e-02
2.102349849512219482e-02 8.569125907284171062e-02
2.130828590237987541e-02 8.650759211738712207e-02
2.162041195574071484e-02 8.740188449850556929e-02
2.191579187445395760e-02 8.824780039566644529e-02
2.220602956028239205e-02 8.907860986292656658e-02
2.246744450647464308e-02 8.982658756892338003e-02
2.275365022795339254e-02 9.064513954291707198e-02
2.303391652168090831e-02 9.144633716008933322e-02
2.335282363419627361e-02 9.235754969886243726e-02
2.365051483628355378e-02 9.320770690930355040e-02
2.398248040532457992e-02 9.415524436905013672e-02
2.427245776507219732e-02 9.498249581141278430e-02
2.456623982195549338e-02 9.582017993865350747e-02
2.487635625983752874e-02 9.670397423198889841e-02
2.514579548272888321e-02 9.747145117621137944e-02
2.546948153321615393e-02 9.839295851695310791e-02
2.573118331733459385e-02 9.913760876197810767e-02
2.604178297631443151e-02 1.000209328745131077e-01
2.633841632655944953e-02 1.008640659779499599e-01
2.664643278744416310e-02 1.017390607981013689e-01
2.695636245824850619e-02 1.026189783358412710e-01
2.726916665251666316e-02 1.035065304801188746e-01
2.760900188759585205e-02 1.044701748691976434e-01
2.792090782143596961e-02 1.053540612500452056e-01
2.822086754444441681e-02 1.062035824347542096e-01
2.855562536506450755e-02 1.071510575336532267e-01
2.885750607736481399e-02 1.080049330125179563e-01
2.919129512189688747e-02 1.089484523856618370e-01
2.951096276070630520e-02 1.098514490472942973e-01
2.983979076299109190e-02 1.107796973433871901e-01
3.016020762990356818e-02 1.116835867399488536e-01
3.047097577141222313e-02 1.125596718551249015e-01
3.082647756594136812e-02 1.135611517865985215e-01
3.115609055041490549e-02 1.144890138515808897e-01
3.147227456479761987e-02 1.153784464738329130e-01
3.180636631289734950e-02 1.163175809931313864e-01
3.215579907215689037e-02 1.172990926423119612e-01
3.251406477856400024e-02 1.183046149797691571e-01
3.284937012713540216e-02 1.192449554103803683e-01
3.316160599399720077e-02 1.201199496710163295e-01
3.351231422350386957e-02 1.211020037659633619e-01
3.384477332534818750e-02 1.220322146032836036e-01
3.415236389484510582e-02 1.228921955085525292e-01
3.449156096902861179e-02 1.238398153340452140e-01
3.481800676140101025e-02 1.247510844221670356e-01
3.515073349705977179e-02 1.256791467002900675e-01
3.548875233445958344e-02 1.266211990365787576e-01
3.581806799767806027e-02 1.275382425969093236e-01
3.613131404625935517e-02 1.284098421174985072e-01
3.648449894649755110e-02 1.293917515421246500e-01
3.682735368827994016e-02 1.303441048445334594e-01
3.714775366061162654e-02 1.312333344938541868e-01
3.750736031743917565e-02 1.322305070572463714e-01
3.786884448106575540e-02 1.332319511825867386e-01
3.822244313810641003e-02 1.342106359264031157e-01
3.853447761768613589e-02 1.350735240911349888e-01
3.889089056941896771e-02 1.360582615528026507e-01
3.924790485259840866e-02 1.370437203182502395e-01
3.959422921713465215e-02 1.379987664099194544e-01
3.993088904349206825e-02 1.389263002418365534e-01
4.028476324203511538e-02 1.399003405361926022e-01
4.065424490605323848e-02 1.409163262090212254e-01
4.104329224748004545e-02 1.419849849235957917e-01
4.138744050179110623e-02 1.429293410159241939e-01
4.172693845572306159e-02 1.438600372929103033e-01
4.210202207877289382e-02 1.448872425843520384e-01
4.248498795815769391e-02 1.459348946533295943e-01
4.284654967924916846e-02 1.469229291239546598e-01
4.319016449356438692e-02 1.478609566444273882e-01
4.355728210859388660e-02 1.488620998118302119e-01
4.395001661024622308e-02 1.499318993396860922e-01
4.433669272473350631e-02 1.509839743449939431e-01
4.471765410761796566e-02 1.520193075554745477e-01
4.511334000675870648e-02 1.530933956429949561e-01
4.547466166791869213e-02 1.540730721831556349e-01
4.581522868760030953e-02 1.549954819496406344e-01
4.618434155165940247e-02 1.559941121794772290e-01
4.657204133969528037e-02 1.570417960173510763e-01
4.699713196435612028e-02 1.581890605804382455e-01
4.734906823582996083e-02 1.591377280311059850e-01
4.771630938553506063e-02 1.601265211899672858e-01
4.807430817355307084e-02 1.610893130628231473e-01
4.848646200997996925e-02 1.621963757213741308e-01
4.887855262707341275e-02 1.632481769084417889e-01
4.925819001278286535e-02 1.642652910358637364e-01
4.959450877995164042e-02 1.651652891423818770e-01
5.000012093135652869e-02 1.662493892274785057e-01
5.038951469217689549e-02 1.672887675293681098e-01
5.078895248881465374e-02 1.683535496230896822e-01
5.118972730487558742e-02 1.694204573596927998e-01
5.153038610765336980e-02 1.703261910640246901e-01
5.195380004653027406e-02 1.714504863339310625e-01
5.233553157912590459e-02 1.724627031000265376e-01
5.273674713012055371e-02 1.735251478369773670e-01
5.316289983252997509e-02 1.746520072548516933e-01
5.355691421753450143e-02 1.756923920581509591e-01
5.399406827865619457e-02 1.768449996931680812e-01
5.440691830213273406e-02 1.779318903858990164e-01
5.484020818826684796e-02 1.790708740883498740e-01
5.525491503981883046e-02 1.801593530803489163e-01
5.565176288657311399e-02 1.811994343806004326e-01
5.603350063140241644e-02 1.821985024896557448e-01
5.648735400094517800e-02 1.833844993439733284e-01
5.686788586363089593e-02 1.843773732857524328e-01
5.729615843721669322e-02 1.854931442887263193e-01
5.771124148067929838e-02 1.865728614260875329e-01
5.815066547688929610e-02 1.877140724247853831e-01
5.855104154968367169e-02 1.887522353640252448e-01
5.900081471178642012e-02 1.899166127301030738e-01
5.943803356626442547e-02 1.910465843676176223e-01
5.984387649225814121e-02 1.920937789382045069e-01
6.025820477813692566e-02 1.931611858755373778e-01
6.067426212824744702e-02 1.942313305404296253e-01
6.109474855758922907e-02 1.953111129654583888e-01
6.152244687976315962e-02 1.964075992406265625e-01
6.195702535101244024e-02 1.975198415759907844e-01
6.240427182365282377e-02 1.986625173459613536e-01
6.288594073293285458e-02 1.998908751102103087e-01
6.328570227810070836e-02 2.009085621843403335e-01
6.373398021137810510e-02 2.020478216772674807e-01
6.419017882725219781e-02 2.032051009281413689e-01
6.461649464986440883e-02 2.042846435192555710e-01
6.506732175701974985e-02 2.054242194632955321e-01
6.556701616121363152e-02 2.066848663183371015e-01
6.600862949934949153e-02 2.077968300967662496e-01
6.647522181165710364e-02 2.089694867992182292e-01
6.686996950179446841e-02 2.099598080799141009e-01
6.733096235973023980e-02 2.111142585534354632e-01
6.775984780410904129e-02 2.121863018890717822e-01
