# Random field Heisenberg chain
# L=14, J=1, Delta=0.1, W=1.5, h_i in [-W,W]
# Integrated spectral function of the Anderson LIOMs I_alpha
# omega I_alpha

0.000000000000000000e+00 1.008642778597262967e-03
0.000000000000000000e+00 2.078609258089462054e-03
0.000000000000000000e+00 3.129945867217010305e-03
0.000000000000000000e+00 4.069979637521479662e-03
0.000000000000000000e+00 5.070291234339563587e-03
0.000000000000000000e+00 6.062278870978786427e-03
0.000000000000000000e+00 7.027178193716654073e-03
0.000000000000000000e+00 8.045181092848638707e-03
0.000000000000000000e+00 9.126213493228094858e-03
0.000000000000000000e+00 1.014484382611058159e-02
0.000000000000000000e+00 1.113838856100568715e-02
0.000000000000000000e+00 1.216797631936079351e-02
0.000000000000000000e+00 1.306051924221027574e-02
0.000000000000000000e+00 1.400204544079643697e-02
0.000000000000000000e+00 1.512000621440782490e-02
0.000000000000000000e+00 1.614623348605276690e-02
0.000000000000000000e+00 1.712308690275642781e-02
0.000000000000000000e+00 1.808503067537342579e-02
0.000000000000000000e+00 1.905939670434024513e-02
0.000000000000000000e+00 2.003205937095148617e-02
0.000000000000000000e+00 2.105762739743833808e-02
0.000000000000000000e+00 2.202417357464439562e-02
0.000000000000000000e+00 2.312811262511251312e-02
0.000000000000000000e+00 2.421067699525137479e-02
0.000000000000000000e+00 2.517582988996148671e-02
0.000000000000000000e+00 2.601614553528690602e-02
0.000000000000000000e+00 2.705603313464199564e-02
0.000000000000000000e+00 2.813703940198373013e-02
0.000000000000000000e+00 2.909939179437642104e-02
0.000000000000000000e+00 3.000000778753267316e-02
0.000000000000000000e+00 3.106400646173227559e-02
0.000000000000000000e+00 3.218929917105164268e-02
0.000000000000000000e+00 3.313823754521413867e-02
0.000000000000000000e+00 3.415559071616202508e-02
0.000000000000000000e+00 3.509480822743644285e-02
0.000000000000000000e+00 3.607289165143395121e-02
0.000000000000000000e+00 3.702459162795385811e-02
0.000000000000000000e+00 3.814735385009232482e-02
0.000000000000000000e+00 3.901656393156596042e-02
0.000000000000000000e+00 4.026270750407906496e-02
0.000000000000000000e+00 4.114734416455055610e-02
0.000000000000000000e+00 4.208197451407732353e-02
0.000000000000000000e+00 4.305230903343676419e-02
0.000000000000000000e+00 4.409840227842658916e-02
0.000000000000000000e+00 4.500250236363956963e-02
0.000000000000000000e+00 4.605716391879400434e-02
0.000000000000000000e+00 4.705800876503557495e-02
0.000000000000000000e+00 4.817357105737535977e-02
0.000000000000000000e+00 4.924760078374807587e-02
0.000000000000000000e+00 5.010183617452930449e-02
0.000000000000000000e+00 5.106651149012404745e-02
0.000000000000000000e+00 5.222151116374861013e-02
0.000000000000000000e+00 5.300463088951642282e-02
0.000000000000000000e+00 5.417901417377229967e-02
0.000000000000000000e+00 5.514073525725124436e-02
0.000000000000000000e+00 5.610795390541872124e-02
0.000000000000000000e+00 5.709683095466865782e-02
0.000000000000000000e+00 5.819516115513771737e-02
0.000000000000000000e+00 5.904808860719414770e-02
0.000000000000000000e+00 6.001694017627443034e-02
0.000000000000000000e+00 6.108341784455514206e-02
0.000000000000000000e+00 6.204283757631033625e-02
0.000000000000000000e+00 6.305447730610562462e-02
0.000000000000000000e+00 6.404852391805919420e-02
0.000000000000000000e+00 6.512758910768520759e-02
0.000000000000000000e+00 6.602775651733404361e-02
0.000000000000000000e+00 6.714715440446929196e-02
0.000000000000000000e+00 6.811727908240627904e-02
0.000000000000000000e+00 6.926508197693426183e-02
0.000000000000000000e+00 7.016214213234327202e-02
0.000000000000000000e+00 7.109812854486702305e-02
0.000000000000000000e+00 7.200840952426473818e-02
0.000000000000000000e+00 7.316210790928481811e-02
0.000000000000000000e+00 7.400838761873389238e-02
0.000000000000000000e+00 7.516765261513057295e-02
0.000000000000000000e+00 7.601011520625150508e-02
0.000000000000000000e+00 7.703880403245529085e-02
0.000000000000000000e+00 7.800015862898308783e-02
0.000000000000000000e+00 7.905053540490758479e-02
0.000000000000000000e+00 8.008723904673584193e-02
0.000000000000000000e+00 8.117739022091559342e-02
0.000000000000000000e+00 8.203769522610454556e-02
0.000000000000000000e+00 8.302341157683990058e-02
0.000000000000000000e+00 8.413671758215111873e-02
0.000000000000000000e+00 8.508154044634924640e-02
0.000000000000000000e+00 8.623239656444703360e-02
0.000000000000000000e+00 8.714396583840848531e-02
0.000000000000000000e+00 8.817074985759161543e-02
0.000000000000000000e+00 8.903800511916683258e-02
0.000000000000000000e+00 9.020081622388385900e-02
0.000000000000000000e+00 9.104301378434689895e-02
0.000000000000000000e+00 9.223701705438540344e-02
0.000000000000000000e+00 9.310456501697550458e-02
0.000000000000000000e+00 9.408959129493707496e-02
0.000000000000000000e+00 9.502262727438340328e-02
0.000000000000000000e+00 9.607145128589138217e-02
0.000000000000000000e+00 9.718047593212551793e-02
0.000000000000000000e+00 9.810343772916084448e-02
0.000000000000000000e+00 9.920959028687328929e-02
0.000000000000000000e+00 1.000073107386419968e-01
0.000000000000000000e+00 1.010715699250136490e-01
0.000000000000000000e+00 1.020653639782873462e-01
0.000000000000000000e+00 1.030558477581365595e-01
0.000000000000000000e+00 1.040043218678786546e-01
0.000000000000000000e+00 1.050462794853508630e-01
0.000000000000000000e+00 1.060716858036215987e-01
0.000000000000000000e+00 1.070706852739762294e-01
0.000000000000000000e+00 1.081359938298014772e-01
0.000000000000000000e+00 1.090247374895623317e-01
0.000000000000000000e+00 1.100219080727626586e-01
0.000000000000000000e+00 1.111052311811819709e-01
0.000000000000000000e+00 1.121316421324328599e-01
0.000000000000000000e+00 1.130284913649545614e-01
0.000000000000000000e+00 1.141928841980154596e-01
0.000000000000000000e+00 1.150969415797071654e-01
0.000000000000000000e+00 1.160469136997190620e-01
0.000000000000000000e+00 1.171882368650244283e-01
0.000000000000000000e+00 1.180183058056467754e-01
0.000000000000000000e+00 1.191660526056611685e-01
0.000000000000000000e+00 1.201832228061823077e-01
0.000000000000000000e+00 1.212086618657420567e-01
0.000000000000000000e+00 1.220066186625473059e-01
0.000000000000000000e+00 1.230869537335542996e-01
0.000000000000000000e+00 1.240970365054497732e-01
0.000000000000000000e+00 1.250320644160851924e-01
0.000000000000000000e+00 1.260180966532962465e-01
0.000000000000000000e+00 1.270091129939983077e-01
0.000000000000000000e+00 1.281214385697685698e-01
0.000000000000000000e+00 1.290538136576149519e-01
0.000000000000000000e+00 1.302391917934711263e-01
0.000000000000000000e+00 1.312152392889627261e-01
0.000000000000000000e+00 1.322113081770992515e-01
0.000000000000000000e+00 1.330403667859976768e-01
0.000000000000000000e+00 1.340695545609770778e-01
0.000000000000000000e+00 1.350738429561588183e-01
0.000000000000000000e+00 1.360290274684523570e-01
0.000000000000000000e+00 1.370841282734276689e-01
0.000000000000000000e+00 1.381970997914971910e-01
0.000000000000000000e+00 1.390232590658583289e-01
0.000000000000000000e+00 1.401979126328012359e-01
0.000000000000000000e+00 1.411686246639205500e-01
0.000000000000000000e+00 1.420506017311259916e-01
0.000000000000000000e+00 1.430133076690347227e-01
0.000000000000000000e+00 1.441442258117938968e-01
0.000000000000000000e+00 1.450940310710547854e-01
0.000000000000000000e+00 1.461415614954087172e-01
0.000000000000000000e+00 1.471914894621713932e-01
0.000000000000000000e+00 1.481368936485813192e-01
0.000000000000000000e+00 1.490641742692812577e-01
0.000000000000000000e+00 1.500532077621023197e-01
0.000000000000000000e+00 1.512240348997746786e-01
0.000000000000000000e+00 1.520446997392151112e-01
0.000000000000000000e+00 1.530730299596339272e-01
0.000000000000000000e+00 1.541597090962909533e-01
0.000000000000000000e+00 1.552025233379191183e-01
0.000000000000000000e+00 1.560623032474264538e-01
0.000000000000000000e+00 1.570273212296644516e-01
0.000000000000000000e+00 1.580152981697894032e-01
0.000000000000000000e+00 1.591984491148885072e-01
0.000000000000000000e+00 1.601181479793532536e-01
0.000000000000000000e+00 1.610792099808072697e-01
0.000000000000000000e+00 1.620168106640064998e-01
0.000000000000000000e+00 1.630682948702804336e-01
0.000000000000000000e+00 1.642619296133175366e-01
