# XXZ spin chain 
# ED for L=20, Delta=0.425
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.0000000000000000 526.30605981608107 527.456
5.0000000000000001E-004 7.7827398828842934E-007 1.15
1.0000000000000000E-003 2.1554813679866610E-006 1.15
1.5000000000000000E-003 4.2501496516122379E-006 1.15
2.0000000000000000E-003 7.3878896129033209E-006 1.15001
2.5000000000000001E-003 1.1026825993204656E-005 1.15001
3.0000000000000001E-003 1.3173078956869076E-005 1.15001
3.5000000000000001E-003 1.9479708338311323E-005 1.15002
4.0000000000000001E-003 2.5837303060659325E-005 1.15003
4.5000000000000005E-003 3.0265911380266637E-005 1.15003
5.0000000000000001E-003 3.8520992416246055E-005 1.15004
5.4999999999999997E-003 4.6799512578882155E-005 1.15005
6.0000000000000001E-003 5.5268508185106260E-005 1.15006
6.5000000000000006E-003 6.7658293874538590E-005 1.15007
7.0000000000000001E-003 6.8639609289221714E-005 1.15007
7.4999999999999997E-003 8.3690259151856150E-005 1.15008
8.0000000000000002E-003 9.0064853419157022E-005 1.15009
8.5000000000000006E-003 1.0594134390346733E-004 1.15011
9.0000000000000011E-003 1.1371172022987819E-004 1.15011
9.4999999999999998E-003 1.4083599866220769E-004 1.15014
1.0000000000000000E-002 1.5751583217206951E-004 1.15016
1.0500000000000001E-002 1.5173425800845073E-004 1.15015
1.0999999999999999E-002 1.7679781184798624E-004 1.15018
1.1500000000000000E-002 1.9419674716723736E-004 1.15019
1.2000000000000000E-002 2.0877468933264788E-004 1.15021
1.2500000000000001E-002 2.3372960913885959E-004 1.15023
1.3000000000000001E-002 2.3160001229445139E-004 1.15023
1.3500000000000000E-002 2.4358147061690817E-004 1.15024
1.4000000000000000E-002 2.7406820541127136E-004 1.15027
1.4500000000000001E-002 2.7735127681217540E-004 1.15028
1.4999999999999999E-002 3.7872606375246318E-004 1.15038
1.5500000000000000E-002 3.1757092648005639E-004 1.15032
1.6000000000000000E-002 3.4427829560581641E-004 1.15034
1.6500000000000001E-002 3.2682228942723743E-004 1.15033
1.7000000000000001E-002 3.6194358069202310E-004 1.15036
1.7500000000000002E-002 4.3319320955616264E-004 1.15043
1.8000000000000002E-002 4.3741230369333218E-004 1.15044
1.8499999999999999E-002 4.7214470538726604E-004 1.15047
1.9000000000000000E-002 4.4336462428907721E-004 1.15044
