# XXZ spin chain 
# MCLM for L=32, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00008 27.32314 28.1231
0.00010 27.58202 28.382
0.00012 27.83423 28.6342
0.00014 28.07957 28.8796
0.00016 28.31783 29.1178
0.00018 28.54881 29.3488
0.00020 28.77231 29.5723
0.00022 28.98816 29.7882
0.00024 29.19616 29.9962
0.00026 29.39613 30.1961
0.00028 29.58790 30.3879
0.00030 29.77131 30.5713
0.00032 29.94620 30.7462
0.00034 30.11243 30.9124
0.00036 30.26986 31.0699
0.00038 30.41837 31.2184
0.00040 30.55782 31.3578
0.00042 30.68810 31.4881
0.00044 30.80911 31.6091
0.00046 30.92076 31.7208
0.00048 31.02295 31.823
0.00050 31.11560 31.9156
0.00052 31.19866 31.9987
0.00054 31.27205 32.072
0.00056 31.33573 32.1357
0.00058 31.38965 32.1897
0.00060 31.43378 32.2338
0.00062 31.46809 32.2681
0.00064 31.49256 32.2926
0.00066 31.50719 32.3072
0.00068 31.51199 32.312
0.00070 31.50696 32.307
0.00072 31.49213 32.2921
0.00074 31.46753 32.2675
0.00076 31.43320 32.2332
0.00078 31.38919 32.1892
0.00080 31.33555 32.1355
0.00082 31.27236 32.0724
0.00084 31.19969 31.9997
0.00086 31.11762 31.9176
0.00088 31.02624 31.8262
0.00090 30.92566 31.7257
0.00092 30.81598 31.616
0.00094 30.69731 31.4973
0.00096 30.56978 31.3698
0.00098 30.43352 31.2335
0.00100 30.28866 31.0887
0.00102 30.13537 30.9354
0.00104 29.97377 30.7738
0.00106 29.80404 30.604
0.00108 29.62634 30.4263
0.00110 29.44082 30.2408
0.00112 29.24768 30.0477
0.00114 29.04708 29.8471
0.00116 28.83922 29.6392
0.00118 28.62429 29.4243
0.00120 28.40249 29.2025
0.00122 28.17401 28.974
0.00124 27.93906 28.7391
0.00126 27.69786 28.4979
0.00128 27.45059 28.2506
0.00130 27.19750 27.9975
0.00132 26.93878 27.7388
0.00134 26.67467 27.4747
0.00136 26.40538 27.2054
0.00138 26.13114 26.9311
0.00140 25.85217 26.6522
0.00142 25.56870 26.3687
0.00144 25.28096 26.081
0.00146 24.98918 25.7892
0.00148 24.69359 25.4936
0.00150 24.39441 25.1944
0.00152 24.09189 24.8919
0.00154 23.78625 24.5862
0.00156 23.47771 24.2777
0.00158 23.16651 23.9665
0.00160 22.85287 23.6529
0.00162 22.53703 23.337
0.00164 22.21919 23.0192
0.00166 21.89960 22.6996
0.00168 21.57846 22.3785
0.00170 21.25599 22.056
0.00172 20.93242 21.7324
0.00174 20.60794 21.4079
0.00176 20.28279 21.0828
0.00178 19.95715 20.7571
0.00180 19.63123 20.4312
0.00182 19.30524 20.1052
0.00184 18.97937 19.7794
0.00186 18.65381 19.4538
0.00188 18.32875 19.1288
0.00190 18.00438 18.8044
0.00192 17.68088 18.4809
0.00194 17.35841 18.1584
0.00196 17.03716 17.8372
0.00198 16.71729 17.5173
0.00200 16.39896 17.199
0.00202 16.08233 16.8823
0.00204 15.76755 16.5676
0.00206 15.45477 16.2548
0.00208 15.14414 15.9441
0.00210 14.83578 15.6358
0.00212 14.52983 15.3298
0.00214 14.22642 15.0264
0.00216 13.92567 14.7257
0.00218 13.62769 14.4277
0.00220 13.33260 14.1326
0.00222 13.04051 13.8405
0.00224 12.75151 13.5515
0.00226 12.46569 13.2657
0.00228 12.18316 12.9832
0.00230 11.90400 12.704
0.00232 11.62828 12.4283
0.00234 11.35608 12.1561
0.00236 11.08747 11.8875
0.00238 10.82252 11.6225
0.00240 10.56129 11.3613
0.00242 10.30382 11.1038
0.00244 10.05018 10.8502
0.00246 9.80040 10.6004
0.00248 9.55453 10.3545
0.00250 9.31261 10.1126
0.00252 9.07466 9.87466
0.00254 8.84071 9.64071
0.00256 8.61079 9.41079
0.00258 8.38491 9.18491
0.00260 8.16309 8.96309
0.00262 7.94534 8.74534
0.00264 7.73166 8.53166
0.00266 7.52207 8.32207
0.00268 7.31654 8.11654
0.00270 7.11510 7.9151
0.00272 6.91771 7.71771
0.00274 6.72438 7.52438
0.00276 6.53508 7.33508
0.00278 6.34981 7.14981
0.00280 6.16854 6.96854
0.00282 5.99124 6.79124
0.00284 5.81789 6.61789
0.00286 5.64846 6.44846
0.00288 5.48293 6.28293
0.00290 5.32124 6.12124
0.00292 5.16338 5.96338
0.00294 5.00930 5.8093
0.00296 4.85895 5.65895
0.00298 4.71231 5.51231
0.00300 4.56932 5.36932
0.00302 4.42993 5.22993
0.00304 4.29411 5.09411
0.00306 4.16180 4.9618
0.00308 4.03296 4.83296
0.00310 3.89898 4.69898
0.00312 3.76735 4.56735
0.00314 3.63879 4.43879
0.00316 3.51330 4.3133
0.00318 3.39065 4.19065
0.00320 3.27157 4.07157
0.00322 3.15738 3.95738
0.00324 3.04858 3.84858
0.00326 2.94463 3.74463
0.00328 2.84465 3.64465
0.00330 2.74812 3.54812
0.00332 2.65509 3.45509
0.00334 2.56575 3.36575
0.00336 2.47979 3.27979
0.00338 2.39649 3.19649
0.00340 2.31540 3.1154
0.00342 2.23649 3.03649
0.00344 2.16040 2.9604
0.00346 2.08738 2.88738
0.00348 2.01691 2.81691
0.00350 1.94903 2.74903
0.00352 1.88402 2.68402
0.00354 1.82162 2.62162
0.00356 1.76136 2.56136
0.00358 1.70277 2.50277
0.00360 1.64530 2.4453
0.00362 1.58840 2.3884
0.00364 1.53230 2.3323
0.00366 1.47829 2.27829
0.00368 1.42743 2.22743
0.00370 1.37940 2.1794
0.00372 1.33342 2.13342
0.00374 1.28896 2.08896
0.00376 1.24591 2.04591
0.00378 1.20411 2.00411
0.00380 1.16327 1.96327
0.00382 1.12390 1.9239
0.00384 1.08642 1.88642
0.00386 1.05046 1.85046
0.00388 1.01566 1.81566
0.00390 0.98185 1.78185
0.00392 0.94879 1.74879
0.00394 0.91651 1.71651
0.00396 0.88496 1.68496
0.00398 0.85416 1.65416
0.00400 0.82445 1.62445
0.00402 0.79583 1.59583
0.00404 0.76823 1.56823
0.00406 0.74192 1.54192
0.00408 0.71709 1.51709
0.00410 0.69349 1.49349
0.00412 0.67065 1.47065
0.00414 0.64856 1.44856
0.00416 0.62749 1.42749
0.00418 0.60718 1.40718
0.00420 0.58719 1.38719
0.00422 0.56767 1.36767
0.00424 0.54910 1.3491
0.00426 0.53159 1.33159
0.00428 0.51488 1.31488
0.00430 0.49904 1.29904
0.00432 0.48434 1.28434
0.00434 0.47062 1.27062
0.00436 0.45764 1.25764
0.00438 0.44537 1.24537
