# XXZ spin chain 
# MCLM for L=32, Delta=0.2
# Integrated and normalized dynamical spin conductivity
# omega/J I~(omega)

0.00000 0
0.00002 0.00394704
0.00004 0.0108544
0.00006 0.0172683
0.00008 0.0236823
0.00010 0.031083
0.00012 0.0404572
0.00014 0.0503248
0.00016 0.0611792
0.00018 0.0735137
0.00020 0.0883151
0.00022 0.104103
0.00024 0.120385
0.00026 0.136173
0.00028 0.151468
0.00030 0.165776
0.00032 0.17959
0.00034 0.192912
0.00036 0.206726
0.00038 0.220541
0.00040 0.234849
0.00042 0.249157
0.00044 0.264452
0.00046 0.278267
0.00048 0.291094
0.00050 0.302442
0.00052 0.314777
0.00054 0.327605
0.00056 0.340926
0.00058 0.352274
0.00060 0.362141
0.00062 0.371022
0.00064 0.378423
0.00066 0.384837
0.00068 0.391744
0.00070 0.399638
0.00072 0.408026
0.00074 0.416413
0.00076 0.423814
0.00078 0.431214
0.00080 0.439602
0.00082 0.450456
0.00084 0.463778
0.00086 0.476605
0.00088 0.488447
0.00090 0.500288
0.00092 0.513116
0.00094 0.524957
0.00096 0.534824
0.00098 0.543705
0.00100 0.551106
0.00102 0.557026
0.00104 0.561467
0.00106 0.565414
0.00108 0.570348
0.00110 0.575281
0.00112 0.580215
0.00114 0.585149
0.00116 0.589096
0.00118 0.593043
0.00120 0.596497
0.00122 0.59995
0.00124 0.602911
0.00126 0.605871
0.00128 0.608831
0.00130 0.612778
0.00132 0.616725
0.00134 0.619192
0.00136 0.622646
0.00138 0.625113
0.00140 0.628073
0.00142 0.63054
0.00144 0.6335
0.00146 0.637447
0.00148 0.641394
0.00150 0.644848
0.00152 0.648302
0.00154 0.650769
0.00156 0.652742
0.00158 0.655209
0.00160 0.657676
0.00162 0.660143
0.00164 0.662116
0.00166 0.66409
0.00168 0.66557
0.00170 0.66705
0.00172 0.66853
0.00174 0.670504
0.00176 0.671984
0.00178 0.673464
0.00180 0.674451
0.00182 0.675438
0.00184 0.676424
0.00186 0.677411
0.00188 0.678398
0.00190 0.679385
0.00192 0.680371
0.00194 0.681358
0.00196 0.681852
0.00198 0.682838
0.00200 0.683332
0.00202 0.683825
0.00204 0.684319
0.00206 0.684319
0.00208 0.684812
0.00210 0.685305
0.00212 0.685799
0.00214 0.686292
0.00216 0.686292
0.00218 0.686785
0.00220 0.687772
0.00222 0.688266
0.00224 0.688759
0.00226 0.689252
0.00228 0.689746
0.00230 0.690732
0.00232 0.691226
0.00234 0.691719
0.00236 0.691719
0.00238 0.691719
0.00240 0.692213
0.00242 0.692706
0.00244 0.692706
0.00246 0.692706
0.00248 0.693199
0.00250 0.693693
0.00252 0.693693
0.00254 0.694186
0.00256 0.694186
0.00258 0.694186
0.00260 0.694679
0.00262 0.694679
0.00264 0.694679
0.00266 0.695173
0.00268 0.695173
0.00270 0.695173
0.00272 0.695173
0.00274 0.695666
0.00276 0.695666
0.00278 0.69616
0.00280 0.69616
0.00282 0.69616
0.00284 0.69616
0.00286 0.69616
0.00288 0.696653
0.00290 0.696653
0.00292 0.696653
0.00294 0.696653
0.00296 0.697146
0.00298 0.697146
0.00300 0.697146
0.00302 0.697146
0.00304 0.697146
0.00306 0.69764
0.00308 0.69764
0.00310 0.69764
0.00312 0.69764
0.00314 0.698133
0.00316 0.698133
0.00318 0.698133
0.00320 0.698133
0.00322 0.698133
0.00324 0.698133
0.00326 0.698133
0.00328 0.698627
0.00330 0.698627
0.00332 0.698627
0.00334 0.698627
0.00336 0.698627
0.00338 0.698627
