# XXZ spin chain 
# ED for L=20, Delta=1.0
# Integrated and normalized dynamical spin conductivity
# omega/J I~(omega)

0.0000000000000000 0.16222
5.00000000000000010E-004 0.16222
1.00000000000000002E-003 0.16222
1.50000000000000003E-003 0.16222
2.00000000000000004E-003 0.16222
2.50000000000000005E-003 0.16222
3.00000000000000006E-003 0.16222
3.50000000000000007E-003 0.16222
4.00000000000000008E-003 0.16222
4.49999999999999966E-003 0.16222
5.00000000000000010E-003 0.162221
5.49999999999999968E-003 0.162221
6.00000000000000012E-003 0.162221
6.49999999999999970E-003 0.162221
7.00000000000000015E-003 0.162221
7.49999999999999972E-003 0.162221
8.00000000000000017E-003 0.162222
8.50000000000000061E-003 0.162222
8.99999999999999932E-003 0.162222
9.49999999999999976E-003 0.162222
1.00000000000000002E-002 0.162223
1.05000000000000007E-002 0.162223
1.09999999999999994E-002 0.162224
1.14999999999999998E-002 0.162224
1.20000000000000002E-002 0.162225
1.25000000000000007E-002 0.162225
1.29999999999999994E-002 0.162226
1.34999999999999998E-002 0.162227
1.40000000000000003E-002 0.162227
1.45000000000000007E-002 0.162228
1.49999999999999994E-002 0.162229
1.54999999999999999E-002 0.162229
1.60000000000000003E-002 0.16223
1.65000000000000008E-002 0.162231
1.70000000000000012E-002 0.162232
1.75000000000000017E-002 0.162233
1.79999999999999986E-002 0.162234
1.84999999999999991E-002 0.162236
1.89999999999999995E-002 0.162237
1.95000000000000000E-002 0.162238
2.00000000000000004E-002 0.162239
2.05000000000000009E-002 0.162241
2.10000000000000013E-002 0.162242
2.14999999999999983E-002 0.162244
2.19999999999999987E-002 0.162246
2.24999999999999992E-002 0.162247
2.29999999999999996E-002 0.162249
2.35000000000000001E-002 0.162251
2.40000000000000005E-002 0.162253
2.45000000000000009E-002 0.162255
2.50000000000000014E-002 0.162257
2.54999999999999984E-002 0.162259
2.59999999999999988E-002 0.162262
2.64999999999999993E-002 0.162264
2.69999999999999997E-002 0.162266
2.75000000000000001E-002 0.162269
2.80000000000000006E-002 0.162272
2.85000000000000010E-002 0.162274
2.90000000000000015E-002 0.162277
2.94999999999999984E-002 0.16228
2.99999999999999989E-002 0.162283
3.04999999999999993E-002 0.162286
3.09999999999999998E-002 0.162289
3.15000000000000002E-002 0.162292
3.20000000000000007E-002 0.162296
3.25000000000000011E-002 0.1623
3.30000000000000016E-002 0.162304
3.35000000000000020E-002 0.162308
3.40000000000000024E-002 0.162311
3.45000000000000029E-002 0.162315
3.50000000000000033E-002 0.162319
3.54999999999999968E-002 0.162323
3.59999999999999973E-002 0.162327
3.64999999999999977E-002 0.162332
3.69999999999999982E-002 0.162337
3.74999999999999986E-002 0.162342
3.79999999999999991E-002 0.162347
3.84999999999999995E-002 0.162352
3.89999999999999999E-002 0.162358
3.95000000000000004E-002 0.162362
4.00000000000000008E-002 0.162368
4.05000000000000013E-002 0.162373
4.10000000000000017E-002 0.162378
4.15000000000000022E-002 0.162384
4.20000000000000026E-002 0.162389
4.25000000000000031E-002 0.162395
4.29999999999999966E-002 0.162401
4.34999999999999970E-002 0.162408
4.39999999999999974E-002 0.162414
4.44999999999999979E-002 0.162421
4.49999999999999983E-002 0.162427
4.54999999999999988E-002 0.162434
4.59999999999999992E-002 0.162441
4.64999999999999997E-002 0.162448
4.70000000000000001E-002 0.162457
4.75000000000000006E-002 0.162463
4.80000000000000010E-002 0.162471
4.85000000000000014E-002 0.162478
4.90000000000000019E-002 0.162486
4.95000000000000023E-002 0.162495
5.00000000000000028E-002 0.162504
