# XXZ spin chain 
# tDMRG for Delta=0.5
# Spin conductivity sigma(omega)
# omega/J sigma~(omega)

0.01899038770240566 0.07451742314689556
0.032552634395177055 0.07563418388767085
0.05872535091634007 0.07678567642181955
0.07249403175927269 0.07834526752810561
0.10036924264334812 0.08167484425822813
0.1138056795699573 0.08350048980734245
0.1353270733119482 0.08838456873629706
0.17167487169841533 0.09921439991179228
0.1851312326955319 0.10273359145402808
0.20534443796135365 0.11044879922987869
0.2174699872951933 0.11487614871483884
0.23768775262122382 0.12297896160843402
0.24914117701939192 0.1272892662219527
0.2686823421646665 0.13489463841192162
0.2801338806736017 0.13904464244064002
0.30334541844913543 0.14505702756915614
0.3157914710409983 0.1482203666557821
0.3399859281730647 0.1522605350986188
0.3540798070406032 0.15295517096608668
0.38022326084716834 0.1516193327594177
0.3942818107230763 0.1493110043382936
0.417675135124213 0.14226846531273457
0.43037522398052835 0.13851809954751132
0.44905391173589365 0.1298264682558194
0.45973009831819084 0.12508513318094883
0.47572651462973586 0.11645472780706256
0.48639463379698095 0.11102766245276859
0.5017169599565348 0.10211316882026404
0.5117165209135388 0.09687223025609928
0.5270378866665386 0.08787610206652051
0.5370378317861639 0.08266781732518542
0.5550368948284976 0.07322166008642664
0.5650507780665095 0.06919811540793955
0.5817220388857387 0.06091591852659167
0.5937403170439235 0.05622521808088818
0.6137805842714343 0.049240692600304475
0.6264834233828811 0.04572409852124831
0.6498963060269378 0.04034401014388886
0.6639546358824353 0.03801697998787143
0.6887349375199407 0.034840356732412536
0.697456939486155 0.03503405327237952
