# XXZ spin chain 
# ED for L=20, Delta~=0.707
# Spin conductivity sigma(omega)
# omega/J sigma~(omega)

0.0000000000000000 320.394
5.00000000000000010E-004 6.60899e-07
1.00000000000000002E-003 1.95381e-06
1.50000000000000003E-003 4.08236e-06
2.00000000000000004E-003 6.39966e-06
2.50000000000000005E-003 9.19869e-06
3.00000000000000006E-003 1.27024e-05
3.50000000000000007E-003 1.89573e-05
4.00000000000000008E-003 2.05978e-05
4.49999999999999966E-003 2.15635e-05
5.00000000000000010E-003 3.68422e-05
5.49999999999999968E-003 4.42176e-05
6.00000000000000012E-003 4.77011e-05
6.49999999999999970E-003 5.34562e-05
7.00000000000000015E-003 6.33732e-05
7.49999999999999972E-003 7.64628e-05
8.00000000000000017E-003 8.58869e-05
8.50000000000000061E-003 9.47766e-05
8.99999999999999932E-003 9.36546e-05
9.49999999999999976E-003 0.000124252
1.00000000000000002E-002 0.000124788
1.05000000000000007E-002 0.000143516
1.09999999999999994E-002 0.000161229
1.14999999999999998E-002 0.000170512
1.20000000000000002E-002 0.000168378
1.25000000000000007E-002 0.000216815
1.29999999999999994E-002 0.000187013
1.34999999999999998E-002 0.00019832
1.40000000000000003E-002 0.000255776
1.45000000000000007E-002 0.000278176
1.49999999999999994E-002 0.000300521
1.54999999999999999E-002 0.000292401
1.60000000000000003E-002 0.000347388
1.65000000000000008E-002 0.000348933
1.70000000000000012E-002 0.000321433
1.75000000000000017E-002 0.000327577
1.79999999999999986E-002 0.000320543
1.84999999999999991E-002 0.000455345
1.89999999999999995E-002 0.000457867
1.95000000000000000E-002 0.000516393
2.00000000000000004E-002 0.000597054
2.05000000000000009E-002 0.000570765
2.10000000000000013E-002 0.00057097
2.14999999999999983E-002 0.000619103
2.19999999999999987E-002 0.000622539
2.24999999999999992E-002 0.000565381
2.29999999999999996E-002 0.000708507
2.35000000000000001E-002 0.000736203
2.40000000000000005E-002 0.000800925
2.45000000000000009E-002 0.000848191
2.50000000000000014E-002 0.000939073
2.54999999999999984E-002 0.00167541
2.59999999999999988E-002 0.000869469
2.64999999999999993E-002 0.000866668
2.69999999999999997E-002 0.000961654
2.75000000000000001E-002 0.000952007
2.80000000000000006E-002 0.00110768
2.85000000000000010E-002 0.00109165
2.90000000000000015E-002 0.00122009
2.94999999999999984E-002 0.00119869
2.99999999999999989E-002 0.00115444
3.04999999999999993E-002 0.00121171
3.09999999999999998E-002 0.00118748
3.15000000000000002E-002 0.00280752
3.20000000000000007E-002 0.00151456
3.25000000000000011E-002 0.00247148
3.30000000000000016E-002 0.00218171
3.35000000000000020E-002 0.00166807
3.40000000000000024E-002 0.00218043
3.45000000000000029E-002 0.00434529
3.50000000000000033E-002 0.00166719
3.54999999999999968E-002 0.00183257
3.59999999999999973E-002 0.00389271
3.64999999999999977E-002 0.00274013
3.69999999999999982E-002 0.00307812
3.74999999999999986E-002 0.00672613
3.79999999999999991E-002 0.00617422
3.84999999999999995E-002 0.00826168
3.89999999999999999E-002 0.00479084
3.95000000000000004E-002 0.00772579
4.00000000000000008E-002 0.00807034
4.05000000000000013E-002 0.00714296
4.10000000000000017E-002 0.0132298
4.15000000000000022E-002 0.0127273
4.20000000000000026E-002 0.011505
4.25000000000000031E-002 0.0164825
4.29999999999999966E-002 0.0197501
4.34999999999999970E-002 0.0169553
4.39999999999999974E-002 0.0281293
4.44999999999999979E-002 0.0179662
4.49999999999999983E-002 0.0304324
4.54999999999999988E-002 0.0291831
4.59999999999999992E-002 0.0317582
4.64999999999999997E-002 0.0272158
4.70000000000000001E-002 0.0448198
4.75000000000000006E-002 0.0380532
4.80000000000000010E-002 0.0647592
4.85000000000000014E-002 0.0460667
4.90000000000000019E-002 0.0704035
4.95000000000000023E-002 0.0373896
5.00000000000000028E-002 0.0585786
5.05000000000000032E-002 0.109373
5.09999999999999967E-002 0.0762345
5.14999999999999972E-002 0.0602691
5.19999999999999976E-002 0.0655064
5.24999999999999981E-002 0.0823159
5.29999999999999985E-002 0.125974
5.34999999999999989E-002 0.0963893
5.39999999999999994E-002 0.126962
5.44999999999999998E-002 0.127485
5.50000000000000003E-002 0.127314
5.55000000000000007E-002 0.158295
5.60000000000000012E-002 0.0765802
5.65000000000000016E-002 0.123289
5.70000000000000021E-002 0.161337
5.75000000000000025E-002 0.188998
5.80000000000000029E-002 0.143868
5.85000000000000034E-002 0.173318
5.89999999999999969E-002 0.144141
5.94999999999999973E-002 0.165879
5.99999999999999978E-002 0.149716
6.04999999999999982E-002 0.157038
6.09999999999999987E-002 0.200579
6.14999999999999991E-002 0.207845
6.19999999999999996E-002 0.1831
6.25000000000000000E-002 0.17448
6.30000000000000004E-002 0.163562
6.35000000000000009E-002 0.195412
6.40000000000000013E-002 0.162754
6.45000000000000018E-002 0.17905
6.50000000000000022E-002 0.210724
6.55000000000000027E-002 0.209533
6.60000000000000031E-002 0.243946
6.65000000000000036E-002 0.163867
6.70000000000000040E-002 0.175023
6.75000000000000044E-002 0.238545
6.80000000000000049E-002 0.201455
6.85000000000000053E-002 0.163683
6.90000000000000058E-002 0.245013
6.95000000000000062E-002 0.199295
7.00000000000000067E-002 0.191146
7.04999999999999932E-002 0.190199
7.09999999999999937E-002 0.244344
7.14999999999999941E-002 0.258298
7.19999999999999946E-002 0.189005
7.24999999999999950E-002 0.224731
7.29999999999999954E-002 0.174369
7.34999999999999959E-002 0.183487
7.39999999999999963E-002 0.220407
7.44999999999999968E-002 0.214484
7.49999999999999972E-002 0.207819
7.54999999999999977E-002 0.19264
7.59999999999999981E-002 0.222354
7.64999999999999986E-002 0.191232
7.69999999999999990E-002 0.212601
7.74999999999999994E-002 0.155582
7.79999999999999999E-002 0.179389
7.85000000000000003E-002 0.160396
7.90000000000000008E-002 0.237767
7.95000000000000012E-002 0.155696
8.00000000000000017E-002 0.176008
8.05000000000000021E-002 0.186922
8.10000000000000026E-002 0.158047
8.15000000000000030E-002 0.185213
8.20000000000000034E-002 0.207752
8.25000000000000039E-002 0.189115
8.30000000000000043E-002 0.183638
8.35000000000000048E-002 0.137282
8.40000000000000052E-002 0.18004
8.45000000000000057E-002 0.163578
8.50000000000000061E-002 0.148667
8.55000000000000066E-002 0.147469
8.59999999999999931E-002 0.114239
8.64999999999999936E-002 0.166846
8.69999999999999940E-002 0.135177
8.74999999999999944E-002 0.16662
8.79999999999999949E-002 0.13603
8.84999999999999953E-002 0.149329
8.89999999999999958E-002 0.117807
8.94999999999999962E-002 0.110188
8.99999999999999967E-002 0.127934
9.04999999999999971E-002 0.122619
9.09999999999999976E-002 0.12517
9.14999999999999980E-002 0.116123
9.19999999999999984E-002 0.121664
9.24999999999999989E-002 0.133592
9.29999999999999993E-002 0.129596
9.34999999999999998E-002 0.127657
9.40000000000000002E-002 0.0989677
9.45000000000000007E-002 0.126159
9.50000000000000011E-002 0.130146
9.55000000000000016E-002 0.138593
9.60000000000000020E-002 0.134268
9.65000000000000024E-002 0.132835
9.70000000000000029E-002 0.127664
9.75000000000000033E-002 0.130677
9.80000000000000038E-002 0.13889
9.85000000000000042E-002 0.13553
9.90000000000000047E-002 0.131711
9.95000000000000051E-002 0.121239
0.10000000000000001 0.128383
0.10050000000000001 0.123541
0.10100000000000001 0.115259
0.10150000000000001 0.164348
0.10199999999999999 0.12683
0.10249999999999999 0.128119
0.10299999999999999 0.140438
0.10349999999999999 0.101643
0.10400000000000000 0.107529
0.10450000000000000 0.132549
0.10500000000000000 0.130745
0.10550000000000000 0.139377
0.10600000000000000 0.125997
0.10650000000000000 0.12998
0.10700000000000000 0.122833
0.10750000000000000 0.135926
0.10800000000000000 0.115126
0.10850000000000000 0.147431
0.10900000000000000 0.155103
0.10950000000000000 0.136551
0.11000000000000000 0.146169
0.11050000000000000 0.110956
0.11100000000000000 0.114134
0.11150000000000000 0.126221
0.11200000000000000 0.134433
0.11250000000000000 0.11028
0.11300000000000000 0.118881
0.11350000000000000 0.125209
0.11400000000000000 0.144919
0.11450000000000000 0.133705
0.11500000000000000 0.107246
0.11550000000000001 0.13764
0.11600000000000001 0.129491
0.11650000000000001 0.135858
0.11700000000000001 0.11345
0.11749999999999999 0.115207
0.11799999999999999 0.118996
0.11849999999999999 0.126705
0.11899999999999999 0.12026
0.11950000000000000 0.116808
0.12000000000000000 0.128317
0.12050000000000000 0.154894
0.12100000000000000 0.125315
0.12150000000000000 0.139986
0.12200000000000000 0.141702
0.12250000000000000 0.159926
0.12300000000000000 0.150079
0.12350000000000000 0.141588
0.12400000000000000 0.138925
0.12450000000000000 0.144296
0.12500000000000000 0.153373
0.12550000000000000 0.147802
0.12600000000000000 0.148205
0.12650000000000000 0.132794
0.12700000000000000 0.132094
0.12750000000000000 0.144
0.12800000000000000 0.149915
0.12850000000000000 0.136888
0.12900000000000000 0.161402
0.12950000000000000 0.137746
0.13000000000000000 0.143876
0.13050000000000000 0.161889
0.13100000000000001 0.141213
0.13150000000000001 0.139877
0.13200000000000001 0.147788
0.13250000000000001 0.130358
0.13300000000000001 0.150729
0.13350000000000001 0.164986
0.13400000000000001 0.134001
0.13450000000000001 0.139817
0.13500000000000001 0.164548
0.13550000000000001 0.14093
0.13600000000000001 0.130566
0.13650000000000001 0.143996
0.13700000000000001 0.137111
0.13750000000000001 0.137778
0.13800000000000001 0.132749
0.13850000000000001 0.153738
0.13900000000000001 0.173907
0.13950000000000001 0.137332
0.14000000000000001 0.125912
0.14050000000000001 0.126081
0.14099999999999999 0.155852
0.14149999999999999 0.14484
0.14199999999999999 0.154443
0.14249999999999999 0.129971
0.14299999999999999 0.151132
0.14349999999999999 0.149429
0.14399999999999999 0.128684
0.14449999999999999 0.140706
0.14499999999999999 0.154152
0.14549999999999999 0.178445
0.14599999999999999 0.15079
0.14649999999999999 0.130634
0.14699999999999999 0.131728
0.14749999999999999 0.152642
0.14799999999999999 0.142985
0.14849999999999999 0.152957
0.14899999999999999 0.141384
0.14949999999999999 0.149379
0.14999999999999999 0.133981
0.15049999999999999 0.159094
0.15100000000000000 0.131957
0.15150000000000000 0.137934
0.15200000000000000 0.142242
0.15250000000000000 0.127304
0.15300000000000000 0.146669
0.15350000000000000 0.147192
0.15400000000000000 0.137554
0.15450000000000000 0.138459
0.15500000000000000 0.135155
0.15550000000000000 0.124422
0.15600000000000000 0.131867
0.15650000000000000 0.139423
0.15700000000000000 0.125873
0.15750000000000000 0.120152
0.15800000000000000 0.12842
0.15850000000000000 0.121175
0.15900000000000000 0.138507
0.15950000000000000 0.12728
0.16000000000000000 0.131961
0.16050000000000000 0.13977
0.16100000000000000 0.120793
0.16150000000000000 0.134998
0.16200000000000001 0.131705
0.16250000000000001 0.127343
0.16300000000000001 0.123632
0.16350000000000001 0.117208
0.16400000000000001 0.114291
0.16450000000000001 0.139695
0.16500000000000001 0.117821
0.16550000000000001 0.133758
0.16600000000000001 0.120524
0.16650000000000001 0.136769
0.16700000000000001 0.131727
0.16750000000000001 0.119477
0.16800000000000001 0.138237
0.16850000000000001 0.114657
0.16900000000000001 0.123403
0.16950000000000001 0.116879
0.17000000000000001 0.11831
0.17050000000000001 0.131002
0.17100000000000001 0.126222
0.17150000000000001 0.126448
0.17199999999999999 0.127461
0.17249999999999999 0.121719
0.17299999999999999 0.129876
0.17349999999999999 0.128131
0.17399999999999999 0.128932
0.17449999999999999 0.146146
0.17499999999999999 0.134024
0.17549999999999999 0.123796
0.17599999999999999 0.134077
0.17649999999999999 0.131341
0.17699999999999999 0.123457
0.17749999999999999 0.106486
