# XXZ spin chain 
# MCLM for L=32, Delta=0.4
# Integrates spin conductivity I(omega)
# omega/J I(omega)

0.00000 0
0.00002 0.000381972
0.00004 0.00101859
0.00006 0.00146423
0.00008 0.0018462
0.00010 0.00229183
0.00012 0.00299211
0.00014 0.00432901
0.00016 0.00617521
0.00018 0.00833972
0.00020 0.0103769
0.00022 0.0126051
0.00024 0.0146423
0.00026 0.0162975
0.00028 0.017889
0.00030 0.0194806
0.00032 0.0210721
0.00034 0.0225363
0.00036 0.0243189
0.00038 0.0257831
0.00040 0.0269927
0.00042 0.0283932
0.00044 0.0303668
0.00046 0.0323403
0.00048 0.0338682
0.00050 0.0346321
0.00052 0.0351414
0.00054 0.0357144
0.00056 0.0364783
0.00058 0.0371786
0.00060 0.0380062
0.00062 0.0390248
0.00064 0.0403617
0.00066 0.0419532
0.00068 0.0435448
0.00070 0.0445634
0.00072 0.0453273
0.00074 0.0459639
0.00076 0.0467916
0.00078 0.0479375
0.00080 0.049147
0.00082 0.0504203
0.00084 0.0514389
0.00086 0.0526485
0.00088 0.0537944
0.00090 0.0546856
0.00092 0.0554496
0.00094 0.0562135
0.00096 0.0573594
0.00098 0.0585054
0.00100 0.0596513
0.00102 0.0611155
0.00104 0.062707
0.00106 0.0637893
0.00108 0.0646169
0.00110 0.0650625
0.00112 0.0652535
0.00114 0.0655082
0.00116 0.0656992
0.00118 0.0659538
0.00120 0.0662721
0.00122 0.0665268
0.00124 0.0667814
0.00126 0.0671634
0.00128 0.0675454
0.00130 0.0679273
0.00132 0.0682456
0.00134 0.0687549
0.00136 0.0693279
0.00138 0.0697099
0.00140 0.0702828
0.00142 0.0707285
0.00144 0.0709194
0.00146 0.0711104
0.00148 0.0713651
0.00150 0.0716834
0.00152 0.0721927
0.00154 0.072702
0.00156 0.0732113
0.00158 0.0735932
0.00160 0.0737842
0.00162 0.0739752
0.00164 0.0743572
0.00166 0.0746755
0.00168 0.0749938
0.00170 0.0752485
0.00172 0.0755031
0.00174 0.0757578
0.00176 0.0758851
0.00178 0.0760761
0.00180 0.0762034
0.00182 0.0763307
0.00184 0.0763944
0.00186 0.076458
0.00188 0.0765217
0.00190 0.076649
0.00192 0.0767763
0.00194 0.07684
0.00196 0.07684
0.00198 0.0769037
0.00200 0.0769037
0.00202 0.077031
0.00204 0.0770947
0.00206 0.0771583
0.00208 0.077222
0.00210 0.0772856
0.00212 0.0773493
0.00214 0.0774766
0.00216 0.077604
0.00218 0.0776676
0.00220 0.0777313
0.00222 0.0777313
0.00224 0.0777949
0.00226 0.0777949
0.00228 0.0777949
0.00230 0.0778586
0.00232 0.0778586
0.00234 0.0779223
0.00236 0.0779859
0.00238 0.0780496
0.00240 0.0781132
0.00242 0.0781769
0.00244 0.0781769
0.00246 0.0782406
0.00248 0.0782406
0.00250 0.0783042
0.00252 0.0783042
0.00254 0.0783679
0.00256 0.0783679
0.00258 0.0783679
0.00260 0.0784316
0.00262 0.0784316
0.00264 0.0784316
0.00266 0.0784952
0.00268 0.0784952
0.00270 0.0784952
0.00272 0.0785589
0.00274 0.0785589
0.00276 0.0785589
0.00278 0.0786225
0.00280 0.0786225
0.00282 0.0786225
0.00284 0.0786225
0.00286 0.0786225
0.00288 0.0786225
0.00290 0.0786862
0.00292 0.0786862
0.00294 0.0786862
0.00296 0.0787499
0.00298 0.0787499
0.00300 0.0787499
0.00302 0.0787499
0.00304 0.0787499
0.00306 0.0787499
0.00308 0.0787499
0.00310 0.0787499
0.00312 0.0787499
0.00314 0.0788135
0.00316 0.0788135
0.00318 0.0788135
0.00320 0.0788135
0.00322 0.0788135
0.00324 0.0788135
0.00326 0.0788135
0.00328 0.0788135
0.00330 0.0788135
0.00332 0.0788772
0.00334 0.0788772
0.00336 0.0788772
0.00338 0.0788772
0.00340 0.0788772
0.00342 0.0788772
0.00344 0.0788772
0.00346 0.0789409
0.00348 0.0789409
0.00350 0.0789409
0.00352 0.0789409
0.00354 0.0789409
0.00356 0.0789409
0.00358 0.0789409
0.00360 0.0789409
0.00362 0.0789409
0.00364 0.0789409
0.00366 0.0789409
0.00368 0.0789409
0.00370 0.0789409
0.00372 0.0789409
0.00374 0.0789409
0.00376 0.0789409
0.00378 0.0789409
0.00380 0.0789409
0.00382 0.0789409
0.00384 0.0789409
0.00386 0.0789409
0.00388 0.0789409
0.00390 0.0789409
0.00392 0.0789409
0.00394 0.0789409
0.00396 0.0789409
0.00398 0.0790045
0.00400 0.0790045
0.00402 0.0790045
0.00404 0.0790045
0.00406 0.0790045
0.00408 0.0790045
0.00410 0.0790045
0.00412 0.0790045
0.00414 0.0790045
0.00416 0.0790045
0.00418 0.0790045
0.00420 0.0790045
0.00422 0.0790045
0.00424 0.0790045
0.00426 0.0790045
0.00428 0.0790045
0.00430 0.0790045
0.00432 0.0790045
0.00434 0.0790045
0.00436 0.0790045
0.00438 0.0790045
0.00440 0.0790045
0.00442 0.0790045
0.00444 0.0790045
0.00446 0.0790682
0.00448 0.0790682
0.00450 0.0790682
0.00452 0.0790682
0.00454 0.0790682
0.00456 0.0790682
0.00458 0.0790682
0.00460 0.0790682
0.00462 0.0790682
0.00464 0.0790682
0.00466 0.0790682
0.00468 0.0790682
