# XXZ spin chain 
# ED for L=20, Delta=1/sqrt(2)-0.01
# Detailed analysis of sigma_reg(omega) spectra in vicinity of Delta=1/sqrt(2)
# omega/J sigma_reg(omega)

0.0000000000000000 0
5.00000000000000010E-004 0
1.00000000000000002E-003 0
1.50000000000000003E-003 0
2.00000000000000004E-003 0
2.50000000000000005E-003 0
3.00000000000000006E-003 0
3.50000000000000007E-003 0
4.00000000000000008E-003 0
4.49999999999999966E-003 0
5.00000000000000010E-003 0.0078194
5.49999999999999968E-003 0.00595582
6.00000000000000012E-003 0.0045
6.49999999999999970E-003 0.00281422
7.00000000000000015E-003 0.00241569
7.49999999999999972E-003 0.00113263
8.00000000000000017E-003 0.000987309
8.50000000000000061E-003 0.000607628
8.99999999999999932E-003 0.000410809
9.49999999999999976E-003 0.00027908
1.00000000000000002E-002 7.67006e-05
1.05000000000000007E-002 9.88265e-05
1.09999999999999994E-002 5.76782e-05
1.14999999999999998E-002 3.04755e-05
1.20000000000000002E-002 4.04974e-05
1.25000000000000007E-002 2.01278e-05
1.29999999999999994E-002 7.06156e-06
1.34999999999999998E-002 8.362e-06
1.40000000000000003E-002 9.3803e-06
1.45000000000000007E-002 8.47634e-06
1.49999999999999994E-002 1.01915e-05
1.54999999999999999E-002 1.01395e-05
1.60000000000000003E-002 1.07361e-05
1.65000000000000008E-002 1.03521e-05
1.70000000000000012E-002 1.19893e-05
1.75000000000000017E-002 1.23816e-05
1.79999999999999986E-002 1.46528e-05
1.84999999999999991E-002 1.47916e-05
1.89999999999999995E-002 1.80781e-05
1.95000000000000000E-002 1.58927e-05
2.00000000000000004E-002 1.46038e-05
2.05000000000000009E-002 1.8641e-05
2.10000000000000013E-002 2.10517e-05
2.14999999999999983E-002 2.03541e-05
2.19999999999999987E-002 2.09706e-05
2.24999999999999992E-002 2.1832e-05
2.29999999999999996E-002 2.13996e-05
2.35000000000000001E-002 2.3462e-05
2.40000000000000005E-002 2.56278e-05
2.45000000000000009E-002 4.62872e-05
2.50000000000000014E-002 2.88392e-05
2.54999999999999984E-002 3.16725e-05
2.59999999999999988E-002 3.2892e-05
2.64999999999999993E-002 3.33671e-05
2.69999999999999997E-002 3.41391e-05
2.75000000000000001E-002 4.11779e-05
2.80000000000000006E-002 3.91538e-05
2.85000000000000010E-002 3.60066e-05
2.90000000000000015E-002 3.80743e-05
2.94999999999999984E-002 3.49744e-05
2.99999999999999989E-002 8.80023e-05
3.04999999999999993E-002 4.69978e-05
3.09999999999999998E-002 7.76991e-05
3.15000000000000002E-002 6.96964e-05
3.20000000000000007E-002 5.19893e-05
3.25000000000000011E-002 0.000119986
3.30000000000000016E-002 7.23405e-05
3.35000000000000020E-002 5.51387e-05
3.40000000000000024E-002 9.08026e-05
3.45000000000000029E-002 0.00010058
3.50000000000000033E-002 9.18235e-05
3.54999999999999968E-002 0.000175766
3.59999999999999973E-002 0.000194616
3.64999999999999977E-002 0.000269512
3.69999999999999982E-002 0.000212009
3.74999999999999986E-002 0.000184205
3.79999999999999991E-002 0.000227029
3.84999999999999995E-002 0.000393557
3.89999999999999999E-002 0.000317494
3.95000000000000004E-002 0.000365288
4.00000000000000008E-002 0.000544999
4.05000000000000013E-002 0.000446377
4.10000000000000017E-002 0.000356781
4.15000000000000022E-002 0.00118403
4.20000000000000026E-002 0.000558851
4.25000000000000031E-002 0.0011686
4.29999999999999966E-002 0.000879933
4.34999999999999970E-002 0.00101459
4.39999999999999974E-002 0.000689775
4.44999999999999979E-002 0.00130911
4.49999999999999983E-002 0.00129591
4.54999999999999988E-002 0.00219432
4.59999999999999992E-002 0.00178984
4.64999999999999997E-002 0.00200858
4.70000000000000001E-002 0.00170724
4.75000000000000006E-002 0.00210416
4.80000000000000010E-002 0.00321636
4.85000000000000014E-002 0.00291934
4.90000000000000019E-002 0.00222689
4.95000000000000023E-002 0.00187934
5.00000000000000028E-002 0.00362347
5.05000000000000032E-002 0.00361062
5.09999999999999967E-002 0.00378244
5.14999999999999972E-002 0.00487759
5.19999999999999976E-002 0.0045558
5.24999999999999981E-002 0.00459124
5.29999999999999985E-002 0.00320157
5.34999999999999989E-002 0.00434421
5.39999999999999994E-002 0.00494281
5.44999999999999998E-002 0.00624624
5.50000000000000003E-002 0.00653224
5.55000000000000007E-002 0.00480001
5.60000000000000012E-002 0.00516901
5.65000000000000016E-002 0.00476589
5.70000000000000021E-002 0.00515074
5.75000000000000025E-002 0.00618164
5.80000000000000029E-002 0.00732139
5.85000000000000034E-002 0.0073422
5.89999999999999969E-002 0.00516524
5.94999999999999973E-002 0.0057179
5.99999999999999978E-002 0.00600556
6.04999999999999982E-002 0.00634673
6.09999999999999987E-002 0.00604051
6.14999999999999991E-002 0.00742135
6.19999999999999996E-002 0.00667531
6.25000000000000000E-002 0.00723881
6.30000000000000004E-002 0.00752037
6.35000000000000009E-002 0.00673519
6.40000000000000013E-002 0.00545221
6.45000000000000018E-002 0.00756581
6.50000000000000022E-002 0.00736012
6.55000000000000027E-002 0.00731888
6.60000000000000031E-002 0.00650007
6.65000000000000036E-002 0.00651478
6.70000000000000040E-002 0.0078236
6.75000000000000044E-002 0.00713235
6.80000000000000049E-002 0.00831916
6.85000000000000053E-002 0.00812347
6.90000000000000058E-002 0.00633021
6.95000000000000062E-002 0.00689105
7.00000000000000067E-002 0.00669546
7.04999999999999932E-002 0.00762666
7.09999999999999937E-002 0.0067285
7.14999999999999941E-002 0.00688979
7.19999999999999946E-002 0.00536214
7.24999999999999950E-002 0.00588253
7.29999999999999954E-002 0.00861175
7.34999999999999959E-002 0.00724649
7.39999999999999963E-002 0.00543134
7.44999999999999968E-002 0.00457674
7.49999999999999972E-002 0.00748442
7.54999999999999977E-002 0.00632128
7.59999999999999981E-002 0.00530838
7.64999999999999986E-002 0.00646393
7.69999999999999990E-002 0.00570846
7.74999999999999994E-002 0.00595034
7.79999999999999999E-002 0.00766584
7.85000000000000003E-002 0.00614316
7.90000000000000008E-002 0.00501884
7.95000000000000012E-002 0.0050296
8.00000000000000017E-002 0.00582917
8.05000000000000021E-002 0.00494805
8.10000000000000026E-002 0.00448426
8.15000000000000030E-002 0.00542324
8.20000000000000034E-002 0.00390722
8.25000000000000039E-002 0.0051691
8.30000000000000043E-002 0.00520762
8.35000000000000048E-002 0.00515088
8.40000000000000052E-002 0.00453138
8.45000000000000057E-002 0.00421988
8.50000000000000061E-002 0.00386835
8.55000000000000066E-002 0.00360669
8.59999999999999931E-002 0.00467476
8.64999999999999936E-002 0.00336004
8.69999999999999940E-002 0.0047045
8.74999999999999944E-002 0.00394727
8.79999999999999949E-002 0.00419405
8.84999999999999953E-002 0.00392662
8.89999999999999958E-002 0.00429797
8.94999999999999962E-002 0.00348197
8.99999999999999967E-002 0.00420893
9.04999999999999971E-002 0.00431301
9.09999999999999976E-002 0.00394238
9.14999999999999980E-002 0.00463726
9.19999999999999984E-002 0.00409783
9.24999999999999989E-002 0.00395252
9.29999999999999993E-002 0.00434874
9.34999999999999998E-002 0.00332575
9.40000000000000002E-002 0.00396132
9.45000000000000007E-002 0.00408503
9.50000000000000011E-002 0.00404257
9.55000000000000016E-002 0.00445076
9.60000000000000020E-002 0.00438674
9.65000000000000024E-002 0.00330973
9.70000000000000029E-002 0.0048129
9.75000000000000033E-002 0.0038152
9.80000000000000038E-002 0.00352033
9.85000000000000042E-002 0.00320068
9.90000000000000047E-002 0.00371591
9.95000000000000051E-002 0.0030288
0.10000000000000001 0.00368413
0.10050000000000001 0.00440344
0.10100000000000001 0.00399491
0.10150000000000001 0.00349418
0.10199999999999999 0.00477899
0.10249999999999999 0.00473335
0.10299999999999999 0.00423066
0.10349999999999999 0.00465637
0.10400000000000000 0.00439756
0.10450000000000000 0.0040027
0.10500000000000000 0.00371554
0.10550000000000000 0.00450269
0.10600000000000000 0.00351394
0.10650000000000000 0.00337209
0.10700000000000000 0.00440302
0.10750000000000000 0.00416383
0.10800000000000000 0.00382646
0.10850000000000000 0.00405317
0.10900000000000000 0.00396776
0.10950000000000000 0.00400374
0.11000000000000000 0.00381427
0.11050000000000000 0.00390001
0.11100000000000000 0.00321205
0.11150000000000000 0.00370377
0.11200000000000000 0.00356521
0.11250000000000000 0.00369949
0.11300000000000000 0.00427142
0.11350000000000000 0.00398065
0.11400000000000000 0.00368123
0.11450000000000000 0.00404341
0.11500000000000000 0.00354679
0.11550000000000001 0.00423896
0.11600000000000001 0.00416317
0.11650000000000001 0.0038166
0.11700000000000001 0.00430658
0.11749999999999999 0.00371648
0.11799999999999999 0.00401196
