# XXZ spin chain 
# ED for L=20, Delta=0.05
# Detailed analysis of sigma_reg(omega) spectra in vicinity of Delta=0
# omega/J sigma_reg(omega)

0.0000000000000000 0
5.00000000000000010E-004 0
1.00000000000000002E-003 0
1.50000000000000003E-003 0
2.00000000000000004E-003 0
2.50000000000000005E-003 0
3.00000000000000006E-003 0
3.50000000000000007E-003 0
4.00000000000000008E-003 0
4.49999999999999966E-003 0
5.00000000000000010E-003 0.00830155
5.49999999999999968E-003 0.0162339
6.00000000000000012E-003 0.0246202
6.49999999999999970E-003 0.0459457
7.00000000000000015E-003 0.0326122
7.49999999999999972E-003 0.034844
8.00000000000000017E-003 0.0362702
8.50000000000000061E-003 0.0601796
8.99999999999999932E-003 0.0813993
9.49999999999999976E-003 0.0866221
1.00000000000000002E-002 0.0769515
1.05000000000000007E-002 0.0768957
1.09999999999999994E-002 0.109695
1.14999999999999998E-002 0.137782
1.20000000000000002E-002 0.130131
1.25000000000000007E-002 0.117445
1.29999999999999994E-002 0.134803
1.34999999999999998E-002 0.178621
1.40000000000000003E-002 0.195298
1.45000000000000007E-002 0.185638
1.49999999999999994E-002 0.195297
1.54999999999999999E-002 0.223661
1.60000000000000003E-002 0.294434
1.65000000000000008E-002 0.295531
1.70000000000000012E-002 0.334709
1.75000000000000017E-002 0.326439
1.79999999999999986E-002 0.353764
1.84999999999999991E-002 0.352163
1.89999999999999995E-002 0.34104
1.95000000000000000E-002 0.305657
2.00000000000000004E-002 0.291605
2.05000000000000009E-002 0.278613
2.10000000000000013E-002 0.272759
2.14999999999999983E-002 0.24275
2.19999999999999987E-002 0.251053
2.24999999999999992E-002 0.242687
2.29999999999999996E-002 0.198356
2.35000000000000001E-002 0.202459
2.40000000000000005E-002 0.179329
2.45000000000000009E-002 0.163419
2.50000000000000014E-002 0.144651
2.54999999999999984E-002 0.13188
2.59999999999999988E-002 0.134228
2.64999999999999993E-002 0.123522
2.69999999999999997E-002 0.116918
2.75000000000000001E-002 0.0984879
2.80000000000000006E-002 0.101004
2.85000000000000010E-002 0.105259
2.90000000000000015E-002 0.0958303
2.94999999999999984E-002 0.0824436
2.99999999999999989E-002 0.0761126
3.04999999999999993E-002 0.0877277
3.09999999999999998E-002 0.0761432
3.15000000000000002E-002 0.0764354
3.20000000000000007E-002 0.0541567
3.25000000000000011E-002 0.0611155
3.30000000000000016E-002 0.0627831
3.35000000000000020E-002 0.0594872
3.40000000000000024E-002 0.0583804
3.45000000000000029E-002 0.046624
3.50000000000000033E-002 0.0444988
3.54999999999999968E-002 0.0472185
3.59999999999999973E-002 0.0471525
3.64999999999999977E-002 0.0451172
3.69999999999999982E-002 0.0362752
3.74999999999999986E-002 0.031488
3.79999999999999991E-002 0.0298402
3.84999999999999995E-002 0.0345021
3.89999999999999999E-002 0.0309019
3.95000000000000004E-002 0.0273733
4.00000000000000008E-002 0.0212638
4.05000000000000013E-002 0.0218828
4.10000000000000017E-002 0.0216377
4.15000000000000022E-002 0.0197408
4.20000000000000026E-002 0.0210433
4.25000000000000031E-002 0.0171355
4.29999999999999966E-002 0.0142449
4.34999999999999970E-002 0.0148544
4.39999999999999974E-002 0.014226
4.44999999999999979E-002 0.0145067
4.49999999999999983E-002 0.0136539
4.54999999999999988E-002 0.0117358
4.59999999999999992E-002 0.0113018
4.64999999999999997E-002 0.0112786
4.70000000000000001E-002 0.0104645
4.75000000000000006E-002 0.0114798
4.80000000000000010E-002 0.00881502
4.85000000000000014E-002 0.00907726
4.90000000000000019E-002 0.0104015
4.95000000000000023E-002 0.00810029
5.00000000000000028E-002 0.00808945
5.05000000000000032E-002 0.00893151
5.09999999999999967E-002 0.00846951
5.14999999999999972E-002 0.00703153
5.19999999999999976E-002 0.00701235
5.24999999999999981E-002 0.00573369
5.29999999999999985E-002 0.00692764
5.34999999999999989E-002 0.00515337
5.39999999999999994E-002 0.00398184
5.44999999999999998E-002 0.00446195
5.50000000000000003E-002 0.00407678
5.55000000000000007E-002 0.00272934
5.60000000000000012E-002 0.00302494
5.65000000000000016E-002 0.00219804
5.70000000000000021E-002 0.00313124
5.75000000000000025E-002 0.00239183
5.80000000000000029E-002 0.00247726
5.85000000000000034E-002 0.00153658
5.89999999999999969E-002 0.00115096
5.94999999999999973E-002 0.00126193
5.99999999999999978E-002 0.000990221
6.04999999999999982E-002 0.00161101
6.09999999999999987E-002 0.00105676
6.14999999999999991E-002 0.000811169
6.19999999999999996E-002 0.00115657
6.25000000000000000E-002 0.00105494
6.30000000000000004E-002 0.000700501
6.35000000000000009E-002 0.000785404
6.40000000000000013E-002 0.000596061
6.45000000000000018E-002 0.000384985
6.50000000000000022E-002 0.000555951
6.55000000000000027E-002 0.000592522
6.60000000000000031E-002 0.000518652
6.65000000000000036E-002 0.000589671
6.70000000000000040E-002 0.000471769
6.75000000000000044E-002 0.000374033
6.80000000000000049E-002 0.000477337
6.85000000000000053E-002 0.000358958
6.90000000000000058E-002 0.0003605
6.95000000000000062E-002 0.000344952
7.00000000000000067E-002 0.000468592
7.04999999999999932E-002 0.000417224
7.09999999999999937E-002 0.000415079
7.14999999999999941E-002 0.000539888
7.19999999999999946E-002 0.000592504
7.24999999999999950E-002 0.000597631
7.29999999999999954E-002 0.000468303
7.34999999999999959E-002 0.000487027
7.39999999999999963E-002 0.000505562
7.44999999999999968E-002 0.000463259
7.49999999999999972E-002 0.000439009
7.54999999999999977E-002 0.000446836
7.59999999999999981E-002 0.000563193
7.64999999999999986E-002 0.000497386
7.69999999999999990E-002 0.000472179
7.74999999999999994E-002 0.000469372
7.79999999999999999E-002 0.000445009
7.85000000000000003E-002 0.000465712
7.90000000000000008E-002 0.000493545
7.95000000000000012E-002 0.00044129
8.00000000000000017E-002 0.000492685
8.05000000000000021E-002 0.000557554
8.10000000000000026E-002 0.000575408
8.15000000000000030E-002 0.000574955
8.20000000000000034E-002 0.000559557
8.25000000000000039E-002 0.000607639
8.30000000000000043E-002 0.000679532
8.35000000000000048E-002 0.000639394
8.40000000000000052E-002 0.000566418
8.45000000000000057E-002 0.000636431
8.50000000000000061E-002 0.000760806
8.55000000000000066E-002 0.000761736
8.59999999999999931E-002 0.000697186
8.64999999999999936E-002 0.000734532
8.69999999999999940E-002 0.000792811
8.74999999999999944E-002 0.000776872
8.79999999999999949E-002 0.000636943
8.84999999999999953E-002 0.000628473
8.89999999999999958E-002 0.000572874
8.94999999999999962E-002 0.000528063
8.99999999999999967E-002 0.000579466
9.04999999999999971E-002 0.000694251
9.09999999999999976E-002 0.000718269
9.14999999999999980E-002 0.000701598
9.19999999999999984E-002 0.000620495
9.24999999999999989E-002 0.000661763
9.29999999999999993E-002 0.000614718
9.34999999999999998E-002 0.000554811
9.40000000000000002E-002 0.000588185
9.45000000000000007E-002 0.00062504
9.50000000000000011E-002 0.000643645
9.55000000000000016E-002 0.000594971
9.60000000000000020E-002 0.000652617
9.65000000000000024E-002 0.000605888
9.70000000000000029E-002 0.00060942
9.75000000000000033E-002 0.000598485
9.80000000000000038E-002 0.000673006
9.85000000000000042E-002 0.000563951
9.90000000000000047E-002 0.00060282
9.95000000000000051E-002 0.00057566
0.10000000000000001 0.000469007
0.10050000000000001 0.000422851
0.10100000000000001 0.000483397
0.10150000000000001 0.00063124
0.10199999999999999 0.000599786
0.10249999999999999 0.000582795
0.10299999999999999 0.000690381
0.10349999999999999 0.000686
0.10400000000000000 0.000686404
0.10450000000000000 0.000551589
0.10500000000000000 0.000559279
0.10550000000000000 0.000603694
0.10600000000000000 0.00053556
0.10650000000000000 0.000551036
0.10700000000000000 0.000617213
0.10750000000000000 0.000684952
0.10800000000000000 0.000599136
0.10850000000000000 0.000691666
0.10900000000000000 0.000641518
0.10950000000000000 0.000684472
0.11000000000000000 0.000678534
0.11050000000000000 0.000672624
0.11100000000000000 0.000632394
0.11150000000000000 0.000626806
0.11200000000000000 0.000532618
0.11250000000000000 0.000555217
0.11300000000000000 0.00065506
0.11350000000000000 0.000737846
0.11400000000000000 0.000668225
0.11450000000000000 0.000714584
0.11500000000000000 0.000714691
0.11550000000000001 0.000723942
0.11600000000000001 0.000567863
0.11650000000000001 0.000522719
0.11700000000000001 0.000521717
0.11749999999999999 0.00054231
0.11799999999999999 0.000510624
0.11849999999999999 0.000435089
0.11899999999999999 0.000495927
0.11950000000000000 0.000480756
0.12000000000000000 0.00037504
0.12050000000000000 0.000395155
0.12100000000000000 0.000385387
0.12150000000000000 0.000492966
0.12200000000000000 0.000289882
0.12250000000000000 0.000317638
0.12300000000000000 0.000301655
