# XXZ spin chain 
# DTP for L=16, Delta->0.0
# Integrated and normalized regular part of the optical conductivity I_reg(omega)
# omega/J I_reg(omega)

0.00003 0
0.00006 0
0.00009 0
0.00012 0
0.00015 0
0.00018 0
0.00021 0
0.00024 0
0.00027 0
0.00030 0
0.00033 0
0.00036 0
0.00039 0
0.00042 0
0.00045 0
0.00048 0
0.00051 0
0.00054 0
0.00057 0
0.00060 0
0.00063 0
0.00066 0
0.00069 0
0.00072 0
0.00075 0
0.00078 0
0.00081 0
0.00084 0
0.00087 0
0.00090 0
0.00093 0
0.00096 0
0.00099 0
0.00102 0
0.00105 0
0.00108 0
0.00111 0
0.00114 0
0.00117 0
0.00120 0
0.00123 0
0.00126 0
0.00129 0
0.00132 0
0.00135 0
0.00138 0
0.00141 0
0.00144 0
0.00147 0
0.00150 0
0.00153 0
0.00156 0
0.00159 0
0.00162 0
0.00165 0
0.00168 0
0.00171 0
0.00174 0
0.00177 0
0.00180 0
0.00183 0
0.00186 0
0.00189 0
0.00192 0
0.00195 0
0.00198 0
0.00201 0
0.00204 0
0.00207 0
0.00210 0
0.00213 0
0.00216 0
0.00219 0
0.00222 0
0.00225 0
0.00228 0
0.00231 0
0.00234 0
0.00237 0
0.00240 0
0.00243 0
0.00246 0
0.00249 0
0.00252 0
0.00255 0
0.00258 0
0.00261 0
0.00264 0
0.00267 0
0.00270 0
0.00273 0
0.00276 0
0.00279 0
0.00282 0
0.00285 0
0.00288 0
0.00291 0
0.00294 0
0.00297 0
0.00300 0
0.00303 0
0.00306 0
0.00309 0
0.00312 0
0.00315 0
0.00318 0
0.00321 0
0.00324 0
0.00327 0
0.00330 0
0.00333 0
0.00336 0
0.00339 0
0.00342 0
0.00345 0
0.00348 0
0.00351 0
0.00354 0
0.00357 0
0.00360 0
0.00363 0
0.00366 0
0.00369 0
0.00372 0
0.00375 0
0.00378 0
0.00381 0
0.00384 0
0.00387 0
0.00390 0
0.00393 0
0.00396 0
0.00399 0
0.00402 0
0.00405 0
0.00408 0
0.00411 0
0.00414 0
0.00417 0
0.00420 0
0.00423 0
0.00426 0
0.00429 0
0.00432 0
0.00435 0
0.00438 0
0.00441 0
0.00444 0
0.00447 0
0.00450 0
0.00453 0
0.00456 0
0.00459 0
0.00462 0
0.00465 0
0.00468 0
0.00471 0
0.00474 0
0.00477 0
0.00480 0
0.00483 0
0.00486 0
0.00489 0
0.00492 0
0.00495 0
0.00498 0
0.00501 0
0.00504 0
0.00507 0
0.00510 0
0.00513 0
0.00516 0
0.00519 0
0.00522 0
0.00525 0
0.00528 0
0.00531 0
0.00534 0
0.00537 0
0.00540 0
0.00543 0
0.00546 0
0.00549 0
0.00552 0
0.00555 0
0.00558 0
0.00561 0
0.00564 0
0.00567 0
0.00570 0
0.00573 0
0.00576 0
0.00579 0
0.00582 0
0.00585 0
0.00588 0
0.00591 0
0.00594 0
0.00597 0
0.00600 0
0.00603 0
0.00606 0
0.00609 0
0.00612 0
0.00615 0
0.00618 0
0.00621 0
0.00624 0
0.00627 0
0.00630 0
0.00633 0
0.00636 0
0.00639 0
0.00642 0
0.00645 0
0.00648 0
0.00651 0
0.00654 0
0.00657 0
0.00660 0
0.00663 0
0.00666 0
0.00669 0
0.00672 0
0.00675 0
0.00678 0
0.00681 0
0.00684 0
0.00687 0
0.00690 0
0.00693 0
0.00696 0
0.00699 0
0.00702 0
0.00705 0
0.00708 0
0.00711 0
0.00714 0
0.00717 0
0.00720 0
0.00723 0
0.00726 0
0.00729 0
0.00732 0
0.00735 0
0.00738 0
0.00741 0
0.00744 0
0.00747 0
0.00750 0
0.00753 0
0.00756 0
0.00759 0
0.00762 0
0.00765 0
0.00768 0
0.00771 0
0.00774 0
0.00777 0
0.00780 0
0.00783 0
0.00786 0
0.00789 0
0.00792 0
0.00795 0
0.00798 0
0.00801 0
0.00804 0
0.00807 0
0.00810 0
0.00813 0
0.00816 0
0.00819 0
0.00822 0
0.00825 0
0.00828 0
0.00831 0
0.00834 0
0.00837 0
0.00840 0
0.00843 0
0.00846 0
0.00849 0
0.00852 0
0.00855 0
0.00858 0
0.00861 0
0.00864 0
0.00867 0
0.00870 0
0.00873 0
0.00876 0
0.00879 0
0.00882 0
0.00885 0
0.00888 0
0.00891 0
0.00894 0
0.00897 0
0.00900 0
0.00903 0
0.00906 0
0.00909 0
0.00912 0
0.00915 0
0.00918 0
0.00921 0
0.00924 0
0.00927 0
0.00930 0
0.00933 0
0.00936 0
0.00939 0
0.00942 0
0.00945 0
0.00948 0
0.00951 0
0.00954 0
0.00957 0
0.00960 0
0.00963 0
0.00966 0
0.00969 0
0.00972 0
0.00975 0
0.00978 0
0.00981 0
0.00984 0
0.00987 0
0.00990 0
0.00993 0
0.00996 0
