# 1D Hubbard model 
# MCLM for L=20, U/t=1.45, n=1/2(quarter filling), m=0, M_L=5*10^3 steps
# Charge conductivity sigma(omega)
# omega/J sigma_c(omega) sigma_c(omega){rescaled} 

0.0000000000000000 226.98324257474169 227.533
5.00000000000000010E-003 78.377042989453429 78.927
1.00000000000000002E-002 1.7639417546264438 2.31394
1.49999999999999994E-002 0.27617513093356338 0.826175
2.00000000000000004E-002 9.70430221074966987E-002 0.647043
2.50000000000000014E-002 3.81494134287718029E-002 0.588149
2.99999999999999989E-002 1.83396803243667146E-002 0.56834
3.50000000000000033E-002 1.19363706257848493E-002 0.561936
4.00000000000000008E-002 8.87240296168799458E-003 0.558872
4.49999999999999983E-002 7.08206832865221868E-003 0.557082
5.00000000000000028E-002 6.73221647065309122E-003 0.556732
5.50000000000000003E-002 7.18995108688871322E-003 0.55719
5.99999999999999978E-002 7.36423956921718192E-003 0.557364
6.50000000000000022E-002 7.73532773050296298E-003 0.557735
7.00000000000000067E-002 8.75774791030063324E-003 0.558758
7.49999999999999972E-002 9.70522756477097508E-003 0.559705
8.00000000000000017E-002 1.06858609681066228E-002 0.560686
8.50000000000000061E-002 1.19809466961088348E-002 0.561981
8.99999999999999967E-002 1.32505553584915791E-002 0.563251
9.50000000000000011E-002 1.46378272938617639E-002 0.564638
0.10000000000000001 1.57942683472805448E-002 0.565794
0.10500000000000000 1.70850432122091715E-002 0.567085
0.11000000000000000 1.91167128533950535E-002 0.569117
0.11500000000000000 2.04902755512908347E-002 0.57049
0.12000000000000000 2.21760491262947487E-002 0.572176
0.12500000000000000 2.58730189878552189E-002 0.575873
0.13000000000000000 2.94264509588055383E-002 0.579426
0.13500000000000001 3.27530133213728425E-002 0.582753
0.14000000000000001 3.55620264752855852E-002 0.585562
0.14499999999999999 3.68597815278968732E-002 0.58686
0.14999999999999999 3.89072498875185080E-002 0.588907
0.15500000000000000 4.17175991559237749E-002 0.591718
0.16000000000000000 4.50086569560935595E-002 0.595009
0.16500000000000001 5.03212175983378460E-002 0.600321
0.17000000000000001 5.49957830545256751E-002 0.604996
0.17500000000000002 5.82791793454172091E-002 0.608279
0.17999999999999999 6.25099465424731326E-002 0.61251
0.18500000000000000 6.56939818030990025E-002 0.615694
0.19000000000000000 7.10142535157789051E-002 0.621014
0.19500000000000001 7.58765562111863023E-002 0.625877
0.20000000000000001 7.55421376840850894E-002 0.625542
0.20500000000000002 7.74744956461417278E-002 0.627474
0.20999999999999999 8.21495363043289600E-002 0.63215
0.21500000000000000 8.67321883280718631E-002 0.636732
0.22000000000000000 8.89904053006493473E-002 0.63899
0.22500000000000001 8.64057394326149808E-002 0.636406
0.23000000000000001 8.91513137470184847E-002 0.639151
0.23500000000000001 9.56429161653791216E-002 0.645643
0.23999999999999999 9.42073416762554960E-002 0.644207
0.24500000000000000 9.46814940979062158E-002 0.644681
0.25000000000000000 9.56617949214854518E-002 0.645662
0.25500000000000000 9.38784249975771201E-002 0.643878
0.26000000000000001 9.61252616368900997E-002 0.646125
0.26500000000000001 9.92353552382307935E-002 0.649235
0.27000000000000002 9.86904322366221748E-002 0.64869
0.27500000000000002 9.74130123996343328E-002 0.647413
0.28000000000000003 9.59883457947512397E-002 0.645988
0.28500000000000003 9.43606358451972993E-002 0.644361
0.28999999999999998 9.19755676052780580E-002 0.641976
0.29499999999999998 9.34337133962046401E-002 0.643434
0.29999999999999999 9.94797458144107555E-002 0.64948
0.30499999999999999 0.10020243893799002 0.650202
0.31000000000000000 0.10292501727494581 0.652925
0.31500000000000000 0.11032986058962112 0.66033
0.32000000000000001 0.10771384496206524 0.657714
0.32500000000000001 0.10743270864781160 0.657433
0.33000000000000002 0.11558725647302026 0.665587
0.33500000000000002 0.11379847193529959 0.663798
0.34000000000000002 0.11386955983841331 0.66387
