# Random-field Heisenberg model
# L=26, J=1, Delta=1.0, W/J=1.5
# CDFs of High-T dc spin conductivities sigma_0
# sigma_0 CDF

0.00498615 0.0000000
0.00700487 0.0204082
0.00718081 0.0408163
0.00735499 0.0612245
0.00920485 0.0816327
0.00970276 0.1020410
0.0103133 0.1224490
0.0103937 0.1428570
0.0104835 0.1632650
0.0113611 0.1836730
0.0116742 0.2040820
0.0122312 0.2244900
0.012401 0.2448980
0.0125955 0.2653060
0.0133864 0.2857140
0.0139131 0.3061220
0.0139531 0.3265310
0.0144518 0.3469390
0.0148618 0.3673470
0.015308 0.3877550
0.0164187 0.4081630
0.0164392 0.4285710
0.016837 0.4489800
0.017057 0.4693880
0.0174817 0.4897960
0.0176244 0.5102040
0.0178099 0.5306120
0.0179099 0.5510200
0.0180535 0.5714290
0.0186536 0.5918370
0.0194081 0.6122450
0.0198848 0.6326530
0.0199563 0.6530610
0.0206934 0.6734690
0.0208848 0.6938780
0.0209443 0.7142860
0.0212928 0.7346940
0.0217283 0.7551020
0.0219968 0.7755100
0.022258 0.7959180
0.0222964 0.8163270
0.0227491 0.8367350
0.0237347 0.8571430
0.024697 0.8775510
0.0280995 0.8979590
0.0300451 0.9183670
0.0323566 0.9387760
0.034225 0.9591840
0.0361368 0.9795920
0.0401766 1.0000000
