# Random-field Heisenberg model
# L=26, J=1, Delta=1.0
# dc spin conductivities sigma_0 - uniform; sigma_pi - extracted
# W/J sigma_0 sigma_pi

0.5 0.163744 5.90370618188726659E-002
1 0.0450832 1.36569848519273382E-002
1.5 0.015308 2.02169100401498620E-003
2 0.00342037 3.05467190330544099E-004
2.5 0.000599084 6.36669927981236964E-005
3 0.000179769 3.78867837934515112E-005
3.5 6.3768e-05 2.11727336235228585E-005
4 3.15501e-05 1.72241228261314032E-005
4.5 2.12166e-05 1.98349674080705318E-005
5 2.03247e-05 1.51463791960289455E-005
5.5 1.31222e-05 2.16231606358790215E-005
6 1.09663e-05 1.48576094666093742E-005
