# Random-field Heisenberg model
# L=26, J=1, Delta=1.0, W=3.0, R=0.0
# Conductivity sigma(omega)
# omega/J sigma(omega)

0.000000 0.001606
0.000050 0.001613
0.000100 0.001632
0.000150 0.001662
0.000200 0.001698
0.000250 0.001733
0.000300 0.001762
0.000350 0.001778
0.000400 0.001780
0.000450 0.001769
0.000500 0.001752
0.000550 0.001734
0.000600 0.001722
0.000650 0.001721
0.000700 0.001733
0.000750 0.001760
0.000800 0.001800
0.000850 0.001848
0.000900 0.001898
0.000950 0.001943
0.001000 0.001974
0.001050 0.001987
0.001100 0.001983
0.001150 0.001964
0.001200 0.001940
0.001250 0.001919
0.001300 0.001906
0.001350 0.001908
0.001400 0.001925
0.001450 0.001958
0.001500 0.002002
0.001550 0.002050
0.001600 0.002096
0.001650 0.002130
0.001700 0.002146
0.001750 0.002143
0.001800 0.002126
0.001850 0.002102
0.001900 0.002079
0.001950 0.002067
0.002000 0.002070
0.002050 0.002090
0.002100 0.002127
0.002150 0.002178
0.002200 0.002235
0.002250 0.002290
0.002300 0.002331
0.002350 0.002353
0.002400 0.002351
0.002450 0.002330
0.002500 0.002298
0.002550 0.002264
0.002600 0.002239
0.002650 0.002229
0.002700 0.002237
0.002750 0.002263
0.002800 0.002302
0.002850 0.002348
0.002900 0.002392
0.002950 0.002422
0.003000 0.002432
0.003050 0.002420
0.003100 0.002389
0.003150 0.002348
0.003200 0.002308
0.003250 0.002279
0.003300 0.002266
0.003350 0.002273
0.003400 0.002300
0.003450 0.002345
0.003500 0.002401
0.003550 0.002460
0.003600 0.002510
0.003650 0.002542
0.003700 0.002552
0.003750 0.002539
0.003800 0.002512
0.003850 0.002480
0.003900 0.002454
0.003950 0.002443
0.004000 0.002452
0.004050 0.002481
0.004100 0.002529
0.004150 0.002587
0.004200 0.002647
0.004250 0.002696
0.004300 0.002724
0.004350 0.002725
0.004400 0.002700
0.004450 0.002656
0.004500 0.002606
0.004550 0.002561
0.004600 0.002531
0.004650 0.002521
0.004700 0.002535
0.004750 0.002571
0.004800 0.002625
0.004850 0.002688
0.004900 0.002748
0.004950 0.002796
0.005000 0.002820
0.005050 0.002819
0.005100 0.002797
0.005150 0.002762
0.005200 0.002727
0.005250 0.002704
0.005300 0.002700
0.005350 0.002720
0.005400 0.002763
0.005450 0.002826
0.005500 0.002899
0.005550 0.002972
0.005600 0.003031
0.005650 0.003064
0.005700 0.003066
0.005750 0.003041
0.005800 0.002998
0.005850 0.002951
0.005900 0.002914
0.005950 0.002895
0.006000 0.002901
0.006050 0.002931
0.006100 0.002982
0.006150 0.003046
0.006200 0.003109
0.006250 0.003159
0.006300 0.003182
0.006350 0.003174
0.006400 0.003138
0.006450 0.003086
0.006500 0.003030
0.006550 0.002985
0.006600 0.002960
0.006650 0.002962
0.006700 0.002991
0.006750 0.003044
0.006800 0.003114
0.006850 0.003190
0.006900 0.003255
0.006950 0.003298
0.007000 0.003309
0.007050 0.003288
0.007100 0.003244
0.007150 0.003190
0.007200 0.003141
0.007250 0.003109
0.007300 0.003102
0.007350 0.003121
0.007400 0.003165
0.007450 0.003226
0.007500 0.003292
0.007550 0.003347
0.007600 0.003380
0.007650 0.003380
0.007700 0.003348
0.007750 0.003293
0.007800 0.003229
0.007850 0.003171
0.007900 0.003131
0.007950 0.003116
0.008000 0.003130
0.008050 0.003171
0.008100 0.003232
0.008150 0.003303
0.008200 0.003368
0.008250 0.003414
0.008300 0.003429
0.008350 0.003411
0.008400 0.003366
0.008450 0.003307
0.008500 0.003249
0.008550 0.003205
0.008600 0.003186
0.008650 0.003195
0.008700 0.003230
0.008750 0.003288
0.008800 0.003356
0.008850 0.003420
0.008900 0.003466
0.008950 0.003482
0.009000 0.003464
0.009050 0.003420
0.009100 0.003361
0.009150 0.003303
0.009200 0.003259
0.009250 0.003240
