# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=0.9
# CDF of level statistics r_S
# r_S CDF
5.157777393300000401e-01 2.500000000000000052e-04
5.163344855300000535e-01 5.000000000000000104e-04
5.169299592699999613e-01 7.500000000000000156e-04
5.172397930900000107e-01 1.000000000000000021e-03
5.173430809700000355e-01 1.250000000000000026e-03
5.174223406200000319e-01 1.500000000000000031e-03
5.175067528600000299e-01 1.750000000000000036e-03
5.178894669400000428e-01 2.000000000000000042e-03
5.179698704499999806e-01 2.250000000000000264e-03
5.179710084999999964e-01 2.500000000000000486e-03
5.180090766099999522e-01 2.749999999999999840e-03
5.182398812899999818e-01 3.000000000000000062e-03
5.182688232000000061e-01 3.250000000000000284e-03
5.184600915000000532e-01 3.500000000000000507e-03
5.185268686599999732e-01 3.749999999999999861e-03
5.185926278000000389e-01 4.000000000000000083e-03
5.186493637200000340e-01 4.250000000000000305e-03
5.186674796300000390e-01 4.500000000000000527e-03
5.190336718300000429e-01 4.750000000000000749e-03
5.190357674700000201e-01 5.000000000000000104e-03
5.193196545399999531e-01 5.250000000000000326e-03
5.194372391499999519e-01 5.500000000000000548e-03
5.194740868599999617e-01 5.749999999999999903e-03
5.196337443799999845e-01 6.000000000000000125e-03
5.197481904299999789e-01 6.250000000000000347e-03
5.197509076899999858e-01 6.500000000000000569e-03
5.197859297500000419e-01 6.750000000000000791e-03
5.198005229300000085e-01 7.000000000000000146e-03
5.198106171099999839e-01 7.250000000000000368e-03
5.199036855999999984e-01 7.500000000000000590e-03
5.199095048199999791e-01 7.749999999999999944e-03
5.199554136399999749e-01 8.000000000000000167e-03
5.200461259499999933e-01 8.250000000000000389e-03
5.201031330700000010e-01 8.500000000000000611e-03
5.201589086100000259e-01 8.750000000000000833e-03
5.203284125499999524e-01 9.000000000000001055e-03
5.204017511399999796e-01 9.250000000000001277e-03
5.204862940200000176e-01 9.499999999999999764e-03
5.205320658900000064e-01 9.749999999999999986e-03
