# Fitting to data1.dat with error function
# r_S CDF(fit)
5.157777393300000401e-01 2.571875053649086418e-04
5.163344855300000535e-01 4.164391467262329449e-04
5.169299592699999613e-01 6.848634672666498169e-04
5.172397930900000107e-01 8.807193312512229255e-04
5.173430809700000355e-01 9.566858130711231034e-04
5.174223406200000319e-01 1.019010499931582991e-03
5.175067528600000299e-01 1.089466258532456600e-03
5.178894669400000428e-01 1.468381125834306022e-03
5.179698704499999806e-01 1.561895656552847456e-03
5.179710084999999964e-01 1.563257402634354865e-03
5.180090766099999522e-01 1.609436583742129834e-03
5.182398812899999818e-01 1.917046163600666375e-03
5.182688232000000061e-01 1.959174236474792163e-03
5.184600915000000532e-01 2.259384329758140630e-03
5.185268686599999732e-01 2.373635597524181851e-03
5.185926278000000389e-01 2.491229975395803375e-03
5.186493637200000340e-01 2.596894704980590163e-03
5.186674796300000390e-01 2.631476875235572166e-03
5.190336718300000429e-01 3.425792132442040394e-03
5.190357674700000201e-01 3.430899609906667980e-03
5.193196545399999531e-01 4.189392477717157615e-03
5.194372391499999519e-01 4.545219816174450589e-03
5.194740868599999617e-01 4.662150679637766526e-03
5.196337443799999845e-01 5.200397369671538872e-03
5.197481904299999789e-01 5.619562524477650367e-03
5.197509076899999858e-01 5.629869230416195691e-03
5.197859297500000419e-01 5.764220001924835746e-03
5.198005229300000085e-01 5.821036677182422903e-03
5.198106171099999839e-01 5.860627236409676755e-03
5.199036855999999984e-01 6.237054931136909453e-03
5.199095048199999791e-01 6.261287410491145344e-03
5.199554136399999749e-01 6.455402830025880334e-03
5.200461259499999933e-01 6.854673913240738603e-03
5.201031330700000010e-01 7.116611357432522933e-03
5.201589086100000259e-01 7.381396884813595793e-03
5.203284125499999524e-01 8.240122352390299998e-03
5.204017511399999796e-01 8.638080463948760723e-03
5.204862940200000176e-01 9.117666529697643352e-03
5.205320658900000064e-01 9.386920286086675169e-03
5.205613198299999800e-01 9.562627679639501554e-03
5.205682260499999714e-01 9.604525479394887544e-03
5.205885580000000346e-01 9.728805715362665030e-03
5.205941204899999786e-01 9.763050592714928033e-03
5.207215568299999875e-01 1.057695910251871263e-02
5.207478079399999737e-01 1.075177568271284967e-02
5.208126777599999535e-01 1.119459712257675488e-02
5.208302010799999993e-01 1.131690371893273594e-02
5.208824120999999696e-01 1.168822785823181443e-02
5.209460270300000362e-01 1.215491159238224483e-02
5.209513855599999799e-01 1.219494971155060670e-02
5.209871829200000137e-01 1.246536585684343557e-02
5.209964052700000181e-01 1.253586776472453979e-02
5.210448354800000237e-01 1.291179483786941695e-02
5.210733904400000061e-01 1.313798284316985976e-02
5.210781865400000434e-01 1.317630740816588819e-02
5.210892882300000029e-01 1.326538931204884753e-02
5.211146391900000063e-01 1.347076241461031554e-02
5.211484538799999733e-01 1.374897054636547988e-02
5.211935868999999499e-01 1.412801233899624309e-02
5.212132715799999705e-01 1.429613023125958504e-02
5.212518605399999450e-01 1.463070519474052311e-02
5.212543704800000066e-01 1.465269840374999744e-02
5.213009333200000484e-01 1.506589104559002967e-02
5.213013592199999824e-01 1.506971617324043278e-02
5.213187991400000110e-01 1.522706742244989142e-02
5.213591769700000045e-01 1.559680054986650743e-02
5.213597362299999816e-01 1.560197522122402924e-02
5.213730694899999518e-01 1.572578099598004320e-02
5.214043999399999851e-01 1.602002036110572458e-02
5.214158987600000517e-01 1.612918884366942862e-02
5.214202237899999703e-01 1.617041484035292020e-02
5.214302701699999876e-01 1.626652504615405670e-02
5.214411301200000404e-01 1.637096831942586039e-02
5.214411929200000184e-01 1.637157395120003578e-02
5.214802585000000157e-01 1.675205236976728962e-02
5.215654361499999503e-01 1.760793493611234606e-02
5.215887733299999773e-01 1.784884579592171949e-02
5.216236121299999695e-01 1.821371707040975174e-02
5.216637317100000226e-01 1.864175059466621764e-02
5.217713253000000329e-01 1.983214775251168627e-02
5.217822440399999540e-01 1.995647942039896483e-02
5.217885103499999566e-01 2.002813209750586854e-02
5.217893261299999530e-01 2.003747624134355476e-02
5.217935605300000335e-01 2.008603753064563957e-02
5.218533408200000112e-01 2.078233602710466421e-02
5.219020756200000166e-01 2.136500303773369858e-02
5.219753559699999990e-01 2.226709793962883266e-02
5.219815898399999821e-01 2.234529976239862936e-02
5.220404084499999930e-01 2.309463018579260840e-02
5.220476292500000337e-01 2.318806268103129620e-02
5.220482983299999935e-01 2.319673623150853015e-02
5.220518817499999464e-01 2.324323603132028015e-02
5.220750165699999945e-01 2.354533434625122323e-02
5.220864168300000108e-01 2.369541145855230679e-02
5.220952010199999549e-01 2.381159764496687536e-02
5.221037614100000335e-01 2.392528409033406467e-02
5.221143569099999659e-01 2.406662927142694253e-02
5.221451050300000007e-01 2.448079036529882124e-02
5.222005615600000539e-01 2.524288705330962612e-02
5.222113397099999998e-01 2.539328693607129095e-02
5.222186755500000110e-01 2.549608103411465931e-02
5.222226338000000023e-01 2.555169094962694842e-02
5.222306520699999677e-01 2.566465183931587735e-02
5.222440860699999465e-01 2.585484604000026776e-02
5.222451183399999808e-01 2.586950925045344851e-02
5.222461154899999958e-01 2.588368019423392674e-02
5.222514352599999521e-01 2.595939162136184919e-02
5.222800807399999856e-01 2.637026816496040871e-02
5.223200852899999580e-01 2.695315739066167504e-02
5.223215491399999522e-01 2.697468888541598719e-02
5.223360878899999671e-01 2.718931705287908063e-02
5.223921402000000214e-01 2.803016755800885607e-02
5.224067831499999981e-01 2.825336214564699855e-02
5.224081141799999939e-01 2.827372345853434998e-02
5.224164369499999516e-01 2.840131741461715542e-02
5.224487991899999795e-01 2.890201554048676957e-02
5.224561561099999585e-01 2.901685718933616487e-02
5.224608132400000438e-01 2.908975087980886221e-02
5.224612653200000345e-01 2.909683495859732849e-02
5.224626753900000198e-01 2.911893991741709709e-02
5.224636712300000374e-01 2.913455960529925948e-02
5.224967999799999818e-01 2.965816285557815180e-02
5.225032301199999951e-01 2.976069148865134739e-02
5.225128044500000346e-01 2.991389903647018178e-02
5.225164401199999809e-01 2.997224780015367296e-02
5.225226175699999587e-01 3.007160593542085314e-02
5.225248501000000489e-01 3.010758107415822948e-02
5.225331755600000072e-01 3.024205286589964903e-02
5.225802167499999928e-01 3.101124004489513863e-02
5.226221513700000099e-01 3.171050914691520006e-02
5.226275539700000472e-01 3.180153881370995084e-02
5.226362202800000079e-01 3.194801030066557468e-02
5.226545363800000343e-01 3.225940876100502619e-02
5.226584596900000212e-01 3.232643505905813397e-02
5.226599842900000459e-01 3.235251249568682486e-02
5.226641489900000215e-01 3.242383586302333143e-02
5.226949821799999896e-01 3.295592057983148804e-02
5.226953692900000448e-01 3.296264635926160480e-02
5.227109850100000177e-01 3.323490377763049786e-02
5.227146276699999872e-01 3.329867864916663533e-02
5.227177471699999689e-01 3.335337423525408518e-02
5.227249765899999456e-01 3.348041531650614022e-02
5.227599563999999477e-01 3.410074714935101836e-02
5.227645606199999850e-01 3.418309773242261818e-02
5.227784936699999552e-01 3.443329920603366290e-02
5.227845679300000548e-01 3.454284719133554615e-02
5.228433338800000385e-01 3.561753153818558726e-02
5.228447176799999596e-01 3.564316441726289586e-02
5.228548271799999814e-01 3.583088724401917169e-02
5.228785760599999888e-01 3.627506703491178985e-02
5.228788948600000541e-01 3.628106013329640556e-02
5.228990806500000144e-01 3.666218494713319176e-02
5.229053121900000267e-01 3.678050109541824986e-02
5.229056520899999505e-01 3.678696363224592814e-02
5.229241786799999625e-01 3.714061779558552878e-02
5.229304334600000104e-01 3.726064083292845996e-02
5.229467479299999555e-01 3.757519115805257881e-02
5.229897408200000486e-01 3.841450917446465052e-02
5.230104405100000076e-01 3.882403019359836893e-02
5.230130495300000515e-01 3.887589824983200826e-02
5.230294755300000098e-01 3.920374926805003657e-02
5.230359163100000153e-01 3.933291518976828050e-02
5.230426170499999916e-01 3.946766176005045423e-02
5.230559260699999546e-01 3.973640919560739171e-02
5.230905858400000108e-01 4.044327749120091298e-02
5.231233917399999989e-01 4.112170919673624470e-02
5.231576827799999663e-01 4.184068831325371551e-02
5.231628258999999614e-01 4.194939656865226407e-02
5.231709428599999878e-01 4.212142689324599454e-02
5.231889417899999728e-01 4.250493200499433355e-02
5.231896975900000024e-01 4.252109749015442475e-02
5.231946286199999907e-01 4.262668726805945996e-02
5.231951384499999858e-01 4.263761650872927023e-02
5.232085121399999705e-01 4.292511878340971032e-02
5.232086157899999979e-01 4.292735311232376283e-02
5.232244573600000059e-01 4.326994791559718445e-02
5.232328039300000455e-01 4.345133964683567385e-02
5.232375202900000355e-01 4.355410900866196755e-02
5.232391539999999841e-01 4.358975322042141221e-02
5.232457974799999967e-01 4.373494295749791316e-02
5.232507485799999802e-01 4.384340017098009579e-02
5.232513330700000465e-01 4.385621812766932193e-02
5.232708257499999460e-01 4.428542983798522403e-02
5.232748981499999452e-01 4.437552666942906621e-02
5.232910483599999552e-01 4.473428555584352262e-02
5.232997067000000335e-01 4.492758053243101068e-02
5.233252841000000100e-01 4.550251793673126821e-02
5.233325402799999804e-01 4.566669769929249112e-02
5.233393145700000471e-01 4.582040361981898346e-02
5.233492548699999469e-01 4.604669737986621936e-02
5.233693745299999867e-01 4.650747446331404689e-02
5.233824213900000188e-01 4.680824436609487549e-02
5.234085885500000535e-01 4.741617929550712152e-02
5.234170984699999529e-01 4.761524583641091324e-02
5.234320103799999790e-01 4.796568329843864387e-02
5.234345371999999941e-01 4.802526888691294182e-02
5.234531774299999718e-01 4.846666139358341008e-02
5.234762378899999735e-01 4.901720572344442362e-02
5.235086544599999447e-01 4.979955224912496758e-02
5.235207970399999855e-01 5.009515505667994084e-02
5.235404160200000101e-01 5.057572013521638432e-02
5.235559568800000063e-01 5.095899272385451262e-02
5.235559968099999795e-01 5.095998045708383106e-02
5.235603315600000363e-01 5.106729817881455746e-02
5.235743819100000529e-01 5.141638699542822044e-02
5.235746671700000077e-01 5.142349404883239661e-02
5.235998185400000393e-01 5.205320029728899289e-02
5.236016437799999590e-01 5.209913557541989704e-02
5.236046090499999472e-01 5.217383029631672553e-02
5.236086652200000469e-01 5.227614235037891799e-02
5.236109270400000071e-01 5.233326321756076593e-02
5.236289135999999678e-01 5.278926851906484696e-02
5.236343267799999923e-01 5.292712187597703455e-02
5.236498417499999558e-01 5.332381223022020222e-02
5.236525419199999920e-01 5.339309093663952011e-02
5.236555276500000078e-01 5.346977932609520145e-02
5.236615313900000457e-01 5.362424939694665493e-02
5.236894717800000265e-01 5.434778274511375962e-02
5.237000252400000333e-01 5.462307214650646836e-02
5.237149164200000095e-01 5.501338612623152269e-02
5.237176613399999736e-01 5.508557342581760219e-02
5.237203419999999499e-01 5.515614299154053546e-02
5.237295549299999520e-01 5.539922209015918364e-02
5.237361468600000292e-01 5.557366582033007596e-02
5.237372488099999446e-01 5.560286922526874731e-02
5.237502563999999472e-01 5.594850689360236773e-02
5.237543003600000358e-01 5.605630766792946140e-02
5.237657147299999982e-01 5.636146702675359776e-02
5.237669869800000155e-01 5.639556115830768324e-02
5.237687911199999657e-01 5.644393690324167601e-02
5.237777572999999798e-01 5.668483905625532060e-02
5.237784178100000076e-01 5.670261753537353400e-02
5.237839164399999969e-01 5.685079079830968052e-02
5.237882062800000016e-01 5.696660204287573581e-02
5.238078632099999465e-01 5.749965043859284197e-02
5.238134700200000049e-01 5.765241055538061765e-02
5.238179338899999760e-01 5.777425879524250574e-02
5.238233287700000407e-01 5.792179051471574303e-02
5.238394926399999596e-01 5.836559088072212909e-02
5.238401585299999885e-01 5.838393088749443960e-02
5.238415286900000023e-01 5.842168220434451609e-02
5.238536138499999550e-01 5.875548918564199585e-02
5.238538941899999468e-01 5.876325024921635887e-02
5.238648479099999866e-01 5.906712853028367460e-02
5.238676724299999865e-01 5.914568597609781708e-02
5.238701049699999723e-01 5.921340706509869989e-02
5.238773375199999860e-01 5.941511801593080122e-02
5.238924769099999601e-01 5.983908899746215315e-02
5.238951674599999775e-01 5.991468389777510062e-02
5.239146850200000483e-01 6.046529942432848914e-02
5.239152029200000449e-01 6.047996379549480661e-02
5.239305137499999931e-01 6.091474934454710333e-02
5.239307502600000221e-01 6.092148469496128094e-02
5.239336171699999767e-01 6.100317509688490958e-02
5.239431360699999818e-01 6.127502310745175373e-02
5.239580137199999488e-01 6.170180507396888503e-02
5.239943667499999957e-01 6.275439558336937118e-02
5.240065190199999501e-01 6.310936452781590322e-02
5.240234953700000364e-01 6.360786094860337858e-02
5.240235519100000516e-01 6.360952630298982724e-02
5.240235542200000207e-01 6.360959434348090191e-02
5.240327570099999610e-01 6.388111009745667257e-02
5.240450367400000253e-01 6.424480951485200819e-02
5.240476967699999600e-01 6.432380559684236498e-02
5.240480464400000260e-01 6.433419551193897412e-02
5.240487198700000127e-01 6.435420914010503424e-02
5.240697833199999822e-01 6.498263805494480794e-02
5.240722311600000127e-01 6.505597735551438277e-02
