# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=4.5
# CDF of level statistics r_S
# r_S CDF
3.681496339600000001e-01 2.500000000000000052e-04
3.726900827999999888e-01 5.000000000000000104e-04
3.730201103699999909e-01 7.500000000000000156e-04
3.731567844600000017e-01 1.000000000000000021e-03
3.732154321300000244e-01 1.250000000000000026e-03
3.733133710000000050e-01 1.500000000000000031e-03
3.734227821000000169e-01 1.750000000000000036e-03
3.734706386600000205e-01 2.000000000000000042e-03
3.734788944299999858e-01 2.250000000000000264e-03
3.738527636799999776e-01 2.500000000000000486e-03
3.738816366400000146e-01 2.749999999999999840e-03
3.739323649399999838e-01 3.000000000000000062e-03
3.743747874900000272e-01 3.250000000000000284e-03
3.744278348499999742e-01 3.500000000000000507e-03
3.746924543999999857e-01 3.749999999999999861e-03
3.746977256499999798e-01 4.000000000000000083e-03
3.747240521399999857e-01 4.250000000000000305e-03
3.748703276400000006e-01 4.500000000000000527e-03
3.749310491000000245e-01 4.750000000000000749e-03
3.749818661000000053e-01 5.000000000000000104e-03
3.751617460800000248e-01 5.250000000000000326e-03
3.751788666199999955e-01 5.500000000000000548e-03
3.752357527699999862e-01 5.749999999999999903e-03
3.753286185399999919e-01 6.000000000000000125e-03
3.753407955899999981e-01 6.250000000000000347e-03
3.753892301499999751e-01 6.500000000000000569e-03
3.753901315100000025e-01 6.750000000000000791e-03
3.754059345199999842e-01 7.000000000000000146e-03
3.754175011900000025e-01 7.250000000000000368e-03
3.754476267099999820e-01 7.500000000000000590e-03
3.755219579999999890e-01 7.749999999999999944e-03
3.755946015000000138e-01 8.000000000000000167e-03
3.756493365599999912e-01 8.250000000000000389e-03
3.756603137399999737e-01 8.500000000000000611e-03
3.757467974099999997e-01 8.750000000000000833e-03
3.759007162399999880e-01 9.000000000000001055e-03
3.759963270700000249e-01 9.250000000000001277e-03
3.759994811499999812e-01 9.499999999999999764e-03
3.760463772200000054e-01 9.749999999999999986e-03
3.760556423199999942e-01 1.000000000000000021e-02
3.760873528399999999e-01 1.025000000000000043e-02
3.762357639600000248e-01 1.050000000000000065e-02
3.762369038100000229e-01 1.075000000000000087e-02
3.762393062400000154e-01 1.100000000000000110e-02
3.762424404999999972e-01 1.124999999999999958e-02
3.762730425699999937e-01 1.149999999999999981e-02
3.763387660499999954e-01 1.175000000000000003e-02
3.763494626500000217e-01 1.200000000000000025e-02
3.763844331100000273e-01 1.225000000000000047e-02
3.764385360199999919e-01 1.250000000000000069e-02
3.764606531799999933e-01 1.275000000000000092e-02
3.766140538800000215e-01 1.300000000000000114e-02
3.766187633399999957e-01 1.325000000000000136e-02
