# Fitting to data1.dat with error function
# r_S CDF(fit)
3.681496339600000001e-01 1.476199709737890942e-05
3.726900827999999888e-01 7.972948560090453718e-04
3.730201103699999909e-01 1.025523686912943599e-03
3.731567844600000017e-01 1.136499024257053847e-03
3.732154321300000244e-01 1.187408829264324783e-03
3.733133710000000050e-01 1.277100411115728029e-03
3.734227821000000169e-01 1.384595589504156177e-03
3.734706386600000205e-01 1.434161729702787547e-03
3.734788944299999858e-01 1.442874455389431265e-03
3.738527636799999776e-01 1.891889187160822328e-03
3.738816366400000146e-01 1.931366349291974149e-03
3.739323649399999838e-01 2.002542238121129969e-03
3.743747874900000272e-01 2.731776425667686858e-03
3.744278348499999742e-01 2.833672076203552770e-03
3.746924543999999857e-01 3.394985926884530603e-03
3.746977256499999798e-01 3.407117610110754757e-03
3.747240521399999857e-01 3.468292606707112924e-03
3.748703276400000006e-01 3.826512883839283674e-03
3.749310491000000245e-01 3.984712219064157068e-03
3.749818661000000053e-01 4.121582203340357076e-03
3.751617460800000248e-01 4.640499130467434785e-03
3.751788666199999955e-01 4.692805448251902156e-03
3.752357527699999862e-01 4.870400358881976643e-03
3.753286185399999919e-01 5.173216672026637042e-03
3.753407955899999981e-01 5.214141471667932404e-03
3.753892301499999751e-01 5.379786934121721931e-03
3.753901315100000025e-01 5.382913419149815137e-03
3.754059345199999842e-01 5.437991267279562724e-03
3.754175011900000025e-01 5.478621197049282632e-03
3.754476267099999820e-01 5.585711272183713216e-03
3.755219579999999890e-01 5.857936282644526926e-03
3.755946015000000138e-01 6.135285981601346084e-03
3.756493365599999912e-01 6.351884551963948855e-03
3.756603137399999737e-01 6.396129599216593409e-03
3.757467974099999997e-01 6.754358576747387932e-03
3.759007162399999880e-01 7.435944076336631348e-03
3.759963270700000249e-01 7.889216942538912480e-03
3.759994811499999812e-01 7.904575220178344797e-03
3.760463772200000054e-01 8.136049741912176891e-03
3.760556423199999942e-01 8.182479605942871714e-03
3.760873528399999999e-01 8.343155870406238073e-03
3.762357639600000248e-01 9.132528291766528472e-03
3.762369038100000229e-01 9.138835716237247997e-03
3.762393062400000154e-01 9.152142190015866152e-03
3.762424404999999972e-01 9.169527588387460515e-03
3.762730425699999937e-01 9.340798767741742559e-03
3.763387660499999954e-01 9.718120597311696862e-03
3.763494626500000217e-01 9.780774119562185565e-03
3.763844331100000273e-01 9.988076621550712186e-03
3.764385360199999919e-01 1.031635197952945893e-02
3.764606531799999933e-01 1.045323571412126729e-02
3.766140538800000215e-01 1.144693686587860970e-02
3.766187633399999957e-01 1.147870008984652745e-02
3.766666685400000270e-01 1.180617391476246336e-02
3.766805253300000156e-01 1.190239605092024977e-02
3.766937414800000106e-01 1.199480264488911319e-02
3.767598600500000061e-01 1.246649977851321811e-02
3.767751128199999799e-01 1.257756741316301552e-02
3.767990218500000266e-01 1.275339187854768186e-02
3.768383424499999745e-01 1.304717666021465439e-02
3.768778944799999753e-01 1.334857418688190078e-02
3.768803210600000231e-01 1.336725960658774470e-02
3.768921418200000262e-01 1.345860649845287416e-02
3.770200437899999812e-01 1.448195301421845160e-02
3.771160805500000102e-01 1.529373525679261769e-02
3.771246752199999830e-01 1.536825383759077290e-02
3.771894182000000151e-01 1.593968139697071740e-02
3.772150673099999851e-01 1.617104926934809228e-02
3.772431648999999831e-01 1.642780030936458191e-02
3.772562794200000069e-01 1.654882834130305680e-02
3.772845859300000271e-01 1.681265990310931713e-02
3.773167221100000024e-01 1.711653858499012637e-02
3.773712898500000135e-01 1.764328293609196407e-02
3.774146415399999843e-01 1.807156180271940471e-02
3.774477914800000167e-01 1.840500671503303431e-02
3.774597540799999873e-01 1.852661474101230388e-02
3.774884915100000238e-01 1.882154924729934065e-02
3.774896203600000000e-01 1.883321580714059085e-02
3.775123200900000198e-01 1.906912448443576213e-02
3.775727014699999939e-01 1.970890610139425236e-02
3.776020113599999894e-01 2.002597691209051511e-02
3.776036262199999882e-01 2.004357132611761516e-02
3.776127988299999849e-01 2.014375878697793887e-02
3.776154920099999979e-01 2.017325546559939342e-02
3.776632757899999748e-01 2.070272128183930915e-02
3.776713022100000039e-01 2.079280213807149780e-02
3.777218717699999950e-01 2.136801118982201153e-02
3.777263649000000001e-01 2.141976341591644850e-02
3.777295949800000274e-01 2.145703316847730191e-02
3.777356348099999983e-01 2.152686985722984669e-02
3.777451853300000106e-01 2.163769159252360019e-02
3.777731441800000201e-01 2.196489369106785494e-02
3.777794942400000133e-01 2.203978772898029792e-02
3.777823420399999965e-01 2.207344527467208772e-02
