# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=1.2
# CDF of level statistics r_S
# r_S CDF
4.572738028500000218e-01 2.500000000000000052e-04
4.645434727600000202e-01 5.000000000000000104e-04
4.671148649899999894e-01 7.500000000000000156e-04
4.681254680199999907e-01 1.000000000000000021e-03
4.685320226299999891e-01 1.250000000000000026e-03
4.686435630499999894e-01 1.500000000000000031e-03
4.690400992200000063e-01 1.750000000000000036e-03
4.701868291499999852e-01 2.000000000000000042e-03
4.708847271200000129e-01 2.250000000000000264e-03
4.711498211799999836e-01 2.500000000000000486e-03
4.712439834100000113e-01 2.749999999999999840e-03
4.712678610500000143e-01 3.000000000000000062e-03
4.717165472200000043e-01 3.250000000000000284e-03
4.717972026000000207e-01 3.500000000000000507e-03
4.726600738999999773e-01 3.749999999999999861e-03
4.730637527600000114e-01 4.000000000000000083e-03
4.740886392599999999e-01 4.250000000000000305e-03
4.760728724100000142e-01 4.500000000000000527e-03
4.774259374600000050e-01 4.750000000000000749e-03
4.778819921899999934e-01 5.000000000000000104e-03
4.779948064799999785e-01 5.250000000000000326e-03
4.782246993900000076e-01 5.500000000000000548e-03
4.786811139000000104e-01 5.749999999999999903e-03
4.787141903600000137e-01 6.000000000000000125e-03
4.791219979199999868e-01 6.250000000000000347e-03
4.797111277200000190e-01 6.500000000000000569e-03
4.798373439899999982e-01 6.750000000000000791e-03
4.801149694299999826e-01 7.000000000000000146e-03
4.801978403700000175e-01 7.250000000000000368e-03
4.806855954099999995e-01 7.500000000000000590e-03
4.807165742999999769e-01 7.749999999999999944e-03
4.807506671699999790e-01 8.000000000000000167e-03
4.808381194699999917e-01 8.250000000000000389e-03
4.809536639599999996e-01 8.500000000000000611e-03
4.813377518999999993e-01 8.750000000000000833e-03
4.815115035199999949e-01 9.000000000000001055e-03
4.817212681899999960e-01 9.250000000000001277e-03
4.817568262199999896e-01 9.499999999999999764e-03
4.818037464700000161e-01 9.749999999999999986e-03
4.819669464099999856e-01 1.000000000000000021e-02
4.820234184300000169e-01 1.025000000000000043e-02
4.820362843200000080e-01 1.050000000000000065e-02
4.822249445399999779e-01 1.075000000000000087e-02
4.822631298699999736e-01 1.100000000000000110e-02
4.823423519100000223e-01 1.124999999999999958e-02
4.824267373300000217e-01 1.149999999999999981e-02
4.826211459099999934e-01 1.175000000000000003e-02
4.829232596999999960e-01 1.200000000000000025e-02
4.831720084500000234e-01 1.225000000000000047e-02
4.834070098100000101e-01 1.250000000000000069e-02
4.835550619899999791e-01 1.275000000000000092e-02
4.839764116799999960e-01 1.300000000000000114e-02
4.841746583900000123e-01 1.325000000000000136e-02
4.843300237800000074e-01 1.349999999999999985e-02
4.845095244400000056e-01 1.375000000000000007e-02
4.845364519199999997e-01 1.400000000000000029e-02
4.846432880700000112e-01 1.425000000000000051e-02
4.846915309800000071e-01 1.450000000000000074e-02
4.849844569299999741e-01 1.475000000000000096e-02
4.851145804700000008e-01 1.500000000000000118e-02
4.851153258400000001e-01 1.524999999999999967e-02
4.854764856200000089e-01 1.549999999999999989e-02
4.856907636400000228e-01 1.575000000000000011e-02
4.858275637500000244e-01 1.600000000000000033e-02
4.858304537500000020e-01 1.625000000000000056e-02
4.858324266399999813e-01 1.650000000000000078e-02
4.859545017499999897e-01 1.675000000000000100e-02
4.859982654100000188e-01 1.700000000000000122e-02
4.860423681000000107e-01 1.725000000000000144e-02
4.860850930699999739e-01 1.750000000000000167e-02
4.864401667500000137e-01 1.775000000000000189e-02
4.869274657000000062e-01 1.800000000000000211e-02
