# Fitting to data3.dat with error function
# r_S CDF(fit)
3.939176370699999929e-01 9.005151766259600343e-03
3.984880471100000210e-01 1.273171663067917958e-02
4.007994040000000258e-01 1.507954991264803812e-02
4.010615258999999932e-01 1.536794724453377503e-02
4.019308345700000062e-01 1.635853920464214184e-02
4.024803224899999865e-01 1.701249439978386180e-02
4.039912561699999793e-01 1.892698418652039027e-02
4.039925148499999841e-01 1.892865246511105104e-02
4.041915853199999908e-01 1.919408328468230618e-02
4.049385357399999941e-01 2.021841457241135842e-02
4.051843427399999809e-01 2.056548186895851282e-02
4.052658837600000008e-01 2.068172296211717720e-02
4.053412412599999848e-01 2.078964339314270937e-02
4.056022763400000120e-01 2.116716869674756252e-02
4.058010899999999754e-01 2.145858162038566386e-02
4.062753727899999778e-01 2.216748740578111665e-02
4.063925161199999914e-01 2.234559269569219575e-02
4.064223399999999931e-01 2.239112936432774426e-02
4.066020261000000136e-01 2.266714295493604814e-02
4.069130820599999865e-01 2.315173131857140021e-02
4.074328745299999888e-01 2.398096498054763659e-02
4.074882250599999867e-01 2.407071909405528176e-02
4.077512930300000171e-01 2.450116641702548836e-02
4.081079899699999736e-01 2.509511809710435193e-02
4.082289126099999943e-01 2.529919128409197082e-02
4.085069034200000115e-01 2.577361479425843704e-02
4.085846695600000023e-01 2.590765680645823466e-02
4.086074889099999830e-01 2.594710000555694451e-02
4.086829135699999727e-01 2.607782899094457374e-02
4.086881912099999958e-01 2.608699698845751147e-02
4.088879690100000186e-01 2.643602635287495284e-02
4.089016442399999729e-01 2.646006021860569657e-02
4.091944497500000222e-01 2.697905513931170285e-02
4.092057997099999844e-01 2.699934269864689984e-02
4.093218873600000252e-01 2.720757639714477261e-02
4.094725185299999959e-01 2.747976853526107321e-02
4.097481544100000095e-01 2.798372403887955384e-02
4.099841006800000187e-01 2.842120621094351707e-02
4.100126082800000238e-01 2.847444712982971637e-02
4.100500676700000180e-01 2.854453257670963584e-02
4.101081054299999806e-01 2.865340291731299782e-02
4.101529282499999929e-01 2.873772010849595659e-02
4.106885251799999859e-01 2.976129953669431893e-02
4.114679959299999967e-01 3.130483430100972075e-02
4.115501061099999802e-01 3.147121804802976985e-02
4.115644661799999771e-01 3.150039151107231206e-02
4.116728699300000183e-01 3.172134322791153593e-02
4.118193694799999749e-01 3.202197605827350468e-02
4.119201489900000124e-01 3.223014932224832485e-02
4.120066694799999762e-01 3.240975867095791108e-02
4.120706820200000231e-01 3.254317423636954310e-02
4.121978489299999993e-01 3.280956074523966315e-02
4.123106085200000104e-01 3.304726835424715015e-02
4.124163473299999882e-01 3.327146305712180840e-02
4.127725507900000257e-01 3.403594532786879956e-02
4.128327333899999840e-01 3.416652445197432275e-02
4.129324522799999730e-01 3.438379245561518083e-02
4.131951618899999956e-01 3.496162554324716565e-02
4.133935810500000141e-01 3.540331431802784534e-02
4.135232766899999968e-01 3.569448729095930917e-02
