# Heisenberg model
# L=16, J=1, W=1.0
# CDF of level statistics r_S
# r_S CDF
4.861496862040139422e-01 1.218026796589524903e-03
4.863408733127937422e-01 2.436053593179049806e-03
4.866334807839793886e-01 3.654080389768574709e-03
4.871606353346218388e-01 4.872107186358099612e-03
4.894548635525785563e-01 6.090133982947624515e-03
4.896386438602149949e-01 7.308160779537149418e-03
4.897928800080597056e-01 8.526187576126675188e-03
4.900871330133982906e-01 9.744214372716199224e-03
4.911531425454223609e-01 1.096224116930572326e-02
4.928852217909141520e-01 1.218026796589524730e-02
4.930655967635902970e-01 1.339829476248477480e-02
4.933433743981063824e-01 1.461632155907429884e-02
4.937217981719083104e-01 1.583434835566382287e-02
4.948026908541193203e-01 1.705237515225334691e-02
4.950315829528419420e-01 1.827040194884287441e-02
4.966954300764996333e-01 1.948842874543239845e-02
4.967132972481295705e-01 2.070645554202192248e-02
4.968529751334885836e-01 2.192448233861144652e-02
4.971219241329560279e-01 2.314250913520097055e-02
4.973549812746568821e-01 2.436053593179049806e-02
4.975497828427929425e-01 2.557856272838002210e-02
4.979013050421731701e-01 2.679658952496954613e-02
4.980757069105774537e-01 2.801461632155907364e-02
4.982187929454127140e-01 2.923264311814859767e-02
4.985696472603408091e-01 3.045066991473812171e-02
4.989938374023509260e-01 3.166869671132764574e-02
4.994012694577658618e-01 3.288672350791717325e-02
4.995191246641533800e-01 3.410475030450670075e-02
5.000621066269697046e-01 3.532277710109622826e-02
5.001337286721888598e-01 3.654080389768574882e-02
5.001961676773691856e-01 3.775883069427527633e-02
5.002710410051093293e-01 3.897685749086479690e-02
5.011945406213663690e-01 4.019488428745432440e-02
5.014148399644413612e-01 4.141291108404385191e-02
5.015208655685662320e-01 4.263093788063337247e-02
5.018161186493109716e-01 4.384896467722289998e-02
5.022769384839584905e-01 4.506699147381242054e-02
5.024669100366699892e-01 4.628501827040194805e-02
5.026980166880238299e-01 4.750304506699147555e-02
5.027382197105333406e-01 4.872107186358099612e-02
5.027878210454432839e-01 4.993909866017052362e-02
5.028232603547778679e-01 5.115712545676005113e-02
5.028721466179206789e-01 5.237515225334957170e-02
5.031409924419292246e-01 5.359317904993909920e-02
5.032096338644129752e-01 5.481120584652862671e-02
5.034533888578388572e-01 5.602923264311814727e-02
5.034681937492364590e-01 5.724725943970767478e-02
5.034745885064996207e-01 5.846528623629719534e-02
5.038095651835969857e-01 5.968331303288672285e-02
5.038857692248845943e-01 6.090133982947625035e-02
5.045159549523077214e-01 6.211936662606577092e-02
5.046511969627094363e-01 6.333739342265529149e-02
5.048937268122226651e-01 6.455542021924481899e-02
5.051650290474773985e-01 6.577344701583434650e-02
5.051984174412545991e-01 6.699147381242387400e-02
5.052882367600921576e-01 6.820950060901340151e-02
5.054496672057839923e-01 6.942752740560292901e-02
5.054511124219306373e-01 7.064555420219244264e-02
5.056288109374131867e-01 7.186358099878197014e-02
5.056307114894987853e-01 7.308160779537149765e-02
5.058163053875834869e-01 7.429963459196102515e-02
5.061096416808356091e-01 7.551766138855055266e-02
5.062910995124826341e-01 7.673568818514006629e-02
5.063080463602382952e-01 7.795371498172959379e-02
5.067868484978429455e-01 7.917174177831912130e-02
5.068937276410703241e-01 8.038976857490864880e-02
5.070207847042065286e-01 8.160779537149817631e-02
5.072468477063309944e-01 8.282582216808768993e-02
5.073923363964706335e-01 8.404384896467721744e-02
5.077194610105012496e-01 8.526187576126674494e-02
5.077431132711555106e-01 8.647990255785627245e-02
5.077622797097067764e-01 8.769792935444579995e-02
5.078009944927732722e-01 8.891595615103531358e-02
5.078978005664068762e-01 9.013398294762484109e-02
5.080573158152161817e-01 9.135200974421436859e-02
5.083301188233584345e-01 9.257003654080389610e-02
5.083658403968480677e-01 9.378806333739342360e-02
5.083823425188601641e-01 9.500609013398295111e-02
5.084213228260031636e-01 9.622411693057246473e-02
5.086044224746835152e-01 9.744214372716199224e-02
5.087035282781998680e-01 9.866017052375151974e-02
5.087906837051311415e-01 9.987819732034104725e-02
5.088283761016649809e-01 1.010962241169305748e-01
5.088858824899820110e-01 1.023142509135200884e-01
5.088963836478026526e-01 1.035322777101096159e-01
5.091185110955342985e-01 1.047503045066991434e-01
5.091544170802968505e-01 1.059683313032886709e-01
5.094018000217864772e-01 1.071863580998781984e-01
5.096314652409943413e-01 1.084043848964677259e-01
5.097206731810538516e-01 1.096224116930572395e-01
5.098339540033058892e-01 1.108404384896467670e-01
5.099655176559176883e-01 1.120584652862362945e-01
5.101555639957663368e-01 1.132764920828258220e-01
5.102063642835296120e-01 1.144945188794153496e-01
5.104474197565800342e-01 1.157125456760048632e-01
5.106705465514757014e-01 1.169305724725943907e-01
5.107594509295709795e-01 1.181485992691839182e-01
5.109515989667586799e-01 1.193666260657734457e-01
5.109804625600410377e-01 1.205846528623629732e-01
5.109998726468120145e-01 1.218026796589524868e-01
5.110390326779588044e-01 1.230207064555420143e-01
5.112196888949794849e-01 1.242387332521315418e-01
5.114004339720621406e-01 1.254567600487210555e-01
5.114460968183934808e-01 1.266747868453105830e-01
5.114856509447998079e-01 1.278928136419001105e-01
5.114925712938495073e-01 1.291108404384896380e-01
5.118817257978826030e-01 1.303288672350791655e-01
5.120206630421619831e-01 1.315468940316686930e-01
5.122068845565470596e-01 1.327649208282582205e-01
5.124928966985862200e-01 1.339829476248477480e-01
5.127627399975078770e-01 1.352009744214372755e-01
5.128281184148801852e-01 1.364190012180268030e-01
5.128443481470347232e-01 1.376370280146163305e-01
5.129576254204917252e-01 1.388550548112058303e-01
5.130064322715114367e-01 1.400730816077953578e-01
5.132884565308484248e-01 1.412911084043848853e-01
5.133140283128150294e-01 1.425091352009744128e-01
5.133689819329628756e-01 1.437271619975639403e-01
