# Fitting to data1.dat with error function
# r_S CDF(fit)
4.861496862040139422e-01 2.992785037418455030e-03
4.863408733127937422e-01 3.102943126586599210e-03
4.866334807839793886e-01 3.278616481678708894e-03
4.871606353346218388e-01 3.617810983419789128e-03
4.894548635525785563e-01 5.489734109414168284e-03
4.896386438602149949e-01 5.671659518766580810e-03
4.897928800080597056e-01 5.828449312736683208e-03
4.900871330133982906e-01 6.138273219296719319e-03
4.911531425454223609e-01 7.386326344869020843e-03
4.928852217909141520e-01 9.893569313206007632e-03
4.930655967635902970e-01 1.019317169900041398e-02
4.933433743981063824e-01 1.067003738143329494e-02
4.937217981719083104e-01 1.135088251707394580e-02
4.948026908541193203e-01 1.350740391568250320e-02
4.950315829528419420e-01 1.400694474587826921e-02
4.966954300764996333e-01 1.813965026585956375e-02
4.967132972481295705e-01 1.818914234358154358e-02
4.968529751334885836e-01 1.858003106153000017e-02
4.971219241329560279e-01 1.935285058149593951e-02
4.973549812746568821e-01 2.004446220048150540e-02
4.975497828427929425e-01 2.063852732880006036e-02
4.979013050421731701e-01 2.174828160047170833e-02
4.980757069105774537e-01 2.231731813064069536e-02
4.982187929454127140e-01 2.279350998786022764e-02
4.985696472603408091e-01 2.399750611636486397e-02
4.989938374023509260e-01 2.552409060912874672e-02
4.994012694577658618e-01 2.706611386993451607e-02
4.995191246641533800e-01 2.752639794709799137e-02
5.000621066269697046e-01 2.973210700437445286e-02
5.001337286721888598e-01 3.003370974882563216e-02
5.001961676773691856e-01 3.029870813846369249e-02
5.002710410051093293e-01 3.061903122089809637e-02
5.011945406213663690e-01 3.480559417497997021e-02
5.014148399644413612e-01 3.587083757604014878e-02
5.015208655685662320e-01 3.639295856025881459e-02
5.018161186493109716e-01 3.787977562940669785e-02
5.022769384839584905e-01 4.029906980408676231e-02
5.024669100366699892e-01 4.133227806846684338e-02
5.026980166880238299e-01 4.261804701254673367e-02
5.027382197105333406e-01 4.284498570716266386e-02
5.027878210454432839e-01 4.312632087518547541e-02
5.028232603547778679e-01 4.332824255909029088e-02
5.028721466179206789e-01 4.360803268734458893e-02
5.031409924419292246e-01 4.517287315016016436e-02
5.032096338644129752e-01 4.557956402608254187e-02
5.034533888578388572e-01 4.704761964269765784e-02
5.034681937492364590e-01 4.713799195535472997e-02
5.034745885064996207e-01 4.717706997216508658e-02
5.038095651835969857e-01 4.926066300705522760e-02
5.038857692248845943e-01 4.974477324348802743e-02
5.045159549523077214e-01 5.389514713579368621e-02
5.046511969627094363e-01 5.482061774026836254e-02
5.048937268122226651e-01 5.651168339324341705e-02
5.051650290474773985e-01 5.845179085091567472e-02
5.051984174412545991e-01 5.869412612926333539e-02
5.052882367600921576e-01 5.934995606364767973e-02
5.054496672057839923e-01 6.054309311822603235e-02
5.054511124219306373e-01 6.055385888296022090e-02
5.056288109374131867e-01 6.188902852491273698e-02
5.056307114894987853e-01 6.190343185473251575e-02
5.058163053875834869e-01 6.332259827538849750e-02
5.061096416808356091e-01 6.561712173720279928e-02
5.062910995124826341e-01 6.706846487578788096e-02
5.063080463602382952e-01 6.720526750355776402e-02
5.067868484978429455e-01 7.116019344976265426e-02
5.068937276410703241e-01 7.206694540292879481e-02
5.070207847042065286e-01 7.315637830629728722e-02
5.072468477063309944e-01 7.512581809341034589e-02
5.073923363964706335e-01 7.641452250288921499e-02
5.077194610105012496e-01 7.937345453857203026e-02
5.077431132711555106e-01 7.959071181914573190e-02
5.077622797097067764e-01 7.976709447952751164e-02
5.078009944927732722e-01 8.012427591193455045e-02
5.078978005664068762e-01 8.102269575805870483e-02
5.080573158152161817e-01 8.251965078677403476e-02
5.083301188233584345e-01 8.512784999330447189e-02
5.083658403968480677e-01 8.547389890541995383e-02
5.083823425188601641e-01 8.563411675662979672e-02
5.084213228260031636e-01 8.601346635023066067e-02
5.086044224746835152e-01 8.781219797408257310e-02
5.087035282781998680e-01 8.879742122612044319e-02
5.087906837051311415e-01 8.967062593671565329e-02
5.088283761016649809e-01 9.005023504590259353e-02
5.088858824899820110e-01 9.063169416946526002e-02
5.088963836478026526e-01 9.073817381366805490e-02
5.091185110955342985e-01 9.301230222045070439e-02
5.091544170802968505e-01 9.338382702210229480e-02
5.094018000217864772e-01 9.597337353800772242e-02
5.096314652409943413e-01 9.842437189332442493e-02
5.097206731810538516e-01 9.938866062737145013e-02
5.098339540033058892e-01 1.006230934446917247e-01
5.099655176559176883e-01 1.020707487105906308e-01
5.101555639957663368e-01 1.041885822076743517e-01
5.102063642835296120e-01 1.047600467481776265e-01
5.104474197565800342e-01 1.075026856377334639e-01
5.106705465514757014e-01 1.100871146900065378e-01
5.107594509295709795e-01 1.111291954063520770e-01
5.109515989667586799e-01 1.134055196016482969e-01
5.109804625600410377e-01 1.137503109733725704e-01
5.109998726468120145e-01 1.139825948276796397e-01
5.110390326779588044e-01 1.144522579130399786e-01
5.112196888949794849e-01 1.166367810445942399e-01
5.114004339720621406e-01 1.188518039422054584e-01
5.114460968183934808e-01 1.194160708622741818e-01
5.114856509447998079e-01 1.199063764823998235e-01
5.114925712938495073e-01 1.199923055093521929e-01
5.118817257978826030e-01 1.248943903566724356e-01
5.120206630421619831e-01 1.266779846389000652e-01
5.122068845565470596e-01 1.290962942382440914e-01
5.124928966985862200e-01 1.328725066485160755e-01
5.127627399975078770e-01 1.365043389288326248e-01
5.128281184148801852e-01 1.373943925115888587e-01
5.128443481470347232e-01 1.376159546380489873e-01
5.129576254204917252e-01 1.391691627652760777e-01
5.130064322715114367e-01 1.398420445023923486e-01
5.132884565308484248e-01 1.437734786946339161e-01
5.133140283128150294e-01 1.441336025388063047e-01
5.133689819329628756e-01 1.449095631150044694e-01
5.134664671235039668e-01 1.462929901214413686e-01
5.134787668027318563e-01 1.464681647200795078e-01
5.135078784143251029e-01 1.468833392067893096e-01
5.136336546234692157e-01 1.486861592542300659e-01
5.137866504277274204e-01 1.508989921403049439e-01
5.139907955630619307e-01 1.538855881254301283e-01
5.140617549719500579e-01 1.549328082126835704e-01
5.140696123069200540e-01 1.550490556563934308e-01
5.140764851912347222e-01 1.551507855911390399e-01
5.142387705903610495e-01 1.575656775294181355e-01
5.142518755023366417e-01 1.577617574913182663e-01
5.143104807117839794e-01 1.586405878894180943e-01
5.146367687265945845e-01 1.635921015346404328e-01
5.147622387317727366e-01 1.655225746462118952e-01
5.147873526828062873e-01 1.659107389125080156e-01
5.148192336540976521e-01 1.664043418225115700e-01
5.148953159158650150e-01 1.675861263659273459e-01
5.149389402129744830e-01 1.682661744544830529e-01
5.149911797104084199e-01 1.690828548715879731e-01
5.151418805640554099e-01 1.714530563362103854e-01
5.151888074149163499e-01 1.721954299947884293e-01
5.152052513402055611e-01 1.724560543047414796e-01
5.152193066865112803e-01 1.726790206865350119e-01
5.152356343462798360e-01 1.729382644499199984e-01
5.153057275297149298e-01 1.740539902532552419e-01
5.153214697184882453e-01 1.743051983722412879e-01
5.154071205762437158e-01 1.756760171655361580e-01
5.154169262320236200e-01 1.758333886400226254e-01
5.154582924878965411e-01 1.764982602841990156e-01
5.154953978690891558e-01 1.770959987998350083e-01
5.155626525744783084e-01 1.781826744868019174e-01
5.155631996397768146e-01 1.781915309550582971e-01
5.155911809164113180e-01 1.786448912697742308e-01
5.156716499619813376e-01 1.799527161443039147e-01
5.158333505972745314e-01 1.825988844554358170e-01
5.159185804551296162e-01 1.840033670670687682e-01
5.159389256864332918e-01 1.843396231545371688e-01
5.159997620534316765e-01 1.853473759391250919e-01
5.160218091487919212e-01 1.857134282758654553e-01
5.161829368381397609e-01 1.884022604696553027e-01
5.162559197738649797e-01 1.896280308776787105e-01
5.162634477649107323e-01 1.897547442745486923e-01
5.163196912287233431e-01 1.907030981047468932e-01
5.163388046573682555e-01 1.910260418671030358e-01
5.164048381483403727e-01 1.921443337120265493e-01
5.164427340500998831e-01 1.927879142834240112e-01
5.164664183151115306e-01 1.931908086423363424e-01
5.165564779570854803e-01 1.947275053408622503e-01
5.166818390817168316e-01 1.968788930201372800e-01
5.167608007693157424e-01 1.982413529969896948e-01
5.168419935178061309e-01 1.996482276894087637e-01
5.168612469227532591e-01 1.999827219304890491e-01
5.169751342768688085e-01 2.019681977827702535e-01
5.171222116294101889e-01 2.045496820961828499e-01
5.171495502123357735e-01 2.050316806206169407e-01
5.171889893274290717e-01 2.057282082877507912e-01
5.172271190593871193e-01 2.064029444210886410e-01
5.173306468509849543e-01 2.082415525528499844e-01
5.173434219202537321e-01 2.084691000532150618e-01
5.173507962156763673e-01 2.086005165506515935e-01
5.174374036547032540e-01 2.101475895977378827e-01
5.175130604775924903e-01 2.115045503095617785e-01
5.175497531981969601e-01 2.121645044674949632e-01
5.175896789152525379e-01 2.128839730597271718e-01
5.176679554476609768e-01 2.142986553846045750e-01
5.177981580351816993e-01 2.166638641107044849e-01
5.178016807687498835e-01 2.167280657774972585e-01
5.178223377894602963e-01 2.171047604276981069e-01
5.179701913720048401e-01 2.198119910332069771e-01
5.180779317684285346e-01 2.217968864673436902e-01
5.181073719246385156e-01 2.223410366157405615e-01
