# Heisenberg model
# L=16, J=1, W=8.0
# CDF of level statistics r_S
# r_S CDF
3.273646801676177720e-01 1.127395715896279543e-03
3.402275123395345213e-01 2.254791431792559087e-03
3.403940008453932298e-01 3.382187147688838630e-03
3.404101336299097391e-01 4.509582863585118173e-03
3.410368299329738506e-01 5.636978579481397716e-03
3.440348099835546791e-01 6.764374295377677260e-03
3.486426166094176993e-01 7.891770011273956803e-03
3.496347886580921660e-01 9.019165727170236346e-03
3.500813103559455297e-01 1.014656144306651589e-02
3.505662491200893793e-01 1.127395715896279543e-02
3.508052946881735079e-01 1.240135287485907498e-02
3.512002626246117365e-01 1.352874859075535452e-02
3.517497863904772148e-01 1.465614430665163406e-02
3.519477388097213555e-01 1.578354002254791361e-02
3.521283052656300483e-01 1.691093573844419315e-02
3.529748638465194932e-01 1.803833145434047269e-02
3.534264400786797933e-01 1.916572717023675224e-02
3.535564024094389191e-01 2.029312288613303178e-02
3.539914918769510033e-01 2.142051860202931132e-02
3.542384731432667300e-01 2.254791431792559087e-02
3.545827503557611449e-01 2.367531003382187041e-02
3.546460292009544490e-01 2.480270574971814995e-02
3.547979828308163719e-01 2.593010146561442950e-02
3.549325368539387182e-01 2.705749718151070904e-02
3.550378496488048596e-01 2.818489289740698858e-02
3.551638302879394082e-01 2.931228861330326813e-02
3.552256677607424917e-01 3.043968432919954767e-02
3.552822197655959302e-01 3.156708004509582721e-02
3.553335156951377138e-01 3.269447576099210329e-02
3.561699624674881104e-01 3.382187147688837936e-02
3.562013806381840175e-01 3.494926719278466931e-02
3.562560547636930419e-01 3.607666290868094539e-02
3.564799594138355343e-01 3.720405862457722146e-02
3.566306471454425697e-01 3.833145434047349753e-02
3.566971893576053598e-01 3.945885005636978748e-02
3.570952591440929580e-01 4.058624577226606356e-02
3.571862647731295359e-01 4.171364148816233963e-02
3.576707783293833209e-01 4.284103720405861571e-02
3.577567597503852892e-01 4.396843291995490566e-02
3.577580562212909210e-01 4.509582863585118173e-02
3.584968484517335741e-01 4.622322435174745781e-02
3.586488737119847836e-01 4.735062006764373388e-02
3.595550021998377699e-01 4.847801578354002383e-02
3.596379893305142739e-01 4.960541149943629990e-02
3.596743751173517856e-01 5.073280721533257598e-02
3.596880305665679511e-01 5.186020293122885205e-02
3.597217457992789580e-01 5.298759864712514200e-02
3.597778009196879734e-01 5.411499436302141808e-02
3.600526870706635130e-01 5.524239007891769415e-02
3.602664502854220352e-01 5.636978579481397023e-02
3.607809176078002888e-01 5.749718151071026018e-02
3.608608710104010964e-01 5.862457722660653625e-02
3.609865550330445538e-01 5.975197294250281232e-02
3.612178752443716556e-01 6.087936865839908840e-02
3.615272756868877502e-01 6.200676437429537835e-02
3.618423333537529873e-01 6.313416009019165442e-02
3.625203750153908056e-01 6.426155580608793050e-02
3.627126402342013556e-01 6.538895152198420657e-02
3.628194738096759964e-01 6.651634723788048265e-02
3.629625830224783023e-01 6.764374295377677260e-02
3.630939284143157586e-01 6.877113866967304867e-02
3.630944163355138143e-01 6.989853438556932475e-02
3.634803993928676924e-01 7.102593010146561470e-02
3.635188062454329794e-01 7.215332581736189077e-02
3.637235586406667442e-01 7.328072153325816684e-02
3.641101520189505281e-01 7.440811724915444292e-02
3.641402264247450837e-01 7.553551296505071899e-02
3.644986864424155648e-01 7.666290868094700894e-02
3.646073444353487014e-01 7.779030439684328502e-02
3.646356701372305831e-01 7.891770011273956109e-02
3.647541738092385799e-01 8.004509582863585104e-02
3.647591908914784575e-01 8.117249154453212712e-02
3.648586303483568050e-01 8.229988726042840319e-02
3.650076222545550197e-01 8.342728297632467926e-02
3.650232432846208241e-01 8.455467869222095534e-02
3.650447704516166514e-01 8.568207440811724529e-02
3.650468361815241147e-01 8.680947012401352136e-02
3.651017198905124883e-01 8.793686583990979744e-02
3.651656061312882340e-01 8.906426155580608739e-02
3.652161199228266542e-01 9.019165727170236346e-02
3.653945550868360481e-01 9.131905298759863954e-02
3.654479020419264534e-01 9.244644870349491561e-02
3.655164343200285604e-01 9.357384441939119168e-02
3.657041785768661568e-01 9.470124013528748164e-02
3.657561520737421801e-01 9.582863585118375771e-02
3.658128579924506685e-01 9.695603156708003378e-02
3.658569268365640670e-01 9.808342728297632374e-02
3.659018723959429065e-01 9.921082299887259981e-02
3.659181651522204204e-01 1.003382187147688759e-01
3.659484707211694277e-01 1.014656144306651520e-01
3.659827706311988282e-01 1.025930101465614280e-01
3.661035720323155274e-01 1.037204058624577180e-01
3.663553873829474838e-01 1.048478015783539941e-01
3.665026435557453555e-01 1.059751972942502701e-01
3.665785946764937298e-01 1.071025930101465601e-01
3.668265384277749064e-01 1.082299887260428362e-01
3.668434501976094442e-01 1.093573844419391122e-01
3.668665798788343646e-01 1.104847801578353883e-01
3.668998755134584844e-01 1.116121758737316644e-01
3.669051985202540500e-01 1.127395715896279543e-01
3.669483932646137592e-01 1.138669673055242304e-01
3.671822119179695143e-01 1.149943630214205065e-01
3.672234710598178964e-01 1.161217587373167964e-01
3.672910517998396740e-01 1.172491544532130725e-01
3.673393652821310695e-01 1.183765501691093486e-01
3.676057999833494128e-01 1.195039458850056246e-01
3.679594166002495559e-01 1.206313416009019007e-01
3.679649076422918386e-01 1.217587373167981907e-01
3.679899362108905447e-01 1.228861330326944667e-01
3.680985750742785112e-01 1.240135287485907428e-01
3.681212923964631845e-01 1.251409244644870467e-01
3.681322946302199584e-01 1.262683201803833088e-01
3.681507486321272671e-01 1.273957158962795988e-01
3.682856932252029369e-01 1.285231116121758888e-01
3.683672774129360117e-01 1.296505073280721509e-01
3.684905319242229860e-01 1.307779030439684409e-01
3.685021049472887444e-01 1.319052987598647031e-01
3.685179607057436080e-01 1.330326944757609930e-01
3.685599781275701869e-01 1.341600901916572830e-01
3.685657757602021634e-01 1.352874859075535452e-01
3.685710609777299585e-01 1.364148816234498351e-01
3.685900546444493275e-01 1.375422773393461251e-01
3.686603822389669660e-01 1.386696730552423873e-01
3.686819218299877687e-01 1.397970687711386772e-01
3.687116452296121394e-01 1.409244644870349672e-01
3.687927636064478598e-01 1.420518602029312294e-01
3.688393634888689210e-01 1.431792559188275193e-01
3.689701561007505681e-01 1.443066516347237815e-01
3.691100549183385371e-01 1.454340473506200715e-01
3.691575966038025403e-01 1.465614430665163614e-01
3.691786895364513321e-01 1.476888387824126236e-01
3.693219538991677764e-01 1.488162344983089136e-01
3.693321554464895073e-01 1.499436302142051758e-01
3.696056954069850686e-01 1.510710259301014657e-01
3.696243423658593374e-01 1.521984216459977557e-01
3.698085697435871122e-01 1.533258173618940179e-01
3.700456882014524496e-01 1.544532130777903078e-01
3.700768115859352503e-01 1.555806087936865978e-01
3.704256449798241646e-01 1.567080045095828600e-01
3.704812873298938269e-01 1.578354002254791499e-01
3.705711605552808319e-01 1.589627959413754399e-01
3.707974710007105879e-01 1.600901916572717021e-01
3.708720051831865261e-01 1.612175873731679920e-01
3.708961928399634456e-01 1.623449830890642542e-01
3.709521323130550163e-01 1.634723788049605442e-01
3.709880115848532278e-01 1.645997745208568341e-01
3.712661660205693326e-01 1.657271702367530963e-01
3.715547538237863323e-01 1.668545659526493863e-01
3.715860501709334351e-01 1.679819616685456485e-01
3.719813586122658333e-01 1.691093573844419384e-01
3.720439794352894403e-01 1.702367531003382284e-01
3.720880594777809525e-01 1.713641488162344906e-01
3.720886168690328843e-01 1.724915445321307805e-01
3.722214041714326793e-01 1.736189402480270705e-01
3.722977132595375327e-01 1.747463359639233327e-01
3.724115937266402332e-01 1.758737316798196226e-01
3.725103970108518125e-01 1.770011273957159126e-01
3.725275732119754935e-01 1.781285231116121748e-01
3.725778233001698081e-01 1.792559188275084647e-01
3.726805730849336862e-01 1.803833145434047269e-01
3.726969819921964189e-01 1.815107102593010169e-01
3.727378343519063830e-01 1.826381059751973068e-01
3.727406042167867861e-01 1.837655016910935690e-01
3.727534857173405158e-01 1.848928974069898590e-01
3.727576657057428133e-01 1.860202931228861212e-01
3.728457803685661376e-01 1.871476888387824111e-01
3.729628931684214055e-01 1.882750845546787011e-01
3.730092066102300707e-01 1.894024802705749633e-01
3.730407544084551330e-01 1.905298759864712532e-01
3.730576357587074288e-01 1.916572717023675432e-01
3.730667825318616515e-01 1.927846674182638054e-01
3.731339847885623562e-01 1.939120631341600953e-01
3.731960994490383654e-01 1.950394588500563853e-01
3.732231172816298792e-01 1.961668545659526475e-01
3.733087047953496107e-01 1.972942502818489374e-01
3.733123349818358028e-01 1.984216459977451996e-01
3.733565707239174802e-01 1.995490417136414896e-01
3.733812231136074966e-01 2.006764374295377795e-01
3.735826559102051192e-01 2.018038331454340417e-01
3.736351924960308879e-01 2.029312288613303317e-01
3.736631634161091675e-01 2.040586245772265939e-01
3.736706931351321814e-01 2.051860202931228838e-01
3.737915134066258638e-01 2.063134160090191738e-01
3.738891762957660125e-01 2.074408117249154360e-01
3.739767516899157318e-01 2.085682074408117259e-01
3.740125319443159402e-01 2.096956031567080159e-01
3.740337428683811472e-01 2.108229988726042781e-01
3.741914731674627626e-01 2.119503945885005680e-01
3.741962271856128508e-01 2.130777903043968580e-01
3.741989778434266500e-01 2.142051860202931202e-01
3.742451589823212466e-01 2.153325817361894101e-01
3.742632080527434346e-01 2.164599774520856723e-01
3.742797509550231383e-01 2.175873731679819623e-01
