# Fitting to data1.dat with error function
# r_S CDF(fit)
3.273646801676177720e-01 1.283161165074875321e-04
3.402275123395345213e-01 2.105921069439409266e-03
3.403940008453932298e-01 2.175190293796702701e-03
3.404101336299097391e-01 2.182011092476732195e-03
3.410368299329738506e-01 2.462454098457245166e-03
3.440348099835546791e-01 4.308161778719288293e-03
3.486426166094176993e-01 9.575274587855231445e-03
3.496347886580921660e-01 1.126342575951461145e-02
3.500813103559455297e-01 1.210398807102563978e-02
3.505662491200893793e-01 1.307795512902792945e-02
3.508052946881735079e-01 1.358249870753158728e-02
3.512002626246117365e-01 1.445296561566949967e-02
3.517497863904772148e-01 1.574368433660766620e-02
3.519477388097213555e-01 1.623226358725160523e-02
3.521283052656300483e-01 1.668920205889090624e-02
3.529748638465194932e-01 1.898100281294112790e-02
3.534264400786797933e-01 2.030940884843246419e-02
3.535564024094389191e-01 2.070602239148283674e-02
3.539914918769510033e-01 2.208187004460621106e-02
3.542384731432667300e-01 2.289666320547667500e-02
3.545827503557611449e-01 2.407457938215978865e-02
3.546460292009544490e-01 2.429652985145203115e-02
3.547979828308163719e-01 2.483653257655460411e-02
3.549325368539387182e-01 2.532307032619612874e-02
3.550378496488048596e-01 2.570942193043229684e-02
3.551638302879394082e-01 2.617806511353260035e-02
3.552256677607424917e-01 2.641069906600251871e-02
3.552822197655959302e-01 2.662495906061762563e-02
3.553335156951377138e-01 2.682055919710329972e-02
3.561699624674881104e-01 3.018304555889722574e-02
3.562013806381840175e-01 3.031586482103121316e-02
3.562560547636930419e-01 3.054815252807585590e-02
3.564799594138355343e-01 3.151486300409939156e-02
3.566306471454425697e-01 3.217958912921498049e-02
3.566971893576053598e-01 3.247678765375988652e-02
3.570952591440929580e-01 3.430232738238792045e-02
3.571862647731295359e-01 3.473131065874501822e-02
3.576707783293833209e-01 3.708997174956185638e-02
3.577567597503852892e-01 3.752191302468149692e-02
3.577580562212909210e-01 3.752845735375170966e-02
3.584968484517335741e-01 4.141213328091386536e-02
3.586488737119847836e-01 4.225038176647794019e-02
3.595550021998377699e-01 4.753537944224933698e-02
3.596379893305142739e-01 4.804477061420464601e-02
3.596743751173517856e-01 4.826948695006327839e-02
3.596880305665679511e-01 4.835403882860056513e-02
3.597217457992789580e-01 4.856330433412753278e-02
3.597778009196879734e-01 4.891283240243710084e-02
3.600526870706635130e-01 5.065606030754643552e-02
3.602664502854220352e-01 5.204558090047733954e-02
3.607809176078002888e-01 5.551396973357297648e-02
