# Heisenberg model
# L=16, J=1, W=2.0
# CDF of level statistics r_S
# r_S CDF
4.141206790182574426e-01 1.282051282051282050e-03
4.311872211609303340e-01 2.564102564102564100e-03
4.327189842506048989e-01 3.846153846153846367e-03
4.350341398249780167e-01 5.128205128205128201e-03
4.350356513851098006e-01 6.410256410256410034e-03
4.361071454113283341e-01 7.692307692307691867e-03
4.380790134546243553e-01 8.974358974358975435e-03
4.420417253393504886e-01 1.025641025641025640e-02
4.425995231600557411e-01 1.153846153846153910e-02
4.443197901446543363e-01 1.282051282051282180e-02
4.443824178440216044e-01 1.410256410256410277e-02
4.449395882976117100e-01 1.538461538461538547e-02
4.463094132796631697e-01 1.666666666666666644e-02
4.465616151355878416e-01 1.794871794871794740e-02
4.476346068089112618e-01 1.923076923076922837e-02
4.479736363854815995e-01 2.051282051282051280e-02
4.494159005366049620e-01 2.179487179487179377e-02
4.496461704717992225e-01 2.307692307692307473e-02
4.503265434621970820e-01 2.435897435897435917e-02
4.513409112410811108e-01 2.564102564102564014e-02
4.548740872711109495e-01 2.692307692307692110e-02
4.548858469688457085e-01 2.820512820512820554e-02
4.557925519621504606e-01 2.948717948717948650e-02
4.561018084873751932e-01 3.076923076923076747e-02
4.562724387829572015e-01 3.205128205128205537e-02
4.570917821321224817e-01 3.333333333333333287e-02
4.571785465641855506e-01 3.461538461538461731e-02
4.571958653636009062e-01 3.589743589743590174e-02
4.572160551087562919e-01 3.717948717948717924e-02
4.590074270125670264e-01 3.846153846153846367e-02
4.596375799445088783e-01 3.974358974358974811e-02
4.606676683152383656e-01 4.102564102564102561e-02
4.607112505576956840e-01 4.230769230769231004e-02
4.609406961407145342e-01 4.358974358974359448e-02
4.623698526017324117e-01 4.487179487179487197e-02
4.625636001709243494e-01 4.615384615384615641e-02
4.634061432024329519e-01 4.743589743589744084e-02
4.635018276438740426e-01 4.871794871794871834e-02
4.653750563346421565e-01 5.000000000000000278e-02
4.656352545166206891e-01 5.128205128205128721e-02
4.658986695468337880e-01 5.256410256410256471e-02
4.659090092450600684e-01 5.384615384615384914e-02
4.671681632356163294e-01 5.512820512820513358e-02
4.674223517364328173e-01 5.641025641025641107e-02
4.675189645782436565e-01 5.769230769230769551e-02
4.675466754211574094e-01 5.897435897435897995e-02
4.681590493266605812e-01 6.025641025641025744e-02
4.681646075172696264e-01 6.153846153846154188e-02
4.686191070275780302e-01 6.282051282051281937e-02
4.692415360902956745e-01 6.410256410256409687e-02
4.692444045091657134e-01 6.538461538461537437e-02
4.696897735270142982e-01 6.666666666666666574e-02
4.698112112210941493e-01 6.794871794871794324e-02
4.700707200221906912e-01 6.923076923076922073e-02
4.708569565115132138e-01 7.051282051282051211e-02
4.710848542585172605e-01 7.179487179487178961e-02
4.712733261509239879e-01 7.307692307692306710e-02
4.726765196111959444e-01 7.435897435897435848e-02
4.727780043249537045e-01 7.564102564102563597e-02
4.732666514876281982e-01 7.692307692307691347e-02
4.733439340641114601e-01 7.820512820512820484e-02
4.733577405604706967e-01 7.948717948717948234e-02
4.738268642961554478e-01 8.076923076923075984e-02
4.738725706037855145e-01 8.205128205128205121e-02
4.740662307553392685e-01 8.333333333333332871e-02
4.749400156708183385e-01 8.461538461538460620e-02
4.753985593049378511e-01 8.589743589743589758e-02
4.757927307052956523e-01 8.717948717948717507e-02
4.759593170205884682e-01 8.846153846153845257e-02
4.768588201432695239e-01 8.974358974358974395e-02
4.776187592266108450e-01 9.102564102564102144e-02
4.780345973928295522e-01 9.230769230769229894e-02
4.787057364770486156e-01 9.358974358974359031e-02
4.789810860245847790e-01 9.487179487179486781e-02
4.791887522127944998e-01 9.615384615384614531e-02
4.794157037160126644e-01 9.743589743589743668e-02
4.797096213628085914e-01 9.871794871794871418e-02
4.798744384178984523e-01 9.999999999999999167e-02
4.799910328074748489e-01 1.012820512820512830e-01
4.800023408028597505e-01 1.025641025641025605e-01
4.804894647725712065e-01 1.038461538461538380e-01
4.805869121211135409e-01 1.051282051282051294e-01
4.806407629507337131e-01 1.064102564102564069e-01
4.811598463891566535e-01 1.076923076923076844e-01
4.814734908439753380e-01 1.089743589743589758e-01
4.818635755939058574e-01 1.102564102564102533e-01
4.818686546189285824e-01 1.115384615384615308e-01
4.820213361424718346e-01 1.128205128205128221e-01
4.822910478040970395e-01 1.141025641025640996e-01
4.823789536715878956e-01 1.153846153846153771e-01
4.825242284779143187e-01 1.166666666666666685e-01
4.828864363136579629e-01 1.179487179487179460e-01
4.829633072681843720e-01 1.192307692307692235e-01
4.829785775787353019e-01 1.205128205128205149e-01
4.830894151112704038e-01 1.217948717948717924e-01
4.832261562577873648e-01 1.230769230769230699e-01
4.833584192710781990e-01 1.243589743589743613e-01
4.834834614405248976e-01 1.256410256410256387e-01
4.835415322465040910e-01 1.269230769230769162e-01
4.836828294410552842e-01 1.282051282051281937e-01
4.839101269507362080e-01 1.294871794871794712e-01
4.842043522466220606e-01 1.307692307692307765e-01
4.842848504712779500e-01 1.320512820512820540e-01
4.848808397290346184e-01 1.333333333333333315e-01
4.851595669330759364e-01 1.346153846153846090e-01
4.858452624548587062e-01 1.358974358974358865e-01
4.865085519026184913e-01 1.371794871794871640e-01
4.867712847208071070e-01 1.384615384615384692e-01
4.868304937232172391e-01 1.397435897435897467e-01
4.874526671248644027e-01 1.410256410256410242e-01
4.874974188172215284e-01 1.423076923076923017e-01
4.876053804287668880e-01 1.435897435897435792e-01
4.876124188905545664e-01 1.448717948717948567e-01
4.882687540447192553e-01 1.461538461538461620e-01
4.883042863101067499e-01 1.474358974358974395e-01
4.887211134310511795e-01 1.487179487179487170e-01
4.889448374656300556e-01 1.499999999999999944e-01
4.890992708346195705e-01 1.512820512820512719e-01
4.896689385895945934e-01 1.525641025641025494e-01
4.896876596714027641e-01 1.538461538461538547e-01
4.897744452953155525e-01 1.551282051282051322e-01
4.898436459617746541e-01 1.564102564102564097e-01
4.898511849704041965e-01 1.576923076923076872e-01
4.902729462333823007e-01 1.589743589743589647e-01
4.905017158392274146e-01 1.602564102564102422e-01
4.905710362154144244e-01 1.615384615384615474e-01
4.906175216621753155e-01 1.628205128205128249e-01
4.907024036938999467e-01 1.641025641025641024e-01
4.909458741047061370e-01 1.653846153846153799e-01
4.909829064511683772e-01 1.666666666666666574e-01
4.913314419733568750e-01 1.679487179487179349e-01
4.914758100113317818e-01 1.692307692307692124e-01
4.916568601426413720e-01 1.705128205128205177e-01
4.916619006239972833e-01 1.717948717948717952e-01
4.917764870185811210e-01 1.730769230769230727e-01
4.918431199923569141e-01 1.743589743589743501e-01
4.924014646234743942e-01 1.756410256410256276e-01
4.924188891814745284e-01 1.769230769230769051e-01
4.925201232887585490e-01 1.782051282051282104e-01
4.925875641636600633e-01 1.794871794871794879e-01
4.925940636092487335e-01 1.807692307692307654e-01
4.929483172215639586e-01 1.820512820512820429e-01
4.931682370831383388e-01 1.833333333333333204e-01
4.933109477406511512e-01 1.846153846153845979e-01
4.933269769076670253e-01 1.858974358974359031e-01
