# Fitting to data1.dat with error function
#     r_S CDF(fit)
4.141206790182574426e-01 7.210020469272659938e-06
4.311872211609303340e-01 1.507817681572487523e-04
4.327189842506048989e-01 1.933300730550535640e-04
4.350341398249780167e-01 2.793697415204854373e-04
4.350356513851098006e-01 2.794360691026898103e-04
4.361071454113283341e-01 3.303257057398756302e-04
4.380790134546243553e-01 4.471531392329364252e-04
4.420417253393504886e-01 8.056459510701330373e-04
4.425995231600557411e-01 8.734037209370271171e-04
4.443197901446543363e-01 1.116730060387038925e-03
4.443824178440216044e-01 1.126661140241846937e-03
4.449395882976117100e-01 1.218641854691060455e-03
4.463094132796631697e-01 1.474728504056943557e-03
4.465616151355878416e-01 1.526915230752934338e-03
4.476346068089112618e-01 1.768296948660097456e-03
4.479736363854815995e-01 1.851492001341603633e-03
4.494159005366049620e-01 2.246642251989838801e-03
4.496461704717992225e-01 2.316371524568483498e-03
4.503265434621970820e-01 2.533997515393848765e-03
4.513409112410811108e-01 2.892873145469043727e-03
4.548740872711109495e-01 4.528175559908254044e-03
4.548858469688457085e-01 4.534777807750300926e-03
4.557925519621504606e-01 5.070443523655654428e-03
4.561018084873751932e-01 5.265633405899639019e-03
4.562724387829572015e-01 5.376165213009209687e-03
4.570917821321224817e-01 5.936166693821243179e-03
4.571785465641855506e-01 5.998396142550377341e-03
4.571958653636009062e-01 6.010886597102305107e-03
4.572160551087562919e-01 6.025476701057796980e-03
4.590074270125670264e-01 7.451730820415669587e-03
4.596375799445088783e-01 8.019965117403882182e-03
4.606676683152383656e-01 9.031051540892509610e-03
4.607112505576956840e-01 9.076188326912482118e-03
4.609406961407145342e-01 9.317090328889887640e-03
4.623698526017324117e-01 1.094731945246074645e-02
4.625636001709243494e-01 1.118640567582773748e-02
4.634061432024329519e-01 1.227965851089440896e-02
4.635018276438740426e-01 1.240948387653473262e-02
4.653750563346421565e-01 1.520124055778598882e-02
4.656352545166206891e-01 1.562880807334238176e-02
4.658986695468337880e-01 1.607213196939966116e-02
4.659090092450600684e-01 1.608975115800087563e-02
4.671681632356163294e-01 1.836281930651928462e-02
4.674223517364328173e-01 1.885345766567358972e-02
4.675189645782436565e-01 1.904284441932302396e-02
4.675466754211574094e-01 1.909746265175027435e-02
4.681590493266605812e-01 2.033888443287668046e-02
4.681646075172696264e-01 2.035045819948433365e-02
4.686191070275780302e-01 2.131593530933362235e-02
4.692415360902956745e-01 2.270075640877800005e-02
4.692444045091657134e-01 2.270730973669393693e-02
4.696897735270142982e-01 2.374434586368673328e-02
4.698112112210941493e-01 2.403392512113444734e-02
4.700707200221906912e-01 2.466270280325544295e-02
4.708569565115132138e-01 2.665253211107609932e-02
4.710848542585172605e-01 2.725376754767577792e-02
4.712733261509239879e-01 2.775949923117454476e-02
4.726765196111959444e-01 3.177569755643827598e-02
4.727780043249537045e-01 3.208389008961720634e-02
4.732666514876281982e-01 3.360257135494820746e-02
4.733439340641114601e-01 3.384809400901378496e-02
4.733577405604706967e-01 3.389211151132243138e-02
4.738268642961554478e-01 3.541596415836623102e-02
4.738725706037855145e-01 3.556738908582018910e-02
4.740662307553392685e-01 3.621488435387648641e-02
4.749400156708183385e-01 3.925738715963944525e-02
4.753985593049378511e-01 4.093540724122823882e-02
4.757927307052956523e-01 4.242394275379612889e-02
4.759593170205884682e-01 4.306605631049259530e-02
4.768588201432695239e-01 4.667007362993591535e-02
4.776187592266108450e-01 4.990005309979733683e-02
4.780345973928295522e-01 5.174155752603615266e-02
4.787057364770486156e-01 5.482714590235504559e-02
4.789810860245847790e-01 5.613441029641202951e-02
4.791887522127944998e-01 5.713650032323380756e-02
4.794157037160126644e-01 5.824769786791572646e-02
4.797096213628085914e-01 5.971192152075088799e-02
4.798744384178984523e-01 6.054552964546133786e-02
4.799910328074748489e-01 6.114071675892734925e-02
4.800023408028597505e-01 6.119868383291954261e-02
4.804894647725712065e-01 6.373678945646360505e-02
4.805869121211135409e-01 6.425422137739228434e-02
4.806407629507337131e-01 6.454155915340187288e-02
4.811598463891566535e-01 6.736270966289537032e-02
4.814734908439753380e-01 6.911296136118638689e-02
4.818635755939058574e-01 7.133842661311262656e-02
4.818686546189285824e-01 7.136776140750283881e-02
4.820213361424718346e-01 7.225392942132069507e-02
4.822910478040970395e-01 7.383991585999510887e-02
4.823789536715878956e-01 7.436253723075608724e-02
4.825242284779143187e-01 7.523241475149877733e-02
4.828864363136579629e-01 7.743501211872483303e-02
4.829633072681843720e-01 7.790870474582567429e-02
4.829785775787353019e-01 7.800306438754656124e-02
4.830894151112704038e-01 7.869056193479367911e-02
4.832261562577873648e-01 7.954504839420084572e-02
4.833584192710781990e-01 8.037821341368939221e-02
4.834834614405248976e-01 8.117193994605487184e-02
4.835415322465040910e-01 8.154255923515152382e-02
4.836828294410552842e-01 8.244967366979077950e-02
4.839101269507362080e-01 8.392481202681167929e-02
4.842043522466220606e-01 8.586362514570367033e-02
4.842848504712779500e-01 8.639986803494503764e-02
4.848808397290346184e-01 9.044821347402115519e-02
4.851595669330759364e-01 9.238914646801904551e-02
4.858452624548587062e-01 9.729489988435402470e-02
4.865085519026184913e-01 1.022196530734673647e-01
4.867712847208071070e-01 1.042197005490104189e-01
4.868304937232172391e-01 1.046743181607470707e-01
4.874526671248644027e-01 1.095385307598129021e-01
4.874974188172215284e-01 1.098945599712691235e-01
4.876053804287668880e-01 1.107568821950545290e-01
4.876124188905545664e-01 1.108132684118879330e-01
4.882687540447192553e-01 1.161619663713965855e-01
4.883042863101067499e-01 1.164566709840924585e-01
4.887211134310511795e-01 1.199534827226171330e-01
4.889448374656300556e-01 1.218605599324734112e-01
4.890992708346195705e-01 1.231893506709353381e-01
4.896689385895945934e-01 1.281786172990329598e-01
4.896876596714027641e-01 1.283449284723854888e-01
4.897744452953155525e-01 1.291178566495255753e-01
4.898436459617746541e-01 1.297364782709640174e-01
4.898511849704041965e-01 1.298039972668782460e-01
4.902729462333823007e-01 1.336200737139985883e-01
4.905017158392274146e-01 1.357219294878269089e-01
4.905710362154144244e-01 1.363632678212866045e-01
4.906175216621753155e-01 1.367945014746779209e-01
4.907024036938999467e-01 1.375843335559970293e-01
4.909458741047061370e-01 1.398670840257107417e-01
4.909829064511683772e-01 1.402165376624053827e-01
4.913314419733568750e-01 1.435345252711740516e-01
4.914758100113317818e-01 1.449242792206349995e-01
4.916568601426413720e-01 1.466799170777399741e-01
4.916619006239972833e-01 1.467289978072282008e-01
4.917764870185811210e-01 1.478477337335216690e-01
4.918431199923569141e-01 1.485009076015039731e-01
4.924014646234743942e-01 1.540498706486601033e-01
4.924188891814745284e-01 1.542252193065769550e-01
4.925201232887585490e-01 1.552465795212922273e-01
4.925875641636600633e-01 1.559294689677662715e-01
4.925940636092487335e-01 1.559953851793702273e-01
4.929483172215639586e-01 1.596159407846253764e-01
4.931682370831383388e-01 1.618910216096449139e-01
4.933109477406511512e-01 1.633786175079682268e-01
4.933269769076670253e-01 1.635462562358590000e-01
4.935613925795384049e-01 1.660106135693457108e-01
4.935861919126743880e-01 1.662727195233750233e-01
4.935965944404130390e-01 1.663827441197297530e-01
4.937885404924908794e-01 1.684213363025142129e-01
4.940198866235367414e-01 1.708996350798729913e-01
4.943311376728920514e-01 1.742705319403893283e-01
4.946018636110080524e-01 1.772366495652266116e-01
4.949047345403475018e-01 1.805925014760620950e-01
4.951539083495042903e-01 1.833830546926616401e-01
4.951970233452593906e-01 1.838686233467666242e-01
4.952574601053061909e-01 1.845506192832817027e-01
4.952595873951605721e-01 1.845746532179869948e-01
4.953355636626362579e-01 1.854343022524068685e-01
4.953834035552268644e-01 1.859768695305435982e-01
4.954440047834164362e-01 1.866655786563601316e-01
4.954914377080203991e-01 1.872057352948253706e-01
4.956108986583085407e-01 1.885704095502216404e-01
4.957329089762890217e-01 1.899705205520529905e-01
4.957500038304867296e-01 1.901671991114635696e-01
4.961344871805413170e-01 1.946237232858128996e-01
4.964580045074620251e-01 1.984223928688747529e-01
4.965315951280653839e-01 1.992926826338156654e-01
4.966399383970683812e-01 2.005781358469928000e-01
4.969460174836905497e-01 2.042364557476721854e-01
4.972626885027405241e-01 2.080628839593853252e-01
4.974296491832311817e-01 2.100972405916656793e-01
4.974588974628800231e-01 2.104548195226660368e-01
4.975402263709154949e-01 2.114509932299492578e-01
4.976713782853598445e-01 2.130632378852602149e-01
4.976995250821735217e-01 2.134101775685438573e-01
4.979852657028100427e-01 2.169508352730032952e-01
4.980602772073352003e-01 2.178859105715451050e-01
4.981280994292343056e-01 2.187333632318176346e-01
4.983716733335520899e-01 2.217924632831063114e-01
4.985558918283299890e-01 2.241222476693285337e-01
4.986530747009993436e-01 2.253568843152849999e-01
4.987999120611861237e-01 2.272296294481760404e-01
4.988094599831001119e-01 2.273517053839980151e-01
4.990021725710911960e-01 2.298235372372778307e-01
4.990641813613411193e-01 2.306220823562233346e-01
4.992352012298749697e-01 2.328324792424057432e-01
4.993468612664055950e-01 2.342819903823449845e-01
4.995475096327157138e-01 2.368992080117255372e-01
4.996220743603405623e-01 2.378758965931410674e-01
4.997584408076146123e-01 2.396677946437665851e-01
4.998755232248143221e-01 2.412121533796894868e-01
5.001647875238643959e-01 2.450507323009683547e-01
5.002026486807533701e-01 2.455555760040189495e-01
5.002170334087532311e-01 2.457475294762854756e-01
5.002472148041248179e-01 2.461505394041939021e-01
5.003294980849086748e-01 2.472510599609075155e-01
5.003561529946729536e-01 2.476081267751001347e-01
5.006814526080726191e-01 2.519879156927068986e-01
5.006915399946632039e-01 2.521243813530228417e-01
5.008351227000455985e-01 2.540710366909776363e-01
5.009356777305575825e-01 2.554390141925396707e-01
5.011771644685353300e-01 2.587399170174654595e-01
5.012060198712700032e-01 2.591358154768491628e-01
5.012542842789496911e-01 2.597987063558501175e-01
5.016901021142750050e-01 2.658238503079003445e-01
5.018344166155869202e-01 2.678344802794542234e-01
5.018427069911804983e-01 2.679502163732050968e-01
5.018983223195094823e-01 2.687272733808528935e-01
5.021144528165000231e-01 2.717577555027010372e-01
5.023163947386686257e-01 2.746045792983915490e-01
5.024262859211152676e-01 2.761598982070480046e-01
5.027212752393392936e-01 2.803562192408864950e-01
5.028264769570596204e-01 2.818601826665039778e-01
5.028637633658490369e-01 2.823941606162186924e-01
5.030815918043333168e-01 2.855233640007194817e-01
5.031018807254191705e-01 2.858156617153163603e-01
5.032204946032547976e-01 2.875273454699515119e-01
5.032717846603381728e-01 2.882689960022378206e-01
5.033270251899301106e-01 2.890687777699737504e-01
5.033297127310351060e-01 2.891077150543230334e-01
5.033735228429040420e-01 2.897427865659703561e-01
5.034013448718911432e-01 2.901464343421355507e-01
5.034327529521833711e-01 2.906024256789201399e-01
5.034843280596931203e-01 2.913519340313079908e-01
5.035073396176840133e-01 2.916866371956238213e-01
5.036038373034109616e-01 2.930921439969614850e-01
5.036705601421246348e-01 2.940658077221955935e-01
5.037438343293700882e-01 2.951367922647438746e-01
5.037914659788422789e-01 2.958339441367918710e-01
5.038069403774513288e-01 2.960605950026783395e-01
5.038591473026564627e-01 2.968258482495949591e-01
5.041035038614836150e-01 3.004196209072838020e-01
5.041043261631797945e-01 3.004317476932441000e-01
5.042635541902396046e-01 3.027840962087133825e-01
5.043768068853853315e-01 3.044622330808620658e-01
5.043886626436507870e-01 3.046381464524201554e-01
5.045720664081181361e-01 3.073651912368841055e-01
5.046336331025762512e-01 3.082830342554311320e-01
5.046358167609074075e-01 3.083156105389501800e-01
5.047573216440636168e-01 3.101306193490456220e-01
5.047745884783719772e-01 3.103889240871751110e-01
5.047941506285007485e-01 3.106816788316494327e-01
