# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=0.9
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.608067312739067389e-01
2.010000000000000000e+02 3.114807896307556501e-01
3.010000000000000000e+02 4.764599908300570785e-01
4.010000000000000000e+02 6.438918646722902039e-01
5.010000000000000000e+02 7.978096228050970407e-01
6.010000000000000000e+02 9.495159493839208098e-01
7.010000000000000000e+02 1.132149977078616088e+00
8.010000000000000000e+02 1.280939524303018384e+00
9.010000000000000000e+02 1.432830372354040316e+00
1.001000000000000000e+03 1.578828819587553944e+00
1.101000000000000000e+03 1.749103037951021955e+00
1.201000000000000000e+03 1.937680674168636985e+00
1.301000000000000000e+03 2.102665186206427617e+00
1.401000000000000000e+03 2.266263338227877178e+00
1.501000000000000000e+03 2.425920110461525336e+00
1.601000000000000000e+03 2.596550763564685838e+00
1.701000000000000000e+03 2.739017172699294900e+00
1.801000000000000000e+03 2.883727836678136924e+00
1.901000000000000000e+03 3.010699717456259084e+00
2.001000000000000000e+03 3.176932111564140016e+00
2.101000000000000000e+03 3.342108303978098327e+00
2.201000000000000000e+03 3.497310963746204759e+00
2.301000000000000000e+03 3.644448882585943128e+00
2.401000000000000000e+03 3.791459930552019575e+00
2.501000000000000000e+03 3.975088493554507441e+00
2.601000000000000000e+03 4.139119302413414303e+00
2.701000000000000000e+03 4.267654664617700710e+00
2.801000000000000000e+03 4.407643907244011672e+00
2.901000000000000000e+03 4.565253887256176313e+00
3.001000000000000000e+03 4.741556963799163249e+00
