# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2, W=1.2
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e3
1.010000000000000000e+02 1.384607136457903120e+00
2.010000000000000000e+02 2.358907321655888900e+00
3.010000000000000000e+02 3.048372626523363049e+00
4.010000000000000000e+02 3.620738377412341613e+00
5.010000000000000000e+02 4.132181084246186131e+00
6.010000000000000000e+02 4.446256296061584123e+00
7.010000000000000000e+02 4.854049866604228214e+00
8.010000000000000000e+02 5.052381523009532138e+00
9.010000000000000000e+02 5.383860679222013168e+00
1.001000000000000000e+03 5.597034073766579354e+00
1.101000000000000000e+03 5.765628279923857846e+00
1.201000000000000000e+03 5.920439048886389166e+00
1.301000000000000000e+03 5.987778519039376413e+00
1.401000000000000000e+03 6.116264868045915293e+00
1.501000000000000000e+03 6.227497677293207801e+00
1.601000000000000000e+03 6.329422994889306153e+00
1.701000000000000000e+03 6.376599783155615597e+00
1.801000000000000000e+03 6.445997357194393373e+00
1.901000000000000000e+03 6.473298089949872214e+00
2.001000000000000000e+03 6.513507716171169193e+00
2.101000000000000000e+03 6.544980451028685309e+00
2.201000000000000000e+03 6.584322033674982144e+00
2.301000000000000000e+03 6.631564241622547762e+00
2.401000000000000000e+03 6.663424261156452921e+00
2.501000000000000000e+03 6.646968786476996627e+00
2.601000000000000000e+03 6.700884764935477023e+00
2.701000000000000000e+03 6.705735649107130492e+00
2.801000000000000000e+03 6.744344055164355645e+00
2.901000000000000000e+03 6.730414577819538557e+00
3.001000000000000000e+03 6.710890467837465678e+00
