# Transverse-field Ising model
# L=12, J=1, f=0.5, W_J=0.2, W=1.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e2
1.010000000000000000e+02 6.136481517793749951e+00
2.010000000000000000e+02 7.884843748203248737e+00
3.010000000000000000e+02 8.785075407841471673e+00
4.010000000000000000e+02 9.222324343542776859e+00
5.010000000000000000e+02 9.572063679041743711e+00
6.010000000000000000e+02 9.887898535498067076e+00
7.010000000000000000e+02 1.014162025151601654e+01
8.010000000000000000e+02 1.028624309361624256e+01
9.010000000000000000e+02 1.051476606328215979e+01
1.001000000000000000e+03 1.067562661848636196e+01
1.101000000000000000e+03 1.086086985591868626e+01
1.201000000000000000e+03 1.103470090006361204e+01
1.301000000000000000e+03 1.119102529701000037e+01
