# Transverse-field Ising model
# L=12, J=1, f=0.5, W_J=0.2, W=4.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.257722928200520340e-01
2.010000000000000000e+02 2.571088720695587915e-01
3.010000000000000000e+02 3.694469026163232916e-01
4.010000000000000000e+02 4.929185164267088082e-01
5.010000000000000000e+02 6.022799738511014356e-01
6.010000000000000000e+02 7.132452105018990407e-01
7.010000000000000000e+02 8.263787106813688110e-01
8.010000000000000000e+02 9.420805692873125414e-01
9.010000000000000000e+02 1.046487534861916702e+00
1.001000000000000000e+03 1.156615105735538940e+00
1.101000000000000000e+03 1.286565304113598485e+00
1.201000000000000000e+03 1.412639026707416923e+00
1.301000000000000000e+03 1.523520236258358196e+00
