# Heisenberg model
# L=16, J=1, W=1.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.511687652518772795e-01
2.010000000000000000e+02 2.761172462481915613e-01
3.010000000000000000e+02 4.328598654823242464e-01
4.010000000000000000e+02 6.231640345437372552e-01
5.010000000000000000e+02 8.264395320466261241e-01
6.010000000000000000e+02 9.494176969352212669e-01
7.010000000000000000e+02 1.120557766284692391e+00
8.010000000000000000e+02 1.216192537352634329e+00
9.010000000000000000e+02 1.370599370545534601e+00
1.001000000000000000e+03 1.530217522583314116e+00
1.101000000000000000e+03 1.737985174078390260e+00
1.201000000000000000e+03 1.890984699959225690e+00
1.301000000000000000e+03 2.001814030158516999e+00
1.401000000000000000e+03 2.171983666663108270e+00
1.501000000000000000e+03 2.307943041286607322e+00
1.601000000000000000e+03 2.473039249299542774e+00
1.701000000000000000e+03 2.649614923616685047e+00
1.801000000000000000e+03 2.751886399473839617e+00
1.901000000000000000e+03 2.833863911152464610e+00
2.001000000000000000e+03 2.984187085213784840e+00
2.101000000000000000e+03 3.160984065931441211e+00
2.201000000000000000e+03 3.332966350874566608e+00
2.301000000000000000e+03 3.443125384402765388e+00
2.401000000000000000e+03 3.642750561557567046e+00
2.501000000000000000e+03 3.692384020979244230e+00
2.601000000000000000e+03 3.865098078512863911e+00
2.701000000000000000e+03 3.970024772731839846e+00
2.801000000000000000e+03 4.048473343458532270e+00
2.901000000000000000e+03 4.290542169594951716e+00
3.001000000000000000e+03 4.470823759528695263e+00
