# Heisenberg model
# L=16, J=1, W=2.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e3
1.010000000000000000e+02 8.467210579079720301e-01
2.010000000000000000e+02 1.326677501027976547e+00
3.010000000000000000e+02 1.570591382763272925e+00
4.010000000000000000e+02 1.745470813531108778e+00
5.010000000000000000e+02 1.899013912355127509e+00
6.010000000000000000e+02 2.011193775421244112e+00
7.010000000000000000e+02 2.075148301696002839e+00
8.010000000000000000e+02 2.106129467732735794e+00
9.010000000000000000e+02 2.160007879216365279e+00
1.001000000000000000e+03 2.217329324564685678e+00
1.101000000000000000e+03 2.253070433412377671e+00
1.201000000000000000e+03 2.266874050279223063e+00
1.301000000000000000e+03 2.318431578355885758e+00
1.401000000000000000e+03 2.337043526219558132e+00
1.501000000000000000e+03 2.365556398390868953e+00
1.601000000000000000e+03 2.380758749399098484e+00
1.701000000000000000e+03 2.377942936517762451e+00
1.801000000000000000e+03 2.390961606862046285e+00
1.901000000000000000e+03 2.380112288371995177e+00
2.001000000000000000e+03 2.379037632587507112e+00
2.101000000000000000e+03 2.372414522276811155e+00
2.201000000000000000e+03 2.372840305046216347e+00
2.301000000000000000e+03 2.364441409631293567e+00
2.401000000000000000e+03 2.368309541543204055e+00
2.501000000000000000e+03 2.365820211583107291e+00
2.601000000000000000e+03 2.379763473692828146e+00
2.701000000000000000e+03 2.368911146788016620e+00
2.801000000000000000e+03 2.371622595658803068e+00
2.901000000000000000e+03 2.377509779580916582e+00
3.001000000000000000e+03 2.369977544784934498e+00
