# Heisenberg model
# L=16, J=1, W=2.5
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e2
1.010000000000000000e+02 4.863882916252373789e+00
2.010000000000000000e+02 5.874256270141034797e+00
3.010000000000000000e+02 6.226931038036942923e+00
4.010000000000000000e+02 6.486645228769881477e+00
5.010000000000000000e+02 6.527311333043257946e+00
6.010000000000000000e+02 6.651840662589036057e+00
7.010000000000000000e+02 6.792480122245873275e+00
8.010000000000000000e+02 6.786420822197678504e+00
9.010000000000000000e+02 6.791268240297920755e+00
1.001000000000000000e+03 6.793610457498385102e+00
1.101000000000000000e+03 6.883920353577897444e+00
1.201000000000000000e+03 6.952259520013568839e+00
1.301000000000000000e+03 6.974572965201994990e+00
1.401000000000000000e+03 7.012724460173410890e+00
1.501000000000000000e+03 7.044008151197026280e+00
1.601000000000000000e+03 7.016072081926775894e+00
1.701000000000000000e+03 7.058264024577276530e+00
1.801000000000000000e+03 7.087062928752637880e+00
1.901000000000000000e+03 7.100000793522664999e+00
2.001000000000000000e+03 7.123765333771521213e+00
2.101000000000000000e+03 7.156047521213699802e+00
2.201000000000000000e+03 7.160359122392090825e+00
2.301000000000000000e+03 7.166672876339401199e+00
2.401000000000000000e+03 7.170355975168480001e+00
2.501000000000000000e+03 7.165906814323133922e+00
2.601000000000000000e+03 7.192553983212234492e+00
2.701000000000000000e+03 7.200937596088830439e+00
2.801000000000000000e+03 7.232157160240648253e+00
2.901000000000000000e+03 7.247778309374439232e+00
3.001000000000000000e+03 7.249558146707740569e+00
