# Heisenberg model
# L=14, J=1, W=7.0
# The inverse variances of level statistics 1/sigma^2 vs number of states N_r
# N_r 1/sigma^2*1e4
1.010000000000000000e+02 1.283100782943845386e-01
2.010000000000000000e+02 2.402211133872423354e-01
3.010000000000000000e+02 3.819563938483153120e-01
4.010000000000000000e+02 5.412466653876557565e-01
5.010000000000000000e+02 6.518414680260208316e-01
6.010000000000000000e+02 7.971671547285913428e-01
7.010000000000000000e+02 9.046775581563695212e-01
8.010000000000000000e+02 1.008344723884743166e+00
9.010000000000000000e+02 1.170636774953043080e+00
1.001000000000000000e+03 1.288399979585992838e+00
1.101000000000000000e+03 1.373247018039441603e+00
