# Heisenberg model
# L=16, J=1, W=4.0
# CDF of level statistics r_S
# r_S CDF
3.774817519550000000e-01 0.000000000000000000e+00
3.776407570070000053e-01 7.102272730000000088e-04
3.776684873019999777e-01 1.420454545000000022e-03
3.788398482049999960e-01 2.130681817999999922e-03
3.793648948339999882e-01 2.840909091000000039e-03
3.793870154080000168e-01 3.551136364000000156e-03
3.795655362059999760e-01 4.261363635999999844e-03
3.797852384879999987e-01 4.971590908999999961e-03
3.798480575870000209e-01 5.681818182000000078e-03
3.804499792020000215e-01 6.392045455000000195e-03
3.804680773770000024e-01 7.102272726999999883e-03
3.805340204159999851e-01 7.812500000000000000e-03
3.805345168350000029e-01 8.522727273000000117e-03
3.805844716640000014e-01 9.232954544999999805e-03
3.806439967740000152e-01 9.943181817999999922e-03
3.808052119979999928e-01 1.065340909100000004e-02
3.811778434010000272e-01 1.136363636400000016e-02
3.813515837470000114e-01 1.207386363599999984e-02
3.814400808899999773e-01 1.278409090899999996e-02
3.815207579220000200e-01 1.349431818200000008e-02
3.815713687100000251e-01 1.420454545500000020e-02
3.816272572070000257e-01 1.491477272699999988e-02
3.817135034970000063e-01 1.562500000000000000e-02
3.817654363749999891e-01 1.633522727299999838e-02
3.817694398250000010e-01 1.704545454500000154e-02
3.818156278989999763e-01 1.775568181799999992e-02
3.822165374250000025e-01 1.846590909099999830e-02
3.823262155380000027e-01 1.917613636400000016e-02
3.823372934090000230e-01 1.988636363599999984e-02
3.824704151680000108e-01 2.059659090900000170e-02
3.824821122629999959e-01 2.130681818200000008e-02
3.825287789869999955e-01 2.201704545499999846e-02
3.826168462460000086e-01 2.272727272700000162e-02
3.827522658970000102e-01 2.343750000000000000e-02
3.828143504859999879e-01 2.414772727299999838e-02
3.828269415650000229e-01 2.485795454500000154e-02
3.831263110129999871e-01 2.556818181799999992e-02
3.832199329570000201e-01 2.627840909099999830e-02
3.833764375620000164e-01 2.698863636400000016e-02
3.833911495760000121e-01 2.769886363599999984e-02
3.834393946890000127e-01 2.840909090900000170e-02
3.834544914810000260e-01 2.911931818200000008e-02
3.834660713199999904e-01 2.982954545499999846e-02
3.834761618490000190e-01 3.053977272700000162e-02
3.834886801769999964e-01 3.125000000000000000e-02
3.835447487820000112e-01 3.196022727299999838e-02
3.836096608819999920e-01 3.267045454499999807e-02
3.836398357460000241e-01 3.338068181800000339e-02
3.837648105690000255e-01 3.409090909100000177e-02
3.837696762310000009e-01 3.480113636400000016e-02
3.838320907989999919e-01 3.551136363599999984e-02
